id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC385,16.863459,32.319864,14.30,0.67,1.02,80,,PGC3984,,
NGC386,16.880448,32.361927,15.40,0.40,1.25,10,,PGC3989,,
NGC387,16.887715,32.391050,,0.26,1.25,80,,PGC3987,,
IC1625,16.927573,-46.907626,13.11,1.12,1.25,25,,PGC4001,,
NGC388,16.946482,32.309931,15.50,0.41,1.72,160,,PGC4005,,
NGC416,16.995833,-72.355556,11.76,1.10,,,,,,
NGC396,17.035086,4.530918,,0.30,1.47,70,,PGC99944,,
IC1627,17.045046,-46.094053,13.71,1.72,4.17,135,,PGC4027,,
IC76,17.048879,-4.554581,15.50,0.60,2.28,115,,PGC4035,,
NGC390,17.053972,32.453628,,0.42,1.85,55,,PGC4021,,
IC1630,17.069800,-46.754047,15.18,0.75,4.55,60,,PGC4036,,
NGC419,17.074125,-72.884111,10.50,2.60,,,,,,
NGC381,17.082917,61.583889,9.00,6.00,,,,,,
NGC392,17.097786,33.133683,12.71,0.93,1.43,55,,PGC4042,,
NGC394,17.108466,33.147944,13.83,0.50,1.61,125,,PGC4049,,
NGC389,17.124722,39.695430,15.00,0.72,2.18,55,,PGC4054,,
NGC397,17.129667,33.109178,14.58,0.39,1.43,65,,PGC4051,,
NGC393,17.153978,39.644238,13.30,1.01,1.22,40,,PGC4061,,
IC77,17.212946,-15.406342,14.60,0.80,1.47,55,,,,
IC1631,17.186963,-46.475901,14.22,0.60,1.67,90,,PGC4068,,
IC1628,17.198011,-28.582281,13.50,0.89,1.09,155,,PGC4075,,
IC78,17.198679,-15.845192,14.00,0.86,1.72,125,,PGC4079,,
IC79,17.207107,-15.948717,14.00,0.59,1.04,55,,PGC4082,,
IC80,17.218591,-15.421935,14.00,0.37,2.01,55,,PGC4070,,
NGC398,17.223692,32.514522,15.40,0.55,1.92,130,,PGC4090,,
NGC399,17.246698,32.634235,14.50,0.89,2.17,40,,PGC4096,,
IC82,17.274141,-16.000284,14.00,0.57,1.19,125,,PGC4103,,
NGC403,17.308979,32.752090,13.38,1.67,3.13,85,,PGC4111,,
IC1629,17.325839,2.567538,15.70,0.45,1.52,80,,PGC4122,,
NGC404,17.362590,35.718130,11.73,6.00,1.00,,,PGC4126,,
NGC409,17.388382,-35.805584,14.03,0.70,1.16,0,,PGC4132,,
IC1633,17.481454,-45.931140,12.23,1.56,1.25,95,,PGC4149,,
NGC415,17.523621,-35.490868,14.32,0.63,1.61,35,,PGC4161,,
IC83,17.624071,1.689364,15.20,0.52,1.72,115,,PGC4182,,
NGC418,17.648465,-30.221029,13.19,0.92,1.39,175,,PGC4189,,
NGC407,17.652425,33.126433,14.28,1.33,4.17,0,,PGC4190,,
NGC408,17.710802,33.113420,,0.27,1.11,150,,PGC4221,,
NGC410,17.745424,33.151959,11.48,1.57,1.35,35,,PGC4224,,
IC1637,17.754794,-30.438559,13.59,0.89,1.22,85,,PGC4227,,
NGC417,17.773125,-18.148306,15.18,0.47,1.22,45,,PGC4237,,
NGC414,17.822807,33.113860,14.50,0.64,1.22,35,,PGC4254,,
NGC423,17.842632,-29.234572,14.58,0.78,2.63,110,,PGC4266,,
IC84,17.856775,1.640160,15.00,0.48,1.72,5,,PGC4265,,
NGC424,17.865160,-38.083450,14.12,1.14,2.27,65,,PGC4274,,
IC1639,17.943971,-0.664342,14.20,0.44,1.11,120,,PGC4292,,
NGC432,17.942909,-61.527684,13.96,0.71,1.16,135,,PGC4290,,
IC1649,17.962282,-55.857260,14.71,1.08,4.55,135,,PGC4298,,
IC1640,17.963735,-0.630361,15.10,0.29,1.16,40,,PGC4299,,
IC1655,17.974875,-71.330111,14.00,1.70,1.13,50,,,,
IC1643,18.035983,-0.410218,15.40,0.47,1.25,80,,PGC4328,,
NGC420,18.040155,32.123163,13.40,0.83,1.11,170,,PGC4320,,
IC1650,18.079496,-50.401736,14.36,0.88,2.17,60,,PGC4334,,
NGC427,18.080262,-32.061147,15.06,0.47,1.56,30,,PGC697383,PGC4333,
IC1638,18.090937,33.364473,14.90,0.54,1.28,125,,PGC4338,,
NGC434,18.058890,-58.248029,12.93,1.43,1.72,10,,PGC4325,,
NGC413,18.130778,-2.793434,14.00,0.59,1.67,125,,PGC4347,,
IC1662,18.138875,-73.456278,14.03,1.20,,,,,,
IC1646,18.182596,15.707835,15.30,0.35,1.47,25,,PGC4357,,
NGC440,18.202146,-58.282336,13.75,0.72,1.79,50,,PGC4361,,
NGC426,18.202510,-0.290204,15.58,0.82,1.47,145,,PGC4363,,
NGC428,18.232121,0.981581,12.10,1.40,1.72,135,,PGC4367,,
NGC429,18.239284,-0.345003,14.40,0.76,2.95,15,,PGC4368,,
NGC430,18.249705,-0.252501,13.60,0.82,1.28,160,,PGC4376,,
NGC425,18.260792,38.768415,13.50,0.67,1.09,30,,PGC4379,,
IC1647,18.310933,38.885400,15.20,0.54,2.38,40,,PGC4390,,
IC86,18.368790,-16.240389,15.34,0.72,2.12,142,,,,
