id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
w Cen,190.647714,-48.813110,4.66,K0III,HD110458,HIP62012,
10 CVn,191.247521,39.278916,5.95,F9V_Fe-0.3,HD110897,HIP62207,
Y CVn,191.282609,45.440257,4.87,C-N5,HD110914,HIP62223,
32 d02 Vir,191.404410,7.673325,5.21,F0IIIm,HD110951,HIP62267,
iot Cru,191.408549,-60.981321,4.69,K0III,HD110829,HIP62268,
bet Mus,191.570017,-68.108116,3.05,B2V+B3V,HD110879,HIP62322,
33 Vir,191.593939,9.539686,5.67,G9,HD111028,HIP62325,
27 Com,191.661508,16.577688,5.12,K4III,HD111067,HIP62356,
34 Vir,191.806828,11.958087,6.09,A3V,HD111164,HIP62394,
7 Dra,191.893097,66.790304,5.42,K5III,HD111335,HIP62423,
bet Cru,191.930287,-59.688772,1.25,B1IV,HD111123,HIP62434,Becrux
35 Vir,191.964220,3.572714,6.41,M0/1III,HD111239,HIP62443,
28 Com,192.059716,13.553037,6.56,A1V,HD111308,HIP62478,
11 CVn,192.174180,48.466841,6.25,kA6hA7VmF3,HD111421,HIP62516,
29 Com,192.225888,14.122587,5.68,A1V,HD111397,HIP62541,
30 Com,192.322711,27.552379,5.78,A1Van,HD111469,HIP62576,
p Cen,192.671514,-33.999348,4.89,B9V,HD111597,HIP62683,
37 Vir,192.903707,3.056787,6.00,K2III,HD111765,HIP62757,
31 Com,192.924667,27.540713,4.94,G0IIIp,HD111812,HIP62763,
32 Com,193.051071,17.073941,6.28,M4,HD111862,HIP62807,
e Cen,193.278776,-48.943313,4.33,K3/4III,HD111915,HIP62867,
38 Vir,193.296487,-3.553098,6.11,F6V,HD111998,HIP62875,
35 Com,193.323946,21.244947,4.91,G7III+F:,HD112033,HIP62886,
n Cen,193.359132,-40.178914,4.27,A4IV,HD111968,HIP62896,
kap Cru,193.453833,-60.376242,5.94,B5I,HD111973,HIP62931,
41 Vir,193.457155,12.418395,6.24,kA7hF0mF0(V),HD112097,HIP62933,
77 eps UMa,193.507290,55.959823,1.77,A1III-IVpkB9,HD112185,HIP62956,Alioth
