alpha,delta,No,id,diameter
109.8975,-24.0347,96a,Ced 96a,5.5
109.9472,-24.0685,96b,Ced 96b,5
110.0219,-24.1025,96c,Ced 96c,5.5
110.3248,-8.8713,97,Ced 97,
111.0143,-29.2952,98,Ced 98,
111.1803,-16.1961,99,Ced 99,
112.4623,-23.0247,100,Ced 100,10
114.1155,-25.3229,101,Ced 101,15
115.9539,-28.956,102,Ced 102,
118.1122,-26.3913,103,Ced 103,4.5
122.3958,-47.3452,104,Ced 104,
124.5585,-37.1288,105,Ced 105,
127.2754,-44.1673,106a,Ced 106a,33
127.265,-47.9341,106b,Ced 106b,
127.3424,-44.7179,106c,Ced 106c,27
127.4141,-41.5183,106d,Ced 106d,14.5
127.4272,-44.1018,106e,Ced 106e,
127.7945,-47.8716,106f,Ced 106f,
128.354,-44.3423,106g,Ced 106g,
128.8835,-40.6461,106h,Ced 106h,
129.5795,-43.0682,106i,Ced 106i,18
130.1548,-46.656,106j,Ced 106j,11.5
130.2954,-47.3071,106k,Ced 106k,
130.476,-45.4084,106l,Ced 106l,18
130.8098,-48.1777,106m,Ced 106m,
131.1625,-41.2799,106n,Ced 106n,16
131.4983,-46.0326,106o,Ced 106o,22
154.1908,-57.9661,107,Ced 107,
159.3551,-58.6195,108,Ced 108,15.5
161.2709,-59.6592,109a,Ced 109a,120
165.3234,-60.7208,109b,Ced 109b,
166.4479,-77.3406,110,Ced 110,
167.0061,-77.6586,111,Ced 111,
167.4426,-76.6095,112,Ced 112,2
167.9612,-61.3769,113a,Ced 113a,
167.9625,-61.2269,113b,Ced 113b,
167.9872,-61.3103,113c,Ced 113c,
168.0384,-61.2771,113d,Ced 113d,
168.0644,-61.2105,113e,Ced 113e,
168.1139,-61.3606,113f,Ced 113f,
171.9887,-59.9507,114,Ced 114,
172.0969,-62.9842,115,Ced 115,5
172.2265,-62.6511,116,Ced 116,15.5
172.6008,-63.8182,117,Ced 117,8
173.9561,-63.0199,118,Ced 118,66
174.0922,-61.27,119,Ced 119,0.3
176.5217,-56.3722,120,Ced 120,
177.594,-64.8895,121,Ced 121,0.5
201.1735,-64.0222,122,Ced 122,150
203.3525,-65.9646,123,Ced 123,3
234.6867,-29.778,124,Ced 124,
237.7547,-25.7533,125a,Ced 125a,67
238.4021,-25.3313,125b,Ced 125b,34
238.4695,-24.5474,125c,Ced 125c,47
239.2196,-29.2081,126,Ced 126,
239.7134,-26.1205,125d,Ced 125d,
240.0791,-22.6173,125e,Ced 125e,
243.0658,-27.9256,127,Ced 127,23
243.0038,-19.4591,128,Ced 128,195
244.7642,-20.2272,129a,Ced 129a,15
245.0127,-20.0417,129b,Ced 129b,22
245.1387,-20.1239,129c,Ced 129c,22
245.2954,-25.5894,130,Ced 130,130
246.3604,-24.4633,131a,Ced 131a,
246.3997,-23.4463,131b,Ced 131b,124
247.3588,-26.4379,132,Ced 132,126
247.4949,-25.1533,133,Ced 133,30
247.7803,-26.0508,134,Ced 134,60
248.4271,-48.0965,135a,Ced 135a,
248.5034,-48.1458,135b,Ced 135b,
249.9272,-49.0164,136a,Ced 136a,
250.3235,-48.7627,136b,Ced 136b,19
254.25,-40.3333,137,Ced 137,83
253.0795,-41.8536,137a,Ced 137a,18
253.2073,-40.4689,137b,Ced 137b,34
255.998,-37.8427,138,Ced 138,
258.4414,-37.103,139,Ced 139,2
260.1037,-36.0704,140,Ced 140,
260.1482,-30.1529,141,Ced 141,
261.1783,-34.1933,142,Ced 142,4
261.3474,-29.9915,143,Ced 143,
261.7989,-7.0859,144,Ced 144,
263.3981,-37.1056,145,Ced 145,10
263.1798,-17.5231,146,Ced 146,
263.6586,-32.5861,147,Ced 147,
263.5594,-17.9362,148,Ced 148,
264.6511,-23.9093,149,Ced 149,1.5
266.1514,-33.7454,150,Ced 150,7
270.6677,-23.0342,151,Ced 151,29
270.9333,-24.3817,152a,Ced 152a,90
272.0024,-23.8713,152b,Ced 152b,4.5
272.0554,-26.2376,153,Ced 153,
272.0723,-23.4373,154a,Ced 154a,
272.2723,-23.4353,154b,Ced 154b,
272.3289,-24.0015,154c,Ced 154c,
272.45,-23.6669,154d,Ced 154d,9
272.4519,-23.8336,154e,Ced 154e,9.5
272.4802,-24.1167,154f,Ced 154f,8
271.8327,45.8477,155,Ced 155,
273.8166,-20.7368,156,Ced 156,
274.0811,-19.7842,157a,Ced 157a,5
274.198,-16.7163,158,Ced 158,
274.2571,-19.8825,157b,Ced 157b,3.5
274.3305,-19.7318,157c,Ced 157c,4
274.4047,-19.6644,157d,Ced 157d,16.5
274.7173,-13.7777,159,Ced 159,35
274.9155,-16.0093,160a,Ced 160a,6.5
275.0405,-16.008,160b,Ced 160b,6.5
275.1922,-16.1733,161,Ced 161,46
276.4658,-18.4277,162,Ced 162,
277.8616,-10.7972,163,Ced 163,44
282.2259,0.5785,164,Ced 164,
285.2643,-37.0613,165a,Ced 165a,
285.4115,-36.8933,165b,Ced 165b,
285.4871,-36.9425,165c,Ced 165c,
286.9161,4.3396,166,Ced 166,1
291.539,22.7496,167,Ced 167,6.5
292.6124,18.1924,168,Ced 168,6.5
294.8202,20.2122,169,Ced 169,2
295.6172,23.0861,170,Ced 170,0.5
295.6949,27.5036,171,Ced 171,
299.6524,29.9379,172,Ced 172,
299.9899,35.2744,173,Ced 173,15.5
299.967,37.0409,174,Ced 174,
301.1893,29.2508,175a,Ced 175a,1
301.1893,29.2508,175b,Ced 175b,1
301.1893,29.2508,175c,Ced 175c,0.5
302.2136,39.7932,176a,Ced 176a,
302.3535,36.8442,177,Ced 177,
302.5026,34.962,178,Ced 178,
318.1848,38.5118,179,Ced 179,18
318.2147,40.3787,176b,Ced 176b,
319.0777,41.9177,176c,Ced 176c,24.5
321.1612,42.3974,176d,Ced 176d,6
321.2861,42.4815,176e,Ced 176e,4
322.193,40.0536,176f,Ced 176f,10
322.826,37.0406,180,Ced 180,
