id,alpha,delta,WISE_GID,Class,diameter,Radius,HIIName,Group
WISE 1,266.28262,-28.86601,G000.003+00.127,K,6.87,206,S17,
WISE 2,266.37525,-28.90973,G000.008+00.036,Q,0.80,24,,
WISE 3,266.64600,-29.03412,G000.025-00.232,Q,1.53,46,,
WISE 4,266.50968,-28.95690,G000.029-00.090,Q,1.03,31,,
WISE 5,266.40892,-28.89024,G000.041+00.021,Q,0.67,20,,
WISE 6,266.41753,-28.89132,G000.043+00.013,Q,0.50,15,,
WISE 7,266.63662,-28.99755,G000.052-00.205,Q,0.60,18,,
WISE 8,266.65754,-28.97707,G000.079-00.211,Q,2.20,66,,
WISE 9,267.06382,-29.19193,G000.079-00.626,Q,3.07,92,,
WISE 10,266.54801,-28.91527,G000.082-00.097,Q,0.97,29,,
WISE 11,266.62779,-28.93902,G000.099-00.168,C,0.50,15,,
WISE 12,266.56214,-28.88534,G000.114-00.092,Q,0.73,22,,
WISE 13,267.01981,-29.12205,G000.120-00.556,K,12.00,360,S19,
WISE 14,267.09492,-29.16043,G000.120-00.633,Q,3.10,93,,
WISE 15,266.77431,-28.98993,G000.121-00.304,Q,1.23,37,,
WISE 16,266.56379,-28.87334,G000.125-00.086,Q,0.97,29,,
WISE 17,267.13987,-29.17473,G000.129-00.674,Q,1.70,51,,
WISE 18,266.44452,-28.80266,G000.132+00.039,Q,9.97,299,,
WISE 19,266.59882,-28.87679,G000.138-00.115,Q,12.10,363,,
WISE 20,266.56290,-28.83423,G000.158-00.065,C,1.13,34,,
WISE 21,266.35709,-28.71134,G000.170+00.153,C,1.40,42,,
WISE 22,266.57065,-28.81730,G000.176-00.062,Q,3.17,95,,
WISE 23,266.52794,-28.77110,G000.197-00.007,Q,0.80,24,,
WISE 24,267.02398,-29.03082,G000.199-00.512,Q,0.57,17,,
WISE 25,266.53116,-28.75877,G000.208-00.002,C,0.87,26,,
WISE 26,267.03073,-29.00168,G000.227-00.502,Q,2.40,72,,
WISE 27,266.62722,-28.72807,G000.279-00.059,Q,6.37,191,,
WISE 28,267.04126,-28.94768,G000.279-00.482,K,2.00,60,G000.284-00.478,
WISE 29,267.60983,-29.22356,G000.298-01.051,Q,7.67,230,,
WISE 30,266.78054,-28.76872,G000.314-00.194,K,0.87,26,S20,
WISE 31,266.79089,-28.77305,G000.314-00.205,K,1.40,42,S20,
WISE 32,266.73783,-28.74368,G000.316-00.149,Q,1.23,37,,
WISE 33,266.71036,-28.72555,G000.319-00.119,Q,0.90,27,,
WISE 34,267.38530,-29.07021,G000.328-00.804,K,7.80,234,G000.361-00.780,G000.361-00.780
WISE 35,266.66386,-28.68675,G000.331-00.065,Q,1.40,42,,
WISE 36,266.61850,-28.65788,G000.335-00.016,C,1.40,42,,
WISE 37,266.63729,-28.65386,G000.346-00.028,C,0.90,27,,
WISE 38,266.63305,-28.64458,G000.352-00.020,Q,0.97,29,,
WISE 39,266.75567,-28.70054,G000.360-00.141,Q,0.67,20,,
WISE 40,266.61516,-28.60110,G000.382+00.017,K,2.23,67,G000.382+00.017,
WISE 41,266.76699,-28.66680,G000.394-00.132,Q,0.93,28,,
WISE 42,266.72979,-28.64349,G000.397-00.091,Q,0.73,22,,
WISE 43,266.24627,-28.37986,G000.401+00.408,Q,0.67,20,,
WISE 44,267.50827,-29.04249,G000.408-00.881,Q,4.63,139,,
WISE 45,267.40838,-28.98789,G000.410-00.778,Q,4.57,137,,G000.361-00.780
WISE 46,266.70630,-28.61577,G000.411-00.060,Q,0.57,17,,
WISE 47,266.67167,-28.59263,G000.414-00.021,Q,1.27,38,,
WISE 48,266.73186,-28.62120,G000.418-00.081,Q,0.73,22,,
WISE 49,267.19540,-28.86319,G000.421-00.555,G,2.40,72,,G000.394-00.540
WISE 50,266.74601,-28.60651,G000.436-00.084,Q,1.37,41,,
WISE 51,267.55627,-29.01515,G000.452-00.904,Q,1.70,51,,
WISE 52,267.13873,-28.79247,G000.455-00.476,K,22.57,677,G000.394-00.540,G000.394-00.540
WISE 53,267.46480,-28.96383,G000.456-00.808,Q,4.97,149,,
WISE 54,266.72513,-28.56732,G000.460-00.048,Q,0.70,21,,
WISE 55,266.73844,-28.56155,G000.471-00.055,Q,1.43,43,,
WISE 56,267.34521,-28.87782,G000.475-00.675,K,1.80,54,G000.489-00.668,
WISE 57,266.81443,-28.59615,G000.477-00.130,Q,3.70,111,,
WISE 58,266.61962,-28.48879,G000.479+00.072,Q,1.40,42,,
WISE 59,267.57051,-28.98648,G000.484-00.900,Q,0.90,27,,
WISE 60,266.49843,-28.41574,G000.486+00.201,Q,0.40,12,,
WISE 61,266.76757,-28.55601,G000.490-00.074,G,1.40,42,,G000.510-00.051
WISE 62,266.51013,-28.41615,G000.492+00.191,C,1.40,42,,
WISE 63,267.50749,-28.93840,G000.496-00.828,Q,0.53,16,,
WISE 64,266.54513,-28.42905,G000.497+00.159,C,2.00,60,,
WISE 65,267.36204,-28.86101,G000.498-00.678,K,1.80,54,G000.489-00.668,
WISE 66,266.51642,-28.40899,G000.501+00.190,Q,0.40,12,,
WISE 67,267.47433,-28.91289,G000.504-00.789,Q,1.17,35,,
WISE 68,266.54066,-28.40090,G000.519+00.177,Q,0.27,8,,
WISE 69,266.76289,-28.51843,G000.519-00.051,K,6.93,208,G000.510-00.051,G000.510-00.051
WISE 70,266.52339,-28.38931,G000.520+00.195,Q,0.53,16,,
WISE 71,266.72574,-28.49512,G000.522-00.011,Q,0.90,27,,
WISE 72,266.55138,-28.40078,G000.523+00.168,Q,0.30,9,,
WISE 73,266.53061,-28.38849,G000.525+00.190,Q,0.30,9,,
WISE 74,266.54209,-28.39113,G000.528+00.180,K,0.83,25,G000.521+00.178,G000.521+00.178
WISE 75,266.82232,-28.53838,G000.529-00.107,Q,0.90,27,,
WISE 76,266.59086,-28.41489,G000.530+00.131,Q,1.67,50,,
WISE 77,266.87102,-28.56428,G000.530-00.156,Q,0.97,29,,
WISE 78,266.80073,-28.52338,G000.533-00.082,G,2.20,66,,G000.510-00.051
WISE 79,266.55788,-28.39139,G000.534+00.168,G,1.03,31,,G000.521+00.178
WISE 80,266.77041,-28.49788,G000.541-00.046,Q,0.67,20,,
WISE 81,266.94748,-28.58852,G000.544-00.227,Q,4.27,128,,
WISE 82,266.78757,-28.50001,G000.547-00.060,Q,0.67,20,,
WISE 83,267.56091,-28.90693,G000.548-00.852,G,0.93,28,,G000.561-00.850
WISE 84,267.54580,-28.89787,G000.548-00.836,G,1.37,41,,G000.561-00.850
WISE 85,266.67323,-28.43434,G000.551+00.060,Q,3.00,90,,
WISE 86,266.81196,-28.50130,G000.557-00.079,Q,0.67,20,,
WISE 87,267.57067,-28.89457,G000.563-00.852,G,1.17,35,,G000.561-00.850
WISE 88,266.77522,-28.47355,G000.563-00.037,Q,0.77,23,,
WISE 89,267.54282,-28.87884,G000.563-00.824,Q,1.30,39,,G000.561-00.850
WISE 90,266.83537,-28.50207,G000.567-00.097,Q,0.67,20,,
WISE 91,266.61977,-28.37886,G000.574+00.128,Q,0.63,19,,
WISE 92,266.79185,-28.46487,G000.579-00.045,Q,0.80,24,,
WISE 93,267.60160,-28.88628,G000.583-00.871,K,2.63,79,G000.561-00.850,G000.561-00.850
WISE 94,266.87636,-28.50050,G000.586-00.127,Q,0.50,15,,
WISE 95,266.83645,-28.47927,G000.587-00.086,Q,0.93,28,,
WISE 96,266.70617,-28.40397,G000.591+00.050,C,1.40,42,,
WISE 97,266.80107,-28.45341,G000.593-00.047,Q,3.07,92,,
WISE 98,267.35984,-28.74560,G000.595-00.618,K,7.17,215,G000.572-00.628,
WISE 99,266.92451,-28.51557,G000.596-00.171,Q,0.53,16,,
WISE 100,266.80714,-28.44846,G000.599-00.049,C,0.63,19,,
WISE 101,266.87818,-28.48627,G000.600-00.121,Q,0.37,11,,
WISE 102,266.82875,-28.45763,G000.601-00.069,Q,0.73,22,,
WISE 103,266.81124,-28.44831,G000.602-00.051,C,0.60,18,,
WISE 104,266.43802,-28.24746,G000.602+00.333,K,2.77,83,G000.605+00.325,
WISE 105,266.96059,-28.52304,G000.605-00.202,Q,1.40,42,,
WISE 106,266.81949,-28.43633,G000.616-00.052,Q,0.70,21,,
WISE 107,266.81993,-28.42604,G000.624-00.046,Q,1.40,42,,
WISE 108,266.80439,-28.41192,G000.630-00.027,C,1.40,42,,
WISE 109,266.89433,-28.44928,G000.638-00.115,C,1.63,49,,
WISE 110,266.86713,-28.42312,G000.649-00.080,K,3.17,95,G000.656-00.058; Sgr B2,G000.656-00.058; Sgr B2
WISE 111,266.83391,-28.39608,G000.657-00.041,G,0.80,24,,G000.656-00.058; Sgr B2
WISE 112,266.84637,-28.39921,G000.660-00.052,Q,0.47,14,,
WISE 113,266.83435,-28.38579,G000.666-00.036,G,0.53,16,,G000.656-00.058; Sgr B2
WISE 114,266.84796,-28.39304,G000.666-00.051,Q,0.63,19,,
WISE 115,266.17907,-28.03048,G000.668+00.641,K,11.43,343,G000.640+00.623,
WISE 116,266.84254,-28.38548,G000.670-00.043,C,0.47,14,,
WISE 117,266.83476,-28.38133,G000.670-00.035,C,0.63,19,,
WISE 118,266.72401,-28.31641,G000.674+00.083,Q,2.03,61,,
WISE 119,266.84607,-28.38035,G000.676-00.043,C,0.43,13,,
WISE 120,266.87040,-28.38746,G000.681-00.064,Q,1.03,31,,
WISE 121,266.84279,-28.37159,G000.681-00.035,C,0.90,27,,
WISE 122,266.85937,-28.36873,G000.692-00.047,C,0.83,25,,
WISE 123,266.86971,-28.36722,G000.697-00.053,C,0.83,25,,
WISE 124,266.86434,-28.34799,G000.711-00.039,Q,0.87,26,,
WISE 125,266.80296,-28.30593,G000.719+00.029,Q,1.40,42,,
WISE 126,266.93656,-28.36657,G000.729-00.103,K,2.40,72,G000.729-00.103,
WISE 127,266.87758,-28.30362,G000.755-00.027,Q,1.20,36,,
WISE 128,266.94706,-28.31840,G000.775-00.087,Q,1.43,43,,
WISE 129,266.86906,-28.24648,G000.800+00.010,Q,2.03,61,,
WISE 130,266.67947,-28.14402,G000.801+00.205,Q,1.30,39,,
WISE 131,267.13751,-28.36579,G000.820-00.254,Q,1.33,40,,
WISE 132,266.70215,-28.12458,G000.829+00.198,K,6.33,190,G000.838+00.189,
WISE 133,267.34354,-28.45835,G000.834-00.457,Q,15.13,454,,
WISE 134,267.00643,-28.27054,G000.843-00.106,Q,1.40,42,,
WISE 135,267.45954,-28.40872,G000.929-00.520,Q,1.40,42,,
WISE 136,267.18247,-28.26123,G000.930-00.235,Q,1.40,42,,
WISE 137,267.19730,-28.23757,G000.957-00.234,Q,1.20,36,,
WISE 138,267.22770,-28.19884,G001.005-00.236,C,1.67,50,,
WISE 139,267.21176,-28.18339,G001.011-00.217,Q,1.23,37,,
WISE 140,267.01860,-28.03407,G001.050+00.007,Q,3.03,91,,
WISE 141,267.17684,-28.11236,G001.055-00.154,Q,4.20,126,,
WISE 142,267.25848,-28.14981,G001.061-00.235,Q,1.40,42,,
WISE 143,267.13982,-28.04251,G001.099-00.090,Q,1.00,30,,G001.125-00.105; Sgr D
WISE 144,267.17286,-28.04256,G001.114-00.114,Q,0.67,20,,G001.125-00.105; Sgr D
WISE 145,267.32345,-28.11656,G001.119-00.266,Q,7.37,221,,
WISE 146,267.17055,-28.02849,G001.125-00.106,K,2.00,60,G001.125-00.105; Sgr D,G001.125-00.105; Sgr D
WISE 147,266.29582,-27.54385,G001.138+00.807,C,1.23,37,,
WISE 148,267.02438,-27.91334,G001.157+00.064,Q,0.83,25,,
WISE 149,267.15655,-27.91134,G001.218-00.034,K,20.37,611,G001.149-00.062; Sgr D,
WISE 150,267.08490,-27.75294,G001.321+00.101,K,1.93,58,G001.324+00.104,
WISE 151,267.10312,-27.75331,G001.330+00.088,K,1.40,42,G001.330+00.088,
WISE 152,267.04758,-27.72251,G001.330+00.145,K,2.60,78,G001.330+00.150,G001.330+00.150
WISE 153,267.09236,-27.70905,G001.362+00.118,Q,2.33,70,,G001.330+00.150
WISE 154,267.47308,-27.76560,G001.488-00.199,K,1.40,42,G001.488-00.199,
WISE 155,267.64428,-27.65230,G001.662-00.272,Q,1.40,42,,
WISE 156,267.41783,-27.51251,G001.679-00.028,Q,2.17,65,,
WISE 157,266.83400,-27.09270,G001.772+00.633,Q,1.40,42,,
WISE 158,267.60023,-27.45431,G001.813-00.137,Q,1.27,38,,
WISE 159,267.86443,-27.53570,G001.863-00.380,C,1.90,57,,
WISE 160,267.78898,-27.43890,G001.912-00.273,Q,1.40,42,,
WISE 161,267.90258,-27.47089,G001.935-00.376,Q,0.70,21,,
WISE 162,267.84133,-27.43512,G001.939-00.311,Q,1.40,42,,
WISE 163,267.39538,-27.15667,G001.975+00.172,Q,2.50,75,,
WISE 164,267.88605,-27.41334,G001.978-00.333,Q,1.33,40,,
WISE 165,268.22665,-27.57827,G001.989-00.678,Q,0.63,19,,
WISE 166,268.24045,-27.56344,G002.009-00.680,K,1.40,42,G002.009-00.680,
WISE 167,268.18441,-27.44700,G002.084-00.578,Q,0.73,22,,
WISE 168,267.76977,-27.22510,G002.087-00.149,Q,1.40,42,,
WISE 169,267.65001,-27.09526,G002.143+00.009,Q,1.40,42,,
WISE 170,267.66210,-27.07722,G002.164+00.010,Q,1.40,42,,
WISE 171,268.37315,-27.35775,G002.245-00.677,Q,1.40,42,,
WISE 172,267.50020,-26.88389,G002.257+00.232,Q,1.30,39,,G002.303+00.243
WISE 173,267.50498,-26.86897,G002.272+00.237,K,9.47,284,G002.303+00.243,G002.303+00.243
WISE 174,267.53434,-26.84269,G002.307+00.227,Q,1.50,45,,G002.303+00.243
WISE 175,267.90280,-27.02791,G002.317-00.149,Q,2.83,85,,
WISE 176,267.84286,-26.92987,G002.374-00.053,C,1.87,56,,
WISE 177,267.74347,-26.84222,G002.404+00.068,K,1.70,51,G002.404+00.068,
WISE 178,267.74244,-26.82422,G002.418+00.078,Q,3.83,115,,
WISE 179,268.41016,-27.17174,G002.422-00.611,K,2.93,88,G002.418-00.611,
WISE 180,267.36817,-26.60000,G002.440+00.479,Q,2.83,85,,
WISE 181,267.70496,-26.76704,G002.451+00.136,Q,1.40,42,,
WISE 182,268.00897,-26.85268,G002.516-00.141,Q,4.50,135,,
WISE 183,267.89868,-26.78731,G002.521-00.024,K,5.70,171,G002.510-00.028,
WISE 184,268.03443,-26.83592,G002.542-00.152,Q,1.87,56,,
WISE 185,269.04393,-27.34147,G002.561-01.184,Q,7.03,211,,
WISE 186,267.91930,-26.72497,G002.584-00.008,Q,1.77,53,,
WISE 187,267.90579,-26.71200,G002.590+00.010,Q,1.53,46,,
WISE 188,267.94830,-26.72639,G002.596-00.030,Q,1.50,45,,
WISE 189,267.75338,-26.61822,G002.600+00.174,Q,4.40,132,,
WISE 190,267.80119,-26.62852,G002.614+00.133,K,2.00,60,G002.611+00.135,
WISE 191,267.78052,-26.59309,G002.635+00.166,Q,2.03,61,,
WISE 192,267.92797,-26.62375,G002.675+00.037,Q,1.53,46,,
WISE 193,267.95737,-26.63237,G002.681+00.011,Q,2.50,75,,
WISE 194,267.83639,-26.56580,G002.683+00.138,Q,1.40,42,,
WISE 195,267.94477,-26.60824,G002.696+00.033,Q,1.57,47,,
WISE 196,268.39316,-26.80315,G002.733-00.412,Q,1.40,42,,
WISE 197,268.07767,-26.63333,G002.736-00.083,C,1.07,32,,
WISE 198,267.91699,-26.50512,G002.773+00.107,Q,1.87,56,,
WISE 199,268.17736,-26.59657,G002.813-00.141,K,3.57,107,G002.819-00.132,
WISE 200,268.27934,-26.56797,G002.883-00.204,C,1.40,42,,
WISE 201,268.12878,-26.48144,G002.889-00.044,K,9.43,283,G002.901-00.006,
WISE 202,268.06512,-26.44423,G002.893+00.023,C,2.00,60,,
WISE 203,267.99965,-26.35486,G002.940+00.120,Q,1.33,40,,
WISE 204,268.17779,-26.42490,G002.961-00.053,K,1.97,59,G002.961-00.053,
WISE 205,267.69582,-26.04044,G003.070+00.514,Q,2.53,76,,
WISE 206,268.55608,-26.28681,G003.251-00.276,Q,6.27,188,,
WISE 207,268.35891,-26.16541,G003.266-00.061,K,13.07,392,G003.270-00.101,G003.270-00.101
WISE 208,268.72899,-26.30117,G003.318-00.417,Q,1.20,36,,
WISE 209,268.35855,-26.10487,G003.318-00.030,G,1.60,48,,G003.270-00.101
WISE 210,268.42117,-26.10200,G003.349-00.078,K,2.40,72,G003.342-00.079,
WISE 211,268.45967,-26.07477,G003.391-00.094,Q,0.53,16,,
WISE 212,267.52750,-25.57623,G003.391+00.883,Q,2.70,81,,
WISE 213,268.73265,-26.16290,G003.439-00.349,K,1.40,42,G003.439-00.349,
WISE 214,269.02375,-26.31067,G003.442-00.650,K,4.00,120,G003.449-00.647,
WISE 215,268.42451,-25.97266,G003.462-00.014,Q,0.53,16,,
WISE 216,268.74372,-26.10036,G003.497-00.326,Q,1.17,35,,
WISE 217,269.24043,-26.29285,G003.555-00.808,Q,0.73,22,,
WISE 218,269.23078,-26.28783,G003.555-00.799,Q,0.47,14,,
WISE 219,268.42255,-25.84748,G003.570+00.050,Q,1.40,42,,
WISE 220,268.70169,-25.98672,G003.577-00.237,Q,1.70,51,,
WISE 221,268.69319,-25.94632,G003.607-00.209,Q,5.07,152,,
WISE 222,268.42076,-25.77923,G003.627+00.087,Q,2.13,64,,
WISE 223,268.42915,-25.76047,G003.647+00.089,Q,1.40,42,,
WISE 224,268.63239,-25.86560,G003.650-00.122,K,2.40,72,G003.655-00.111,
WISE 225,268.61781,-25.84052,G003.664-00.098,C,1.03,31,,
WISE 226,268.62743,-25.83168,G003.676-00.100,C,0.97,29,,
WISE 227,268.79930,-25.90599,G003.690-00.271,Q,1.63,49,,
WISE 228,268.76975,-25.86033,G003.716-00.225,Q,5.60,168,,
WISE 229,268.54144,-25.73640,G003.720+00.014,C,1.40,42,,
WISE 230,268.64365,-25.76722,G003.740-00.080,Q,1.37,41,,
WISE 231,268.54558,-25.71424,G003.741+00.023,C,1.40,42,,
WISE 232,268.50020,-25.66935,G003.759+00.081,Q,1.63,49,,
WISE 233,268.54432,-25.68458,G003.765+00.039,C,1.40,42,,
WISE 234,268.50862,-25.63669,G003.791+00.091,Q,1.10,33,,
WISE 235,268.81740,-25.78695,G003.802-00.226,Q,5.73,172,,
WISE 236,269.62173,-26.17873,G003.826-01.048,Q,5.37,161,,
WISE 237,268.79387,-25.73402,G003.836-00.180,C,1.80,54,,
WISE 238,268.67551,-25.62526,G003.877-00.034,Q,2.33,70,,
WISE 239,268.66356,-25.57838,G003.911-00.001,Q,1.27,38,,
WISE 240,268.78353,-25.62316,G003.928-00.116,K,1.40,42,G003.928-00.116,
WISE 241,268.66352,-25.55865,G003.928+00.010,Q,1.67,50,,
WISE 242,269.04575,-25.74597,G003.940-00.383,Q,1.73,52,,
WISE 243,268.78038,-25.58443,G003.959-00.094,K,4.47,134,G003.949-00.100,
WISE 244,268.89298,-25.64259,G003.961-00.212,Q,0.50,15,,
WISE 245,269.46261,-25.92425,G003.975-00.797,Q,3.97,119,,
WISE 246,268.39012,-25.33133,G003.999+00.337,Q,1.97,59,,
WISE 247,269.00029,-25.64343,G004.009-00.295,Q,2.23,67,,
WISE 248,268.86442,-25.56966,G004.011-00.153,Q,1.07,32,,
WISE 249,268.75200,-25.50343,G004.017-00.032,Q,1.33,40,,
WISE 250,268.82559,-25.53646,G004.021-00.105,Q,0.97,29,,
WISE 251,268.83493,-25.52401,G004.037-00.107,Q,1.33,40,,
WISE 252,268.75756,-25.46118,G004.056-00.015,Q,1.13,34,,
WISE 253,268.75183,-25.39675,G004.108+00.022,Q,2.40,72,,
WISE 254,268.72543,-25.36425,G004.125+00.060,Q,3.83,115,,
WISE 255,269.76222,-25.89723,G004.132-01.017,Q,10.07,302,,
WISE 256,269.00495,-25.46535,G004.164-00.209,Q,1.33,40,,
WISE 257,268.98501,-25.45254,G004.167-00.188,Q,0.60,18,,
WISE 258,269.04434,-25.46985,G004.178-00.242,Q,1.60,48,,
WISE 259,268.87113,-25.35897,G004.195-00.052,C,1.40,42,,
WISE 260,268.85210,-25.34083,G004.202-00.027,C,1.40,42,,
WISE 261,268.24670,-24.98437,G004.232+00.625,Q,2.20,66,,
WISE 262,268.82645,-25.24968,G004.270+00.038,Q,4.30,129,,
WISE 263,268.84189,-25.24163,G004.283+00.031,C,1.40,42,,
WISE 264,269.08511,-25.31311,G004.333-00.196,Q,0.53,16,,
WISE 265,268.79369,-25.14781,G004.343+00.115,K,3.77,113,G004.346+00.115,
WISE 266,269.34620,-25.42459,G004.354-00.456,Q,1.17,35,,
WISE 267,269.27368,-25.34618,G004.389-00.359,Q,1.00,30,,
WISE 268,269.27954,-25.33307,G004.404-00.357,Q,1.10,33,,
WISE 269,268.83523,-25.09335,G004.409+00.110,K,7.83,235,G004.412+00.118,
WISE 270,269.12322,-25.15038,G004.491-00.143,C,1.40,42,,
WISE 271,269.90754,-25.55272,G004.497-00.959,Q,4.90,147,,
WISE 272,269.13540,-25.11747,G004.525-00.136,G,2.80,84,,G004.527-00.136
WISE 273,269.10858,-25.09757,G004.530-00.105,G,1.43,43,,G004.527-00.136
WISE 274,268.66475,-24.86044,G004.532+00.361,Q,1.40,42,,
WISE 275,269.14130,-25.08241,G004.557-00.124,K,5.23,157,G004.527-00.136,G004.527-00.136
WISE 276,269.15242,-25.07901,G004.565-00.130,Q,1.43,43,,
WISE 277,269.09774,-25.01898,G004.593-00.057,Q,1.40,42,,
WISE 278,268.88132,-24.88498,G004.610+00.180,Q,1.33,40,,
WISE 279,269.19662,-25.04791,G004.613-00.150,G,2.03,61,,G004.527-00.136
WISE 280,268.83804,-24.69644,G004.753+00.308,Q,2.77,83,,
WISE 281,269.33637,-24.92716,G004.780-00.198,Q,12.73,382,,
WISE 282,269.40441,-24.87045,G004.860-00.223,C,4.07,122,,
WISE 283,269.15480,-24.53785,G005.035+00.140,C,2.53,76,,
WISE 284,269.47875,-24.69578,G005.046-00.195,C,2.17,65,,
WISE 285,269.56423,-24.72330,G005.060-00.276,Q,1.30,39,,
WISE 286,269.34501,-24.60235,G005.065-00.043,Q,1.70,51,,
WISE 287,269.04535,-24.44059,G005.068+00.275,K,9.13,274,G005.049+00.254,
WISE 288,269.31212,-24.56422,G005.084+00.002,Q,0.50,15,,
WISE 289,269.32584,-24.55065,G005.101-00.001,C,1.70,51,,
WISE 290,269.43527,-24.56435,G005.139-00.094,Q,1.70,51,,
WISE 291,269.45066,-24.51816,G005.186-00.083,Q,0.70,21,,
WISE 292,269.64412,-24.61741,G005.189-00.285,K,4.40,132,G005.193-00.284,
WISE 293,269.70950,-24.65048,G005.189-00.354,C,2.73,82,,
WISE 294,269.37450,-24.31053,G005.332+00.081,K,18.20,546,G005.332+00.081,
WISE 295,269.24588,-24.17784,G005.387+00.248,Q,2.93,88,,
WISE 296,269.74801,-24.42720,G005.401-00.272,C,1.60,48,,
WISE 297,269.76092,-24.34860,G005.475-00.243,K,3.50,105,G005.479-00.241,G005.479-00.241
WISE 298,269.75538,-24.33531,G005.484-00.232,K,0.53,16,G005.479-00.241,G005.479-00.241
WISE 299,269.63765,-24.26314,G005.493-00.103,Q,0.57,17,,
WISE 300,269.78535,-24.32795,G005.503-00.252,G,1.53,46,,G005.479-00.241
WISE 301,269.52547,-24.16833,G005.524+00.033,K,1.40,42,G005.524+00.033,
WISE 302,269.77108,-24.27433,G005.544-00.214,Q,0.37,11,,
WISE 303,269.76975,-24.26440,G005.551-00.208,Q,0.43,13,,
WISE 304,269.83939,-24.27436,G005.575-00.268,Q,8.03,241,,
WISE 305,269.19553,-23.93033,G005.579+00.412,Q,1.40,42,,
WISE 306,269.95048,-24.32094,G005.585-00.380,C,1.00,30,,
WISE 307,269.82476,-24.24940,G005.589-00.245,C,0.67,20,,
WISE 308,269.89321,-24.23911,G005.629-00.293,C,1.40,42,,
WISE 309,269.39083,-23.97137,G005.633+00.238,K,1.97,59,G005.633+00.240,
WISE 310,269.39831,-23.96955,G005.637+00.232,K,0.63,19,G005.633+00.240,
WISE 311,269.77639,-24.09139,G005.705-00.127,Q,1.40,42,,
WISE 312,270.11333,-24.15016,G005.806-00.423,Q,1.07,32,,G005.899-00.427
WISE 313,270.21841,-24.16578,G005.841-00.515,Q,1.23,37,,
WISE 314,270.13359,-24.11580,G005.845-00.422,G,2.67,80,,G005.899-00.427
WISE 315,269.40167,-23.72062,G005.855+00.355,Q,0.73,22,,
WISE 316,270.13088,-24.07177,G005.883-00.399,K,0.73,22,G005.899-00.427,G005.899-00.427
WISE 317,270.12681,-24.06619,G005.885-00.393,K,0.73,22,G005.899-00.427,G005.899-00.427
WISE 318,270.06787,-24.03540,G005.886-00.331,Q,0.67,20,,G005.899-00.427
WISE 319,270.17639,-24.08976,G005.887-00.443,K,14.53,436,G005.899-00.427,G005.899-00.427
WISE 320,270.06367,-24.02399,G005.894-00.321,Q,1.10,33,,G005.899-00.427
WISE 321,270.17055,-24.07289,G005.900-00.431,K,3.57,107,G005.899-00.427,G005.899-00.427
WISE 322,270.10468,-24.03505,G005.902-00.360,Q,0.87,26,,G005.899-00.427
WISE 323,270.20234,-24.08256,G005.905-00.460,G,2.00,60,,G005.899-00.427
WISE 324,269.67462,-23.80594,G005.906+00.095,Q,1.07,32,,
WISE 325,270.10604,-24.02079,G005.915-00.354,G,4.97,149,,G005.899-00.427
WISE 326,270.14746,-24.03320,G005.923-00.392,Q,0.77,23,,G005.899-00.427
WISE 327,269.86507,-23.87614,G005.932-00.091,Q,2.43,73,,
WISE 328,270.17421,-24.03680,G005.933-00.416,Q,0.27,8,,G005.899-00.427
WISE 329,270.18847,-24.03618,G005.939-00.426,G,2.00,60,,G005.899-00.427
WISE 330,269.92106,-23.88938,G005.946-00.142,Q,1.40,42,,
WISE 331,270.24267,-24.04831,G005.953-00.475,Q,0.53,16,,
WISE 332,270.19105,-24.01794,G005.956-00.420,Q,0.83,25,,G005.899-00.427
WISE 333,270.21182,-24.00690,G005.975-00.431,Q,1.10,33,,G005.899-00.427
WISE 334,269.80793,-23.78845,G005.981-00.002,Q,1.50,45,,
WISE 335,270.94387,-24.37207,G005.987-01.191,K,14.30,429,G005.956-01.265; M8,
WISE 336,270.16823,-23.94960,G006.005-00.368,K,5.40,162,G006.014-00.364,
WISE 337,269.54177,-23.57650,G006.043+00.316,Q,1.40,42,,
WISE 338,271.22608,-24.44556,G006.049-01.451,G,2.67,80,,G006.165-01.168
WISE 339,269.87907,-23.73935,G006.057-00.033,Q,1.40,42,,
WISE 340,269.98566,-23.77226,G006.077-00.135,K,11.20,336,G006.083-00.117,
WISE 341,270.37929,-23.96062,G006.092-00.541,Q,14.00,420,,G006.148-00.635
WISE 342,271.07209,-24.30937,G006.100-01.263,K,48.63,1459,G006.165-01.168,G006.165-01.168
WISE 343,270.50752,-23.99735,G006.117-00.661,G,2.53,76,,G006.148-00.635
WISE 344,270.47244,-23.97683,G006.119-00.622,Q,1.30,39,,G006.148-00.635
WISE 345,270.12485,-23.78525,G006.128-00.252,C,3.47,104,,
WISE 346,270.24891,-23.84663,G006.131-00.380,Q,2.27,68,,
WISE 347,270.50200,-23.96574,G006.142-00.641,K,2.87,86,G006.148-00.635,G006.148-00.635
WISE 348,269.96616,-23.66866,G006.157-00.067,Q,1.80,54,,
WISE 349,270.48075,-23.93514,G006.160-00.608,K,2.23,67,G006.160-00.608,
WISE 350,270.04497,-23.68350,G006.181-00.138,Q,0.97,29,,
WISE 351,270.26514,-23.78833,G006.190-00.364,Q,1.27,38,,
WISE 352,270.24873,-23.76824,G006.200-00.342,C,3.80,114,,
WISE 353,270.06529,-23.67112,G006.201-00.148,Q,0.83,25,,
WISE 354,270.05690,-23.66441,G006.202-00.138,Q,0.47,14,,
