idPNMain,PNGId,PNstat,id,alpha,delta,diamArcSeconds,diameter,axisRatio,posAngle,Catalogue,Common name,Caldwell-Messier
71,PN G001.6+00.1,T,JaSt 63,267.19245,-27.4269,10,0.167,,,2001A&A...378..843K,,
72,PN G001.6-05.9,T,SB 6,273.316,-30.4336,26.4,0.44,1.33,,2001A&A...378..843K,,
73,PN G001.7+05.7,T,H 1-14,262.00732,-24.42306,6.6,0.11,,,1992secg.book.....A,,
74,PN G001.7-04.4,T,H 1-55,271.81063,-29.69012,3,0.05,1.07,90,1992secg.book.....A,,
75,PN G001.7+01.3,T,JaSt 52,266.155,-26.7904,5,0.083,1,,2001A&A...378..843K,,
76,PN G001.7-04.6,T,H 1-56,271.97449,-29.74285,4.2,0.07,1,,1992secg.book.....A,,
77,PN G001.7-01.6,T,H 2-31,269.00996,-28.23671,10.2,0.17,,,1992secg.book.....A,,
78,PN G001.7-03.8,T,ShWi 2-7,271.273,-29.3376,28,0.467,3.11,,1992secg.book.....A,,
79,PN G001.9+02.3,T,K 5-10,265.352,-26.0648,7.9,0.132,,,2001A&A...378..843K,,
81,PN G002.0-06.2,T,M 2-33,273.77722,-30.25914,5.4,0.09,1.08,,1992secg.book.....A,,
82,PN G002.1-04.2,T,H 1-54,271.78015,-29.21843,1.9,0.032,1.19,137,1992secg.book.....A,,
83,PN G002.1-02.2,T,M 3-20,269.83051,-28.23001,6.6,0.11,1,,1992secg.book.....A,,
84,PN G002.1+03.3,T,PBOZ 24,264.46292,-25.34572,10,0.167,,,1992secg.book.....A,,
85,PN G002.1+01.7,T,JaFu 1,265.98836,-26.1982,6,0.1,1,,2001A&A...378..843K,,
86,PN G002.2-02.7,T,M 2-23,270.42755,-28.42886,4,0.067,1,,1992secg.book.....A,,
87,PN G002.2+00.5,T,Terz N 2337,267.188,-26.7235,35.1,0.585,,,1992secg.book.....A,,
88,PN G002.2-06.3,T,H 1-63,274.08057,-30.12666,3.8,0.063,1.19,,1992secg.book.....A,,
89,PN G002.2-02.5,T,KFL 2,270.249,-28.2719,8.2,0.137,1.39,,1992secg.book.....A,,
90,PN G002.2-09.4,T,Cn 1-5,277.29854,-31.49978,7.2,0.12,1.2,162,1992secg.book.....A,,
91,PN G002.3+02.2,T,K 5-11,265.625,-25.75752,12,0.2,1.2,,1992secg.book.....A,,
92,PN G002.3-07.8,T,M 2-41,275.644,-30.7249,14,0.233,1,,1992secg.book.....A,,
93,PN G002.3-03.4,T,H 2-37,271.12,-28.6273,6,0.1,1.71,71,1992secg.book.....A,,
94,PN G002.4+05.8,T,NGC 6369,262.33517,-23.75951,72,1.2,,135,1992secg.book.....A,Little Ghost Nebula,
95,PN G002.4-03.2,T,Wray 17-107,271.02264,-28.46414,18.6,0.31,1.21,,1992secg.book.....A,,
96,PN G002.4-03.7,T,M 1-38,271.52389,-28.675,3.5,0.058,1,,1992secg.book.....A,,
98,PN G002.5-01.7,T,Pe 2-11,269.63007,-27.61816,7.8,0.13,1.2,,1992secg.book.....A,,
100,PN G002.6+05.5,T,K 5-3,262.67166,-23.75011,16,0.267,1.6,,2001A&A...378..843K,,
101,PN G002.6+08.1,T,H 1-11,260.32373,-22.30981,6,0.1,1,,1992secg.book.....A,,
102,PN G002.6-03.4,T,M 1-37,271.35751,-28.36783,0.8,0.013,1.14,,1992secg.book.....A,,
103,PN G002.6+04.2,T,Th 3-27,263.99362,-24.42476,2.1,0.035,1.11,,1992secg.book.....A,,
104,PN G002.7-52.4,T,IC 5148/50,329.89667,-39.38556,132.5,2.208,1.04,,1992secg.book.....A,,
105,PN G002.7-04.8,T,M 1-42,272.77094,-28.98315,13.1,0.218,1.16,21,1992secg.book.....A,,
106,PN G002.8+01.7,T,H 2-20,266.41571,-25.66668,2.8,0.047,1.04,,1992secg.book.....A,,
107,PN G002.8+01.8,T,Terz N 1567,266.368,-25.6368,11.8,0.197,1.33,0,1992secg.book.....A,,
108,PN G002.8-02.2,T,Pe 2-12,270.292,-27.64061,10.5,0.175,2.1,,1992secg.book.....A,,
109,PN G002.9-03.9,T,H 2-39,272.02404,-28.43633,6.9,0.115,1.47,,1992secg.book.....A,,
110,PN G002.9+06.5,T,PM 1-149,261.97375,-22.95524,5,0.083,,,1992secg.book.....A,,
111,PN G003.0-02.6,T,KFL 4,270.71442,-27.68354,3,0.05,,,1992secg.book.....A,,
112,PN G003.1+04.1,T,K 5-7,264.334,-24.0582,10.3,0.172,,,2001A&A...378..843K,,
113,PN G003.1+02.9,T,Hb 4,265.47,-24.70233,11.1,0.185,1.63,140,1992secg.book.....A,,
114,PN G003.1+03.4,T,H 2-17,265.03094,-24.42849,4.8,0.08,1.23,,1992secg.book.....A,,
115,PN G003.2-04.4,T,KFL 12,272.62836,-28.32303,3.4,0.057,1.1,,1992secg.book.....A,,
116,PN G003.2-06.2,T,M 2-36,274.42258,-29.13877,8.1,0.135,,,1992secg.book.....A,,
117,PN G003.3-07.5,T,KFL 19,275.78705,-29.72366,7.8,0.13,,,1992secg.book.....A,,
118,PN G003.3-06.1,L,SB 7,274.44318,-29.10209,10.2,0.17,1.7,,2001A&A...378..843K,,
119,PN G003.3-04.6,T,Ap 1-12,272.89621,-28.37695,12,0.2,1.33,,1992secg.book.....A,,
123,PN G003.5-04.6,T,NGC 6565,272.96863,-28.17841,18,0.3,1.38,,1992secg.book.....A,,
124,PN G003.5-02.4,T,IC 4673,270.82669,-27.10628,22,0.367,1.45,126,1992secg.book.....A,,
125,PN G003.6+03.1,T,M 2-14,265.48856,-24.18768,2.2,0.037,1,,1992secg.book.....A,,
126,PN G003.6-02.3,T,M 2-26,270.79935,-26.97506,10.5,0.175,1.01,,1992secg.book.....A,,
127,PN G003.6+04.9,T,K 5-6,263.88,-23.19656,22.6,0.377,2.33,,2001A&A...378..843K,,
128,PN G003.7+07.9,T,H 2-8,261.18951,-21.55979,11.9,0.198,1.78,,1992secg.book.....A,,
129,PN G003.7-04.6,T,M 2-30,273.14331,-27.96962,5.1,0.085,1.02,,1992secg.book.....A,,
130,PN G003.8+05.3,T,H 2-15,263.61172,-22.88881,4.4,0.073,,0,1992secg.book.....A,,
131,PN G003.8-04.3,T,H 1-59,272.87192,-27.77102,6.6,0.11,1.1,71,1992secg.book.....A,,
132,PN G003.8-04.5,T,H 2-41,273.09903,-27.87052,9.3,0.155,1.01,,1992secg.book.....A,,
133,PN G003.9-02.3,T,M 1-35,270.91379,-26.72603,7.3,0.122,1.07,,1992secg.book.....A,,
134,PN G003.9-03.1,T,KFL 7,271.70838,-27.10542,8.1,0.135,1.62,,1992secg.book.....A,,
135,PN G003.9+01.6,T,Terz N 2111,267.1185,-24.68998,8,0.133,,,1992secg.book.....A,,
136,PN G003.9-14.9,T,Hb 7,283.9077,-32.26348,3.5,0.058,1,,1992secg.book.....A,,
137,PN G004.0-11.1,T,M 3-29,279.85739,-30.67686,9.7,0.162,1.13,,1992secg.book.....A,,
138,PN G004.0-05.8,T,Pe 1-12,274.42624,-28.28772,10,0.167,1.11,,1992secg.book.....A,,
139,PN G004.0-03.0,L,M 2-29,271.67026,-26.91554,4.8,0.08,1.33,,1992secg.book.....A,,
140,PN G004.1-03.8,T,KFL 11,272.55103,-27.27639,3,0.05,1.3,,1992secg.book.....A,,
141,PN G004.2-04.3,T,H 1-60,273.1048,-27.48693,6,0.1,1,,1992secg.book.....A,,
142,PN G004.2-03.2,T,KFL 10,272.00546,-26.90042,7.1,0.118,1.27,,1992secg.book.....A,,
143,PN G004.2-05.9,L,M 2-37,274.65977,-28.13293,7.2,0.12,,,1992secg.book.....A,,
145,PN G004.3-02.6,T,H 1-53,271.4892,-26.49486,2.3,0.038,1.35,,1992secg.book.....A,,
147,PN G004.6-09.9,L,SB 9,278.92633,-29.63974,13.2,0.22,1,,2001A&A...378..843K,,
148,PN G004.6+06.0,T,H 1-24,263.40652,-21.77355,9,0.15,1.8,,1992secg.book.....A,,
149,PN G004.7-11.8,T,Hen 2-418,281.06082,-30.32688,14,0.233,1.65,,1992secg.book.....A,,
150,PN G004.8-05.0,T,M 3-26,274.04752,-27.24929,11,0.183,1.16,,1992secg.book.....A,,
151,PN G004.8+02.0,T,H 2-25,267.25201,-23.71516,3.1,0.052,1.03,41,1992secg.book.....A,,
152,PN G004.8-22.7,T,Hen 2-436,293.02792,-34.21595,0.6,0.01,1,,1992secg.book.....A,,
153,PN G004.9+04.9,T,M 1-25,264.62628,-22.14413,5,0.083,1.67,40,1992secg.book.....A,,
154,PN G004.9-04.9,T,M 1-44,274.07229,-27.07628,6,0.1,1.11,,1992secg.book.....A,,
155,PN G005.0+04.4,T,H 1-27,265.07471,-22.32157,5.2,0.087,,,1992secg.book.....A,,
156,PN G005.0-03.9,T,H 2-42,273.09572,-26.54844,13,0.217,1.09,,1992secg.book.....A,,
157,PN G005.0+03.0,T,Pe 1-9,266.403,-23.0404,13.6,0.227,1.01,,1992secg.book.....A,,
158,PN G005.1-03.0,T,H 1-58,272.30765,-26.04133,6,0.1,1,,1992secg.book.....A,,
159,PN G005.1-08.9,T,Hf 2-2,278.12846,-28.72222,21.7,0.362,1,,1992secg.book.....A,,
160,PN G005.1+02.0,T,K 5-19,267.46368,-23.4623,8.5,0.142,,,2001A&A...378..843K,,
161,PN G005.2-18.6,T,StWr 2-21,288.59723,-32.57132,2.7,0.045,1,,1992secg.book.....A,,
162,PN G005.2+05.6,T,M 3-12,264.0943,-21.52006,6,0.1,,,1992secg.book.....A,,
163,PN G005.2+04.2,L,M 3-13,265.40247,-22.21735,9.8,0.163,,,1992secg.book.....A,,
164,PN G005.4-01.9,T,PBOZ 34,271.35573,-25.22656,8.8,0.147,,,1992secg.book.....A,,
165,PN G005.5-04.0,T,H 2-44,273.41901,-26.14409,6.6,0.11,,,1992secg.book.....A,,
166,PN G005.5-02.5,T,M 3-24,271.97464,-25.40075,10.2,0.17,,,1992secg.book.....A,,
167,PN G005.5+02.7,T,H 1-34,267.03195,-22.77987,2,0.033,,,1992secg.book.....A,,
168,PN G005.6-04.7,T,KFL 16,274.225,-26.3892,12.4,0.207,,,1992secg.book.....A,,
169,PN G005.7-05.3,T,M 2-38,274.85483,-26.58887,9.3,0.155,,,1992secg.book.....A,,
170,PN G005.7-03.6,T,KFL 13,273.186,-25.7388,14.2,0.237,,,1992secg.book.....A,,
