idPNMain,PNGId,PNstat,id,alpha,delta,diamArcSeconds,diameter,axisRatio,posAngle,Catalogue,Common name,Caldwell-Messier
1123,PN G345.3-10.2,T,MeWe 1-11,268.19608,-46.69983,69,1.15,1,41,1992secg.book.....A,,
1124,PN G345.4+00.1,T,IC 4637,256.29376,-40.88568,18.9,0.315,1.4,0,1992secg.book.....A,,
1125,PN G345.5+15.1,T,Lo 13,242.44131,-30.91879,75,1.25,1.04,,1992secg.book.....A,,
1126,PN G345.6+06.7,T,Hen 2-175,249.86713,-36.57122,6.6,0.11,,94,1992secg.book.....A,,
1127,PN G345.9+03.0,T,Vd 1-6,253.61377,-38.73622,16,0.267,1.6,110,1992secg.book.....A,,
1130,PN G346.2-08.2,T,IC 4663,266.369,-44.905,19.5,0.325,1.22,86,1992secg.book.....A,,
1131,PN G346.3-06.8,T,Fg 2,264.83275,-44.16042,6.5,0.108,1.18,,1992secg.book.....A,,
1132,PN G346.9+12.4,T,Abell 38,245.82924,-31.74971,156,2.6,1.64,83,1992secg.book.....A,,
1133,PN G347.4+05.8,T,H 1-2,252.22537,-35.78584,2,0.033,1,,1992secg.book.....A,,
1134,PN G347.7+02.0,T,Vd 1-8,256.14072,-37.88747,3,0.05,1,,1992secg.book.....A,,
1135,PN G347.9-06.0,T,SB 31,265.01389,-42.40155,16.8,0.28,1.22,,2001A&A...378..843K,,
1136,PN G348.0-13.8,T,IC 4699,274.63342,-45.98381,12.6,0.21,1.58,28,1992secg.book.....A,,
1137,PN G348.0+06.3,T,WRAY 15-1537,252.20229,-35.01594,10.7,0.178,,,1992secg.book.....A,,
1138,PN G348.4-04.1,T,H 1-21,263.19913,-40.97462,10,0.167,,,1992secg.book.....A,,
1139,PN G348.8-09.0,T,Hen 2-306,269.14044,-43.05525,3,0.05,,,1992secg.book.....A,,
1140,PN G348.9+04.6,T,KLSS 1-15,254.48798,-35.41504,19,0.317,,,2001A&A...378..843K,,
1141,PN G349.2-03.5,T,H 2-14,263.0836,-39.85618,14,0.233,,,1992secg.book.....A,,
1142,PN G349.3-01.1,T,NGC 6337,260.56549,-38.48339,47.6,0.793,1.02,139,1992secg.book.....A,,
1143,PN G349.3-04.2,T,Lo 16,263.92416,-40.19061,88,1.467,1.1,,1992secg.book.....A,,
1144,PN G349.5+01.0,T,NGC 6302,258.43539,-37.10322,390,6.5,,83,1992secg.book.....A,Bug Nebula,Caldwell 69
1145,PN G349.8+04.4,T,M 2-4,255.27596,-34.82738,3,0.05,1.5,,1992secg.book.....A,,
1146,PN G350.1-03.9,T,H 1-26,264.1245,-39.36571,23.4,0.39,1.3,88,1992secg.book.....A,,
1147,PN G350.5-05.0,T,H 1-28,265.72528,-39.60668,7.8,0.13,,,1992secg.book.....A,,
1148,PN G350.8-02.4,T,H 1-22,263.09225,-37.95662,3.5,0.058,1.09,,1992secg.book.....A,,
1149,PN G350.9+04.4,T,H 2-1,256.15106,-33.98854,4.3,0.072,1.16,7,1992secg.book.....A,,
1150,PN G351.0-10.4,T,HaTr 9,272.24533,-41.81047,160,2.667,1.05,,1992secg.book.....A,,
1151,PN G351.1+04.8,T,M 1-19,255.9452,-33.49567,8,0.133,2.67,0,1992secg.book.....A,,
1152,PN G351.2+05.2,T,M 2-5,255.57945,-33.16806,6.5,0.108,1,,1992secg.book.....A,,
1153,PN G351.2-06.3,T,SB 33,267.61503,-39.67121,22.2,0.37,1.23,,2001A&A...378..843K,,
1154,PN G351.3+07.6,T,H 1-4,253.40445,-31.67584,10,0.167,,,1992secg.book.....A,,
1155,PN G351.5-06.5,T,SB 34,268.03909,-39.53737,22.8,0.38,1.09,,2001A&A...378..843K,,
1156,PN G351.6-06.2,T,H 1-37,267.6857,-39.29055,8.6,0.143,,,1992secg.book.....A,,
1157,PN G351.7-10.9,T,Wray 16-385,273.22046,-41.50739,8,0.133,,,1992secg.book.....A,,
1158,PN G351.7-06.6,T,SB 35,268.26172,-39.4024,8,0.133,,,2001A&A...378..843K,,
1159,PN G351.9+09.0,T,PC 13,252.57129,-30.33208,10,0.167,1.18,,1992secg.book.....A,,
1160,PN G351.9-01.9,T,Wray 16-286,263.25278,-36.73126,10,0.167,,,1992secg.book.....A,,
1161,PN G352.0-04.6,T,H 1-30,266.27826,-38.14708,5.4,0.09,,,1992secg.book.....A,,
1163,PN G352.1+05.1,T,M 2-8,256.37781,-32.53564,5,0.083,1,,1992secg.book.....A,,
1164,PN G352.6+03.0,T,H 1-8,258.67877,-33.41311,3.4,0.057,,,1992secg.book.....A,,
1165,PN G352.6-04.9,T,SB 37,266.96948,-37.80086,13.2,0.22,1.22,,2001A&A...378..843K,,
1166,PN G352.6+00.1,T,H 1-12,261.60117,-35.02822,8.5,0.142,1.06,,1992secg.book.....A,,
1167,PN G352.7-08.4,T,SB 38,270.87151,-39.35783,15.6,0.26,1.08,,2001A&A...378..843K,,
1168,PN G352.8-00.2,T,H 1-13,262.11492,-35.12547,13.5,0.225,1.13,,1992secg.book.....A,,
1169,PN G352.9+11.4,T,K 2-16,251.20438,-28.06797,26.6,0.443,1.09,141,1992secg.book.....A,,
1170,PN G352.9-07.5,T,Fg 3,270.04925,-38.83128,4,0.067,2,,1992secg.book.....A,,
1171,PN G353.2-05.2,T,H 1-38,267.68853,-37.39808,14,0.233,1.17,,1992secg.book.....A,,
1172,PN G353.3+06.3,T,M 2-6,256.07635,-30.89131,8,0.133,,,1992secg.book.....A,,
1173,PN G353.3-08.3,T,SB 39,271.13174,-38.79436,103.2,1.72,1.08,,2001A&A...378..843K,,
1175,PN G353.4-04.5,T,K 6-13,267.00387,-36.83556,13.7,0.228,,,2001A&A...378..843K,,
1177,PN G353.6-03.6,T,K 6-11,266.1482,-36.23393,12.8,0.213,,,2001A&A...378..843K,,
1178,PN G353.7+06.3,T,M 2-7,256.308,-30.5388,7.8,0.13,,,1992secg.book.....A,,
1179,PN G353.7-12.8,T,Wray 16-411,276.67407,-40.49792,30,0.5,1,87,1992secg.book.....A,,
1181,PN G353.9+02.7,T,PM 1-140,259.93938,-32.50894,8.6,0.143,,,1992secg.book.....A,,
1182,PN G354.2+04.3,T,M 2-10,258.52927,-31.3285,6.5,0.108,1.18,,1992secg.book.....A,,
1183,PN G354.4-07.8,T,H 1-52,271.24004,-37.63554,15,0.25,,,1992secg.book.....A,,
1185,PN G354.5+03.3,T,Th 3-4,259.71634,-31.65176,14,0.233,,,1992secg.book.....A,,
1186,PN G354.6+04.9,T,Terz N 139,258.22243,-30.66899,16.2,0.27,,,2001A&A...378..843K,,
1187,PN G354.7-10.0,T,SB 41,273.91267,-38.46569,25.8,0.43,1.1,,2001A&A...378..843K,,
1188,PN G354.7-07.2,T,SB 40,270.73206,-37.13721,20.4,0.34,1.1,,2001A&A...378..843K,,
1190,PN G355.0-03.7,T,K 5-18,267.12288,-35.09144,11.1,0.185,1.11,,2001A&A...378..843K,,
1191,PN G355.1-06.9,T,M 3-21,270.63469,-36.65304,2.8,0.047,1,,1992secg.book.....A,,
1192,PN G355.1+04.7,T,Terz N 140,258.761,-30.3424,46,0.767,1.35,,2001A&A...378..843K,,
1193,PN G355.1-02.9,T,H 1-31,266.38451,-34.56551,1.8,0.03,1.06,,1992secg.book.....A,,
1194,PN G355.1+02.3,T,Th 3-11,261.1096,-31.7222,7.5,0.125,,,1992secg.book.....A,,
1195,PN G355.2+03.7,T,Terz N 137,259.76398,-30.89816,13.3,0.222,1.27,,1992secg.book.....A,,
1196,PN G355.2-02.5,T,H 1-29,266.0577,-34.29259,3,0.05,1,,1992secg.book.....A,,
1197,PN G355.3-07.5,T,SB 42,271.46893,-36.76015,21,0.35,1,,2001A&A...378..843K,,
1198,PN G355.4-01.4,T,K 6-9,265.00143,-33.5923,8.4,0.14,1.12,,2001A&A...378..843K,,
1199,PN G355.4-02.4,T,M 3-14,266.08582,-34.11127,8,0.133,1.6,164,1992secg.book.....A,,
1201,PN G355.4-04.0,T,Hf 2-1,267.80063,-34.923,25,0.417,,40,1992secg.book.....A,,
1202,PN G355.6-02.7,T,H 1-32,266.52636,-34.06265,2.3,0.038,1.05,,1992secg.book.....A,,
1203,PN G355.7-03.4,T,H 2-23,267.24164,-34.3648,3.4,0.057,1.26,,1992secg.book.....A,,
1204,PN G355.7-03.5,T,H 1-35,267.30807,-34.38138,3,0.05,1,,1992secg.book.....A,,
1205,PN G355.7-03.0,T,H 1-33,266.95588,-34.13472,4,0.067,1.25,,1992secg.book.....A,,
1206,PN G355.8-08.7,T,SB 43,273.09852,-36.88107,42,0.7,1.04,,2001A&A...378..843K,,
1207,PN G355.9-04.2,T,M 1-30,268.24561,-34.63972,3.5,0.058,1,98,1992secg.book.....A,,
1208,PN G355.9+02.7,T,Th 3-10,261.1702,-30.86652,3,0.05,1.15,,1992secg.book.....A,,
1209,PN G355.9+03.6,T,H 1-9,260.3829,-30.34676,5,0.083,1.25,0,1992secg.book.....A,,
1210,PN G356.0-07.4b,T,SB 45,271.71858,-36.11139,22.2,0.37,1,,2001A&A...378..843K,,
1211,PN G356.0-07.4a,T,SB 44,271.78258,-36.04606,28.2,0.47,1.09,,2001A&A...378..843K,,
1212,PN G356.1-03.3,T,H 2-26,267.46169,-34.00865,5.5,0.092,1.1,132,1992secg.book.....A,,
1213,PN G356.1+02.7,T,Th 3-13,261.3306,-30.67827,1.9,0.032,1.36,,1992secg.book.....A,,
1214,PN G356.1-08.6,T,SB 46,273.16614,-36.53032,14.4,0.24,1,,2001A&A...378..843K,,
1215,PN G356.2-04.4,T,Cn 2-1,268.63742,-34.37246,2.6,0.043,1,,1992secg.book.....A,,
1216,PN G356.3-07.3,T,SB 47,271.83948,-35.76223,30.6,0.51,1.06,,2001A&A...378..843K,,
1217,PN G356.3-06.2,T,M 3-49,270.63344,-35.22047,9.8,0.163,,,1992secg.book.....A,,
1218,PN G356.4-06.8,T,SB 48,271.31,-35.46876,15,0.25,1.09,,2001A&A...378..843K,,
1219,PN G356.5-03.6,T,H 2-27,267.96072,-33.79322,5.2,0.087,1.24,,1992secg.book.....A,,
1220,PN G356.5-02.3,T,M 1-27,266.68936,-33.14307,6.7,0.112,1.05,,1992secg.book.....A,,
1221,PN G356.5+01.5,T,Th 3-55,262.74515,-31.01826,8,0.133,,,1992secg.book.....A,,
1222,PN G356.5-03.9,T,H 1-39,268.33752,-33.9329,5.5,0.092,,31,1992secg.book.....A,,
1223,PN G356.5+05.1,T,Th 3-3,259.33553,-28.99115,17,0.283,,102,1992secg.book.....A,,
1224,PN G356.6-07.8,T,H 1-57,272.45514,-35.73691,12.6,0.21,,,1992secg.book.....A,,
1225,PN G356.7-04.8,T,H 1-41,269.32977,-34.16364,12,0.2,1.36,,1992secg.book.....A,,
1226,PN G356.7-06.4,T,H 1-51,271.1221,-34.96694,17.7,0.295,1.16,,1992secg.book.....A,,
1227,PN G356.8-05.4,T,H 2-35,270.07586,-34.461,7,0.117,1.08,,1992secg.book.....A,,
1228,PN G356.8-03.0,T,K 5-20,267.54474,-33.23832,5.3,0.088,1.02,,2001A&A...378..843K,,
1229,PN G356.8-11.7,T,Lo 17,276.9614,-37.26589,116,1.933,1.05,,1992secg.book.....A,,
1230,PN G356.8+03.3,T,Th 3-12,261.27539,-29.75469,2,0.033,1.54,,1992secg.book.....A,,
1231,PN G356.9+04.5,T,M 2-11,260.13855,-29.01074,6,0.1,1,,1992secg.book.....A,,
1232,PN G356.9+04.4,T,M 3-38,260.26859,-29.04978,1.6,0.027,1.33,,1992secg.book.....A,,
1234,PN G357.0+02.4,T,M 4-4,262.20978,-30.12902,6.3,0.105,1.24,,1992secg.book.....A,,
1235,PN G357.1+03.6,T,M 3-7,261.14346,-29.40541,6.5,0.108,1.08,0,1992secg.book.....A,,
1236,PN G357.1+01.2,T,K 6-2,263.46235,-30.71004,8.6,0.143,,,2001A&A...378..843K,,
1237,PN G357.1+01.9,T,Th 3-24,262.71358,-30.28676,8.6,0.143,1.18,,1992secg.book.....A,,
1238,PN G357.1-06.1,T,M 3-50,271.02167,-34.47708,8.5,0.142,2.43,,1992secg.book.....A,,
1239,PN G357.1-04.7,T,H 1-43,269.56012,-33.79375,2,0.033,1,,1992secg.book.....A,,
1240,PN G357.2+07.4,T,M 4-3,257.67395,-27.14549,2,0.033,1,,1992secg.book.....A,,
1242,PN G357.2+02.0,T,H 2-13,262.78369,-30.17444,5.6,0.093,1.04,,1992secg.book.....A,,
1243,PN G357.2-04.5,T,H 1-42,269.35486,-33.59526,4.3,0.072,1.16,,1992secg.book.....A,,
1244,PN G357.2+01.4,T,Al 2-H,263.321,-30.4414,7.6,0.127,,,1992secg.book.....A,,
1245,PN G357.3-06.5,T,SB 50,271.53458,-34.55853,24.6,0.41,1.08,,2001A&A...378..843K,,
1246,PN G357.3+04.0,T,H 2-7,260.85391,-28.98501,5.7,0.095,1.3,,1992secg.book.....A,,
1247,PN G357.3+03.3,T,M 3-41,261.49911,-29.36393,4.3,0.072,1,,1992secg.book.....A,,
1248,PN G357.4-03.5,T,M 2-18,268.40768,-32.97998,2.2,0.037,1.05,,1992secg.book.....A,,
1249,PN G357.4-07.2,L,SB 51,272.32,-34.7971,45.6,0.76,1.38,,2001A&A...378..843K,,
1250,PN G357.4-03.2,T,M 2-16,268.14319,-32.76419,5,0.083,1,,1992secg.book.....A,,
1251,PN G357.4-04.6,T,M 2-22,269.63588,-33.4768,5.8,0.097,1.12,,1992secg.book.....A,,
1252,PN G357.5+03.1,L,Th 3-16,261.85147,-29.35389,6,0.1,,,1992secg.book.....A,,
1253,PN G357.5+03.2,T,M 3-42,261.74915,-29.25885,7.2,0.12,1.64,,1992secg.book.....A,,
1254,PN G357.6+01.7,T,H 1-23,263.1954,-30.00419,3.5,0.058,1.35,,1992secg.book.....A,,
1255,PN G357.6+02.6,T,H 1-18,262.42816,-29.54728,3.5,0.058,,,1992secg.book.....A,,
1256,PN G357.6-03.3,T,H 2-29,268.31998,-32.67738,10.7,0.178,1.09,,1992secg.book.....A,,
1257,PN G357.6+01.0,T,Terz N 21,263.93106,-30.35734,31.5,0.525,1.18,26,1992secg.book.....A,,
1258,PN G358.0+09.3,T,Th 3-1,256.43549,-25.41715,10,0.167,,,1992secg.book.....A,,
1259,PN G357.9-03.8,T,H 2-30,269.058,-32.6228,13.3,0.222,1,,1992secg.book.....A,,
1260,PN G358.0-05.1,T,Pe 1-11,270.42818,-33.25687,8.8,0.147,,,1992secg.book.....A,,
1261,PN G358.0+02.6,T,Th 3-23,262.58893,-29.17016,5.8,0.097,,,1992secg.book.....A,,
1262,PN G358.0+07.5,T,Terz N 8,258.1398,-26.4226,31,0.517,1.48,,1992secg.book.....A,,
1263,PN G358.2+03.5,T,H 2-10,261.88687,-28.51858,3.7,0.062,1.23,,1992secg.book.....A,,
1264,PN G358.2-01.1,T,Bl D,266.51154,-31.06056,23.2,0.387,,149,1992secg.book.....A,,
1265,PN G358.2+03.6,T,M 3-10,261.83395,-28.46421,4.2,0.07,1.05,,1992secg.book.....A,,
1266,PN G358.2+04.2,T,M 3-8,261.21729,-28.0985,5,0.083,1,,1992secg.book.....A,,
1267,PN G358.3-21.6,T,IC 1297,289.34775,-39.61289,10.8,0.18,1.1,,1992secg.book.....A,,
1268,PN G358.3+03.0,T,H 1-17,262.4191,-28.67281,2.8,0.047,1,,1992secg.book.....A,,
1269,PN G358.3+01.2,T,Bl B,264.24933,-29.66915,2.4,0.04,1.2,,1992secg.book.....A,,
1271,PN G358.5-02.5,T,PN M 4-7,267.9361,-31.60005,6.9,0.115,1.05,,1992secg.book.....A,,
1272,PN G358.4+03.3,T,Th 3-19,262.1741,-28.45537,2.3,0.038,1,,1992secg.book.....A,,
1273,PN G358.4+01.6,T,JaSt 3,263.84476,-29.3715,5.5,0.092,,,2001A&A...378..843K,,
1274,PN G358.5-07.3,T,NGC 6563,273.01147,-33.86865,92,1.533,,60,1992secg.book.....A,,
1275,PN G358.5+02.9,T,Al 2-F,262.6268,-28.59858,4.2,0.07,1.2,,1992secg.book.....A,,
1276,PN G358.5-04.2,T,H 1-46,269.76038,-32.36206,3,0.05,1,,1992secg.book.....A,,
1278,PN G358.5+05.4,T,M 3-39,260.29784,-27.19362,25.9,0.432,1.43,35,1992secg.book.....A,,
1279,PN G358.5+02.6,T,M 3-57,262.94738,-28.70072,40,0.667,1.11,,1992secg.book.....A,,
1280,PN G358.6+07.8,T,M 3-36,258.16315,-25.72705,4.2,0.07,,,1992secg.book.....A,,
1281,PN G358.6-05.5,T,M 3-51,271.23431,-32.90034,20.9,0.348,1.44,,1992secg.book.....A,,
1282,PN G358.6-02.4,T,K 6-16,268.00143,-31.2972,8.9,0.148,1.09,,2001A&A...378..843K,,
1283,PN G358.6+01.8,T,M 4-6,263.80823,-29.05283,2.5,0.042,1.09,,1992secg.book.....A,,
1285,PN G358.7-05.2,T,H 1-50,270.97275,-32.69504,10,0.167,,,1992secg.book.....A,,
1286,PN G358.7+05.2,T,M 3-40,260.6178,-27.14511,2.2,0.037,,,1992secg.book.....A,,
1287,PN G358.7-05.1,T,SB 53,270.86874,-32.62388,16.8,0.28,1.17,,2001A&A...378..843K,,
1288,PN G358.7-02.7,T,Al 2-R,268.40096,-31.42355,8.3,0.138,,,1992secg.book.....A,,
1289,PN G358.8+04.0,T,Th 3-15,261.79442,-27.73267,7,0.117,,,1992secg.book.....A,,
1290,PN G358.8+01.7,T,JaSt 5,263.968,-28.9743,9.1,0.152,1.54,,2001A&A...378..843K,,
1291,PN G358.8+04.1,T,SaWe 2,261.75146,-27.67614,45,0.75,,,1992secg.book.....A,,
1293,PN G358.8+03.0,T,Th 3-26,262.78873,-28.24734,9.1,0.152,1.1,,1992secg.book.....A,,
1294,PN G358.9-00.7,T,M 1-26,266.49023,-30.20016,7.8,0.13,1.11,0,1992secg.book.....A,,
1295,PN G358.9+03.4,T,H 1-19,262.51062,-27.98821,2.6,0.043,1.3,,1992secg.book.....A,,
1296,PN G358.9+03.2,T,H 1-20,262.6825,-28.06852,4.4,0.073,1.16,,1992secg.book.....A,,
1297,PN G358.9-03.7,T,H 1-44,269.54434,-31.71558,3.5,0.058,1.06,,1992secg.book.....A,,
1298,PN G359.0-04.1,T,M 3-48,269.98659,-31.9077,5.4,0.09,1.23,,1992secg.book.....A,,
1299,PN G359.0+01.1,T,JaSt 9,264.68957,-29.14935,9,0.15,,,2001A&A...378..843K,,
1301,PN G359.0-04.8,T,M 2-25,270.69403,-32.15816,17.7,0.295,1.32,,1992secg.book.....A,,
1302,PN G359.1-02.9,T,M 3-46,268.77358,-31.20468,15.5,0.258,,,1992secg.book.....A,,
1303,PN G359.1-01.7,T,M 1-29,267.57501,-30.58192,7.6,0.127,1,,1992secg.book.....A,,
1304,PN G359.1+15.1,T,Abell 40,252.14373,-21.01404,34.3,0.572,1.13,72,1992secg.book.....A,,
1305,PN G359.1-02.3,T,M 3-16,268.19186,-30.82623,10,0.167,1.3,,1992secg.book.....A,,
1307,PN G359.2-33.5,T,Hen 3-1863,304.8696,-41.5243,17,0.283,1.31,,1992secg.book.....A,,
1308,PN G359.2+04.7,T,Th 3-14,261.43359,-26.96325,1.7,0.028,1.06,,1992secg.book.....A,,
1309,PN G359.3-00.9,T,Hb 5,266.98417,-29.99436,62,1.033,,76,1992secg.book.....A,,
1310,PN G359.3-03.1,T,M 3-17,269.10684,-31.07134,2.9,0.048,1,,1992secg.book.....A,,
1311,PN G359.3-06.0,T,SB 54,272.131,-32.4999,35.4,0.59,1.18,,2001A&A...378..843K,,
1312,PN G359.3-01.8,T,M 3-44,267.82874,-30.39805,4.4,0.073,1,,1992secg.book.....A,,
1313,PN G359.3+01.4,T,Th 3-35,264.67569,-28.71259,3.3,0.055,1.27,,1992secg.book.....A,,
1314,PN G359.3+03.6,T,Al 2-E,262.56,-27.50539,8.8,0.147,1.1,,1992secg.book.....A,,
1315,PN G359.4-08.5,T,SB 55,274.86079,-33.61864,16.2,0.27,1.17,,2001A&A...378..843K,,
1316,PN G359.4+02.3,T,Th 3-32,263.81473,-28.11714,3.5,0.058,1.17,,1992secg.book.....A,,
1317,PN G359.4-03.4,T,H 2-33,269.55222,-31.135,7.8,0.13,1.05,,1992secg.book.....A,,
1318,PN G359.5+02.6,T,Al 2-I,263.55759,-27.9336,5.6,0.093,1.17,,1992secg.book.....A,,
1319,PN G359.6-04.8,T,H 2-36,271.03203,-31.65296,17.7,0.295,1.22,,1992secg.book.....A,,
1320,PN G359.6+02.2,T,Al 2-K,264.05908,-28.01286,4.7,0.078,1.04,,1992secg.book.....A,,
1321,PN G359.7-02.6,T,H 1-40,268.90021,-30.55891,1.4,0.023,1,,1992secg.book.....A,,
1322,PN G359.7-01.8,T,M 3-45,268.02469,-30.08717,7.1,0.118,1.09,,1992secg.book.....A,,
1323,PN G359.7-04.4,T,KFL 3,270.72007,-31.39948,15.2,0.253,1.06,,1992secg.book.....A,,
1324,PN G359.8+03.7,T,Th 3-25,262.69464,-27.09976,3,0.05,1.15,,1992secg.book.....A,,
1326,PN G359.8+06.9,T,M 3-37,259.80579,-25.28821,10,0.167,,,1992secg.book.....A,,
1327,PN G359.8+02.4,T,Th 3-33,263.9505,-27.72233,6,0.1,,,1992secg.book.....A,,
1328,PN G359.8+05.2,T,Terz N 19,261.34829,-26.19806,19,0.317,,,1992secg.book.....A,,
1329,PN G359.8+05.6,T,M 2-12,261.00604,-25.98977,4.4,0.073,1,,1992secg.book.....A,,
1330,PN G359.8-07.2,T,M 2-32,273.71091,-32.61534,8,0.133,1,,1992secg.book.....A,,
1331,PN G359.9+05.1,T,M 3-9,261.43071,-26.19875,17.2,0.287,1.14,116,1992secg.book.....A,,
1332,PN G359.9-05.4,T,KFL 9,271.83036,-31.71559,11.8,0.197,,,1992secg.book.....A,,
1334,PN G359.9-04.5,T,M 2-27,270.96912,-31.29626,3.3,0.055,1.1,,1992secg.book.....A,,
1335,PN G000.0-06.8,T,H 1-62,273.3248,-32.32854,5,0.083,1.25,,1992secg.book.....A,,
2055,PN G000.0-01.8,T,PHR J1752-2953,268.24321,-29.88969,17,0.283,1.17,163,2006MNRAS.373...79P,,
2056,PN G000.0-02.1,T,MPA J1754-2957,268.51797,-29.95753,16,0.267,1,,2008MNRAS.384..525M,,
2057,PN G000.0-01.3,L,PPA J1751-2933,267.75171,-29.56416,12,0.2,1.2,,2006MNRAS.373...79P,,
2058,PN G000.1+01.9,T,PHR J1738-2748,264.56791,-27.80219,13,0.217,1.08,,2006MNRAS.373...79P,,
2059,PN G000.1+02.0,T,PHR J1738-2746,264.513,-27.7716,16,0.267,1,,2006MNRAS.373...79P,,
2060,PN G000.1+05.7,T,PHR J1724-2543,261.01793,-25.72054,11,0.183,1.1,,2006MNRAS.373...79P,,
2061,PN G000.1-01.7,T,JaSt 85,268.20379,-29.69973,16.7,0.278,1.37,,2006MNRAS.373...79P,,
2062,PN G000.2-03.4,T,PHR J1759-3030,269.948,-30.509,19,0.317,1.36,100,2006MNRAS.373...79P,,
2063,PN G000.3+07.3,T,PHR J1718-2441,259.67831,-24.69027,23,0.383,1.1,90,2006MNRAS.373...79P,,
2064,PN G000.3+04.5,T,PHR J1729-2614,262.28044,-26.24582,17,0.283,1.89,160,2006MNRAS.373...79P,,
2065,PN G000.3+03.2,L,PHR J1733-2655,263.469,-26.9242,9,0.15,1,,2006MNRAS.373...79P,,
2066,PN G000.3-01.6,T,PHR J1752-2930,268.21714,-29.50027,8.6,0.143,1.09,,2006MNRAS.373...79P,,
2067,PN G000.3-03.4,T,MPA J1800-3023,270.04626,-30.3969,5,0.083,1,,2008MNRAS.384..525M,,
2068,PN G000.3+04.2,T,PPA J1730-2621,262.55121,-26.3503,5,0.083,,,2006MNRAS.373...79P,,
2070,PN G000.3+03.4,L,PHR J1733-2647,263.364,-26.8001,15,0.25,1.07,,2006MNRAS.373...79P,,
2071,PN G000.3+05.6,T,PHR J1725-2534,261.30452,-25.57113,16,0.267,1.07,,2006MNRAS.373...79P,,
2072,PN G000.3-04.2,T,MPA J1803-3043,270.84042,-30.72659,36,0.6,1,,2008MNRAS.384..525M,,
2073,PN G000.4+04.4,T,K 5-1,262.46821,-26.18703,9,0.15,1,,2006MNRAS.373...79P,,
2075,PN G000.5+02.8,T,PHR J1735-2659,263.98169,-26.98803,23,0.383,1,,2006MNRAS.373...79P,,
2076,PN G000.6-03.2,T,MPA J1759-3004,269.98625,-30.07443,28,0.467,1,,2008MNRAS.384..525M,,
2077,PN G000.6+03.1,T,PHR J1734-2644,263.733,-26.7379,15,0.25,1,,2006MNRAS.373...79P,,
2078,PN G000.6-01.4,T,JaSt 88,268.2529,-29.09802,14,0.233,1.08,,2006MNRAS.373...79P,,
2079,PN G000.7+08.0,T,MPA J1717-2356,259.28769,-23.94146,12,0.2,1.2,,2008MNRAS.384..525M,,
2080,PN G000.8-05.7,T,PPA J1810-3104,272.602,-31.0679,31,0.517,1.11,,2006MNRAS.373...79P,,
2081,PN G000.9+02.1,T,MPA J1739-2702,264.87535,-27.0339,18,0.3,1.38,,2008MNRAS.384..525M,,
2082,PN G000.9-01.0,T,MPA J1751-2838,267.93033,-28.64969,6,0.1,1,,2008MNRAS.384..525M,,
2083,PN G000.9-04.2,T,PHR J1804-3016,271.20071,-30.28033,10,0.167,1,,2006MNRAS.373...79P,,
2084,PN G000.9+01.8,T,PPA J1740-2708,265.21567,-27.14674,7,0.117,1.27,,2006MNRAS.373...79P,,
2085,PN G000.9-03.3,T,PHR J1801-2947,270.30578,-29.78336,35.1,0.585,1.13,,2006MNRAS.373...79P,,
2086,PN G001.0+02.2,T,PPA J1739-2652,264.79712,-26.87226,6,0.1,1,,2006MNRAS.373...79P,,
2087,PN G001.0-01.9,T,K 6-35,268.93,-29.0677,14.5,0.242,1.16,,2006MNRAS.373...79P,,
2088,PN G001.1+02.2,T,MPA J1739-2648,264.95714,-26.81249,5,0.083,1,,2008MNRAS.384..525M,,
2090,PN G001.1-01.2,T,JaSt 2-10,268.32257,-28.60199,11.5,0.192,1.15,,2006MNRAS.373...79P,,
2091,PN G001.2+08.6,L,BMP J1716-2313,259.0872,-23.23241,178,2.967,1.38,,2008MNRAS.384..525M,,
2092,PN G001.2-02.0,T,JaSt 2-20,269.151,-28.9551,23,0.383,1.53,,2006MNRAS.373...79P,,
2093,PN G001.2-05.6,T,PHR J1811-3042,272.76128,-30.70331,32,0.533,1.39,138,2006MNRAS.373...79P,,
2094,PN G001.2-02.6,L,PHR J1759-2915,269.76172,-29.25027,33,0.55,1,,2006MNRAS.373...79P,,
2095,PN G001.2-03.8,T,PHR J1803-2947,270.874,-29.7826,47,0.783,1.18,,2006MNRAS.373...79P,,
2097,PN G001.4-04.4,T,BMP J1806-2958,271.66278,-29.98133,28,0.467,1.12,,2008MNRAS.384..525M,,
2098,PN G001.4+06.3,T,Bica 1,261.22413,-24.32247,55,0.917,1.49,,2006MNRAS.373...79P,,
2099,PN G001.4+04.3,T,PHR J1732-2522,263.11289,-25.38024,11,0.183,1,,2006MNRAS.373...79P,,
2100,PN G001.5-02.8,T,PPA J1800-2904,270.09335,-29.07746,8.5,0.142,1.13,,2006MNRAS.373...79P,,
2101,PN G001.5-02.4,T,PHR J1758-2852,269.70504,-28.8822,14,0.233,1.08,60,2006MNRAS.373...79P,,
2102,PN G001.5+03.1,T,PHR J1737-2559,264.31876,-25.99386,14.4,0.24,,,2006MNRAS.373...79P,,
2104,PN G001.6-02.6,T,PHR J1759-2853,269.99542,-28.89911,25,0.417,1.14,,2006MNRAS.373...79P,,
2105,PN G001.6-00.6,T,Sab 44,267.982,-27.8008,25,0.417,,,2006MNRAS.373...79P,,
2106,PN G001.6+01.6,T,MPA J1743-2636,265.77834,-26.60839,22,0.367,2.75,,2008MNRAS.384..525M,,
