id,alpha,delta,diameter,MWSC Id
ASCC 8,35.19,59.69,28.8,180
Berkeley 64,35.415,65.89,12.84,182
NGC 884,35.5125,57.145,52.8,184
NGC 886,35.862,63.755,20.4,186
IRAS 02232+6138,36.642,61.988,22.8,192
FSR 0584,36.8025,61.628,11.16,193
FSR 0591,36.915,58.758,12,196
Tombaugh 4,37.29,61.785,14.4,199
Teutsch 55,37.35,62.07,13.8,200
FSR 0568,37.23,72.19,19.2,201
Stock 7,37.4325,60.675,17.4,202
FSR 0617,37.4175,51.895,10.8,203
FSR 0596,37.4325,58.1,16.2,204
FSR 0620,37.6725,51.805,21.6,206
FSR 0569,37.785,72.48,15.6,207
NGC 956,37.995,44.58,16.8,208
IC 1805,38.1825,61.455,32.4,209
Czernik 8,38.2545,58.768,10.8,210
NGC 957,38.3775,57.573,34.8,211
Czernik 9,38.385,59.875,10.8,212
Czernik 10,38.475,60.18,10.8,213
SAI 21,38.7075,62.588,10.8,215
King 4,39.0225,59.025,21.6,216
Czernik 11,39.144,59.634,15.6,218
Trumpler 2,39.3675,55.95,52.8,219
FSR 0611,39.3825,56.405,19.8,220
Berkeley 65,39.75,60.4,13.2,221
Czernik 12,39.843,54.913,15,222
NGC 1039,40.5495,42.79,87.6,223
FSR 0614,40.62,56.735,15.6,224
NGC 1027,40.665,61.62,28.2,225
Czernik 13,41.1135,62.318,12,227
ASCC 9,41.745,57.745,25.2,228
Teutsch 162,41.9175,61.973,13.2,232
IRAS 02459+6029,42.6975,60.65,8.4,235
IC 1848,42.777,60.41,32.4,236
FSR 0576,42.9225,69.245,13.2,237
IRAS 02497+6217,43.6275,62.525,25.8,240
IRAS 02511+6023,43.815,60.6,8.4,242
FSR 0581,44.0265,68.825,16.8,243
IRAS 02541+6208,44.82,62.3,38.4,246
Collinder 33,44.8155,60.3,28.8,248
SAI 24,44.865,60.55,13.8,249
SAI 25,45.0975,57.285,16.2,250
IRAS 02575+6017,45.327,60.503,10.8,252
Berkeley 66,46.0155,58.74,13.8,255
NGC 1193,46.47,44.38,9.6,256
FSR 0612,47.55,64.28,10.8,258
NGC 1252,47.7,-57.76,30,260
NGC 1220,47.922,53.347,10.2,261
Trumpler 3,48.0525,63.15,56.4,262
NGC 1261,48.0675,-55.216,17.4,263
NGC 1245,48.7005,47.253,44.4,264
King 5,48.693,52.697,27,265
Stock 23,49.23,60.015,33.6,266
Czernik 14,49.2675,58.605,8.4,267
FSR 0627,50.085,60.26,8.4,270
Czernik 15,50.8005,52.233,9,271
FSR 0628,50.8005,60.55,12,272
Melotte 20,51.675,48.8,732,274
ASCC 10,51.765,35.03,63.6,275
King 6,52.0125,56.465,31.2,277
Alessi 13,52.02,-35.87,381.6,278
NGC 1333,52.23,31.37,68.4,279
Czernik 16,52.7925,52.632,17.4,282
NGC 1342,53.004,37.357,33,283
ASCC 11,53.07,44.84,49.2,284
FSR 0632,53.145,59.21,18.6,285
Berkeley 9,53.163,52.65,15.6,286
FSR 0682,53.355,36.826,13.8,288
NGC 1348,53.55,51.4,13.2,289
Berkeley 10,54.9,66.49,28.2,290
SAI 30,55.185,82.22,9.6,291
FSR 0634,55.095,59.43,12,292
FSR 0691,55.335,34.655,16.2,293
IC 348,56.1525,32.15,31.2,301
Juchert 11,56.835,53.902,10.8,304
Melotte 22,56.505,24.37,744,305
Tombaugh 5,57.015,59.07,32.4,306
Per OB2,57.7575,35.1,384,307
NGC 1444,57.3495,52.64,12,308
Czernik 17,58.1055,61.96,8.4,311
Juchert 9,58.8375,58.4,8.4,313
FSR 0654,58.9005,54.017,8.4,314
FSR 0655,59.043,53.877,10.8,315
FSR 0724,59.283,32.021,14.4,317
NGC 1520,59.4675,-76.8,15.6,319
FSR 0656,59.715,53.64,21.6,320
King 7,59.778,51.782,42,321
Alicante 1,59.7855,57.24,7.2,323
Cam OB3,60.195,56.45,79.2,325
Juchert 19,60.5775,52.45,7.8,327
FSR 0660,60.615,51.917,12,328
FSR 0689,60.765,41.303,16.8,329
FSR 0653,60.9555,55.419,8.4,331
NGC 1496,61.11,52.645,7.8,333
FSR 0695,61.455,39.2,13.8,335
FSR 0663,61.545,51.91,10.2,337
FSR 0692,61.5075,40.168,15.6,338
FSR 0698,61.65,39.135,11.4,339
FSR 0667,61.8075,51.167,9,341
NGC 1502,61.9575,62.331,36,343
FSR 0757,62.4705,26.57,12,345
NGC 1513,62.4255,49.51,18.6,346
FSR 0700,62.6025,39.25,13.2,347
Juchert 20,62.7075,46.868,13.2,348
FSR 0674,63.0945,48.728,15.6,350
NGC 1557,63.285,-70.465,26.4,351
LDN 1495W,63.6375,28.49,66,352
NGC 1528,63.8475,51.19,54,353
SAI 36,64.2075,41.075,8.4,355
FSR 0765,64.4925,26.211,20.4,357
FSR 0709,64.554,38.145,16.8,358
Waterloo 1,64.6575,52.86,15.6,359
FSR 0697,64.6725,41.526,13.8,360
IC 361,64.74,58.25,26.4,362
Mayer 2,64.938,53.175,9,365
Berkeley 11,65.115,44.915,19.8,368
NGC 1545,65.295,50.252,15.6,369
NGC 1548,65.3325,36.92,15.6,371
FSR 0762,65.4255,27.235,15,372
FSR 0671,65.6175,51.855,12,373
FSR 0741,65.8725,33.555,12,374
FSR 0756,66.054,29.715,12.6,375
FSR 0686,66.465,46.095,21.6,378
FSR 0606,66.729,73.38,13.2,380
Czernik 18,66.957,30.945,16.8,381
B 217,66.8055,25.965,24,382
FSR 0773,67.416,26.005,10.8,383
FSR 0728,67.47,38.5,19.2,384
NGC 1579,67.5465,35.279,50.4,385
NGC 1582,67.875,43.79,49.2,388
FSR 0804,68.6475,21.675,16.2,393
NGC 1605,68.73,45.275,13.8,394
Platais 3,69.45,71.47,270,395
NGC 1641,68.8575,-65.74,31.2,396
FSR 0740,68.907,36.098,22.8,397
IRAS 04324+5106,69.09,51.18,16.2,399
FSR 0805,69.135,22.035,14.4,400
Berkeley 67,69.45,50.775,18.6,404
FSR 0768,69.93,29.745,15.6,407
NGC 1624,70.158,50.451,12,408
FSR 0714,70.695,41.917,13.2,410
FSR 0719,71.061,41.803,11.4,411
Berkeley 68,71.115,42.1,19.8,412
Berkeley 12,71.1075,42.69,20.4,413
FSR 0723,71.1945,41.505,13.2,414
FSR 0733,71.295,39.76,13.2,415
NGC 1647,71.4975,19.17,90,416
FSR 0717,71.535,42.13,9.6,417
Palomar 2,71.5245,31.382,13.8,418
Alessi 2,71.565,55.255,40.2,419
FSR 0721,71.559,41.976,16.8,420
Ruprecht 148,71.637,44.739,9.6,421
FSR 0767,71.91,31.55,19.8,424
NGC 1662,72.1125,10.925,58.2,425
NGC 1663,72.315,13.17,34.2,426
ASCC 12,72.4815,41.719,26.4,427
FSR 0742,72.6465,38.134,9.6,429
NGC 1664,72.8085,43.66,37.2,430
FSR 0702,72.888,45.735,8.4,431
FSR 0750,73.095,35.95,15.6,432
FSR 0735,73.5045,40.84,15.6,433
FSR 0837,73.5,20.255,18,434
FSR 0643,73.7775,65.555,14.4,437
Teutsch 5,73.932,36.783,20.4,438
Berkeley 13,73.9425,52.815,12,439
Czernik 19,74.277,28.781,22.8,441
Skiff J0458+43.0,74.538,43.007,18,442
FSR 0820,74.8545,23.804,13.8,446
FSR 0744,74.865,37.965,18.6,447
Berkeley 14,74.946,43.485,19.8,448
Berkeley 14A,75.1575,43.565,55.2,449
FSR 0759,75.2925,35.793,13.8,451
FSR 0722,75.465,44.13,13.8,452
Berkeley 15,75.528,44.512,16.2,453
FSR 0753,75.54,36.766,16.8,454
FSR 0732,75.6675,42.54,14.4,455
FSR 0690,75.735,50.1,16.8,456
FSR 0734,75.8325,42.39,15.6,457
NGC 1708,75.8595,52.865,28.8,458
NGC 1724,75.8475,49.49,15.6,459
FSR 0771,75.945,32.165,16.8,460
NGC 1746,76.14,23.83,72,461
FSR 0841,76.5855,21.527,16.8,464
Bica 6,76.5825,39.165,16.8,465
Platais 4,76.7175,22.573,79.2,467
SAI 41,76.815,38.41,10.2,469
Skiff J0507+30.8,76.7985,30.85,12,470
FSR 0809,77.0505,27.535,19.2,471
NGC 1778,76.995,37.028,20.4,472
SAI 43,77.067,49.873,10.8,473
King 17,77.1,39.08,15,474
FSR 0683,77.16,53.22,12.6,475
FSR 0920,77.415,8.595,24,476
Teutsch 132,77.4825,38.815,9,477
NGC 1802,77.5275,24.18,22.8,478
NGC 1807,77.703,16.522,21.6,479
FSR 0796,77.742,30.205,13.2,480
FSR 0716,77.787,45.715,13.8,482
NGC 1798,77.91,47.695,18.6,483
NGC 1817,78.0825,16.68,31.2,484
ASCC 13,78.45,44.595,81.6,486
IRAS 05100+3723,78.363,37.438,14.4,487
FSR 0914,78.396,9.68,16.8,488
NGC 1851,78.5325,-40.043,27,489
FSR 0851,78.66,19.815,21.6,490
Dolidze 16,78.6495,32.66,18,491
FSR 0670,78.855,58.205,18,492
ESO 252-14,78.99,-45.24,14.4,493
FSR 0707,79.0155,47.613,13.8,494
Patchick 3,79.1475,45.605,19.8,495
FSR 0966,79.38,4.418,13.2,497
BDSB 68,79.557,37.557,12,499
NGC 1901,79.56,-68.44,40.2,500
FSR 0630,79.605,70.895,16.8,501
Kronberger 18,79.6725,37.63,13.8,502
FSR 0857,79.6425,19.12,15,503
SAI 46,79.9125,36.5,9,504
NGC 1857,80.0145,39.29,19.8,505
ESO 486-54,80.025,-26.033,12,506
ASCC 14,80.1,35.18,21,507
Czernik 20,80.115,39.54,30,508
Berkeley 17,80.1555,30.59,26.4,509
Berkeley 18,80.6025,45.405,33,512
Dolidze 17,80.6325,7.16,17.4,513
ASCC 15,80.6175,36.565,19.8,514
NGC 1893,80.7075,33.43,33.6,516
Collinder 62,80.577,41.025,28.2,518
FSR 0861,80.817,18.746,15,521
Dolidze 19,80.928,8.16,15,524
Dol-Dzim 2,80.97,11.49,19.2,525
SAI 47,80.985,42.323,15,526
Berkeley 19,81.003,29.567,10.8,527
NGC 1904,81.0465,-24.52,24.6,528
SAI 48,81.0555,33.477,15,529
FSR 0964,81.1125,5.476,19.2,530
ASCC 16,81.0375,1.64,79.2,531
Berkeley 69,81.0975,32.608,24.6,532
FSR 0868,81.2325,18.31,16.8,533
ASCC 17,81.33,30.182,23.4,534
FSR 0913,81.384,11.593,22.8,535
FSR 0775,81.4245,34.957,16.8,536
NGC 1896,81.414,29.26,15,537
Berkeley 70,81.441,41.93,18.6,538
NGC 1883,81.4695,46.49,18,539
Collinder 65,81.525,15.67,180,540
ASCC 18,81.5625,0.9,52.8,541
SAI 49,81.6075,50.79,16.2,542
Czernik 21,81.6825,36.015,30,543
Mamajek 3,81.5025,6.33,264,544
Dolidze 21,81.8835,7.075,20.4,545
FSR 0777,81.9045,34.748,15.6,546
ASCC 19,81.9225,-1.965,62.4,547
Dolidze 20,81.9375,33.785,15,548
FSR 0882,82.0005,16.915,24,550
Waterloo 2,82.008,40.352,22.8,551
NGC 1907,82.02,35.325,25.2,552
Stock 8,82.035,34.424,33.6,553
Kronberger 1,82.0875,34.785,12,555
ASCC 20,82.1895,1.64,87,556
NGC 1912,82.215,35.8,46.8,557
ASCC 21,82.26,3.56,102,558
FSR 0736,82.281,44.77,16.8,559
FSR 0907,82.3695,13.36,13.8,560
Teutsch 52,82.56,38.207,12.6,561
NGC 1931,82.845,34.233,19.2,564
FSR 0749,83.028,41.618,14.4,566
FSR 1017,83.0295,-3.035,10.2,567
B 30,82.9875,12.41,38.4,568
NGC 1963,83.04,-36.38,20.4,569
FSR 0884,83.0805,17.178,23.4,570
FSR 0991,83.1075,0.53,18,571
Berkeley 20,83.154,0.183,17.4,572
FSR 0761,83.34,39.833,19.8,574
Dol-Dzim 3,83.3925,26.469,7.2,575
FSR 0842,83.5965,25.563,15.6,576
FSR 0886,83.7465,17.268,18,578
NGC 1981,83.775,-4.42,26.4,579
Collinder 69,83.835,9.83,64.2,580
NGC 1976,83.8275,-5.36,52.2,582
NGC 1980,83.865,-5.915,27.6,586
NGC 1977,83.8875,-4.83,28.2,587
Collinder 70,83.9475,-0.88,105.6,591
Dol-Dzim 4,83.9595,25.95,18.6,592
FSR 1027,84.078,-3.28,19.8,593
NGC 1960,84.0825,34.158,31.2,594
Morgan 8,84.1125,-6.42,27.6,597
FSR 0807,84.1605,31.84,19.8,599
Koposov 36,84.1995,31.2,16.8,601
FSR 0815,84.4275,31.305,9,603
KMS 35,84.4755,-6.956,11.4,607
NGC 1996,84.5475,25.75,24,608
FSR 0812,84.5325,31.74,13.2,609
Sigma Ori,84.6825,-2.6,48,612
BDSB 74,84.6855,30.723,12,614
Stock 10,84.81,37.805,49.8,616
FSR 0816,84.8325,31.516,14.4,620
FSR 0817,84.864,30.903,13.8,622
Koposov 27,84.888,33.358,9.24,625
FSR 0930,85.0305,11.46,16.8,626
Sh2 235,85.1775,35.92,16.8,629
Sh2 235B,85.2225,35.707,16.8,631
Berkeley 71,85.2375,32.266,16.2,634
FSR 0874,85.242,20.356,14.16,635
Teutsch 2,85.35,39.238,9,638
BDSB 73,85.3875,35.861,22.2,639
FSR 0821,85.47,29.92,18.6,642
FSR 1050,85.485,-5.295,19.8,643
FSR 0799,85.5675,33.66,18.6,645
L 1641S,85.62,-8.15,49.2,647
FSR 0823,85.6455,29.548,12,650
Teutsch 45,85.65,30.973,11.4,651
FSR 0826,85.7205,28.957,14.4,653
NGC 2026,85.7745,20.145,15,655
B 35,85.9215,9.095,66,656
Koposov 77,85.968,21.705,13.8,657
Teutsch 10,86.1075,28.825,19.2,661
FSR 0850,86.28,24.738,17.4,662
NGC 2039,86.55,8.675,21.6,663
NGC 2068,86.6775,0.1,16.8,664
NGC 2071,86.7915,0.3,16.8,665
IRAS 05439+3035,86.8335,30.6,13.8,666
FSR 1066,86.85,-6.865,26.4,667
Koposov 10,86.8755,35.419,10.2,669
FSR 0864,86.9475,21.95,18,670
FSR 0978,87.0075,5.395,16.8,671
Basel 4,87.2505,30.205,14.4,672
Collinder 74,87.147,7.38,21.6,673
FSR 0846,87.21,26.365,18.6,674
King 8,87.327,33.63,14.4,675
Czernik 23,87.525,28.9,16.8,677
BDSB 77,87.555,23.878,8.4,678
Berkeley 72,87.5775,22.24,11.4,679
FSR 0849,87.8175,25.77,13.2,680
FSR 1123,87.9225,-12.22,15.6,681
Berkeley 21,87.945,21.815,13.2,682
Dutra-Bica 83,88.02,27.378,14.4,684
Sh2 242,88.053,26.958,12,685
Koposov 43,88.0725,29.897,19.8,687
NGC 2099,88.0875,32.57,58.2,689
FSR 0693,88.0575,54.19,11.4,690
FSR 0852,88.3725,25.173,20.4,691
NGC 2112,88.4325,0.413,74.4,692
Teutsch 51,88.4595,26.83,14.4,693
NGC 2132,88.83,-59.92,29.4,694
Czernik 24,88.86,20.885,20.4,695
Basel 11B,89.562,21.99,21.6,696
IRAS 05553+1631,89.55,16.525,9,697
Berkeley 22,89.631,7.757,11.4,698
FSR 1116,90.1575,-10.64,20.4,700
Koposov 12,90.261,35.277,18.6,701
NGC 2129,90.276,23.34,16.8,704
FSR 1078,90.312,-6.085,21.6,705
NGC 2126,90.648,49.872,27,708
FSR 1131,90.6525,-12.018,17.4,709
NGC 2141,90.7275,10.46,22.8,710
NGC 2143,90.7995,5.745,23.4,711
FSR 0839,91.0125,30.27,15,713
FSR 0894,91.023,20.28,16.8,714
FSR 1205,91.0425,-20.159,24.6,716
FSR 0883,91.08,22.003,15.6,717
FSR 0928,91.0995,15.42,15.6,718
FSR 0932,91.11,14.562,15.6,719
ESO 425-06,91.215,-29.185,13.8,721
IC 2157,91.2075,24.07,10.8,722
ESO 489-01,91.2525,-26.733,18.6,724
FSR 0925,91.2705,16.1,26.4,725
FSR 0833,91.35,30.793,13.8,726
FSR 0921,91.32,16.675,19.2,727
FSR 0933,91.3875,14.552,18.6,728
FSR 0942,91.4955,13.66,19.8,729
FSR 0900,91.6155,19.227,18.6,730
FSR 0904,91.7625,19.022,11.4,731
IRAS 06046-0603,91.7955,-6.065,18.6,732
NGC 2158,91.857,24.092,30,733
FSR 0903,91.8825,19.095,15.6,735
FSR 0844,91.947,29.64,21.6,736
FSR 0906,91.947,18.775,13.2,737
FSR 1115,92.055,-9.58,19.2,739
NGC 2169,92.1,13.99,26.4,740
FSR 1132,92.085,-11.5,16.8,742
Kharchenko 1,92.187,24.317,6.6,747
FSR 1110,92.22,-8.947,11.4,748
Koposov 53,92.2305,26.26,13.2,751
NGC 2168,92.3025,24.36,117.6,754
FSR 0858,92.292,25.68,12.6,755
Dias 2,92.28,4.585,21.6,756
DC 8,92.3295,31.223,10.2,758
Sh2 252C,92.337,20.66,10.2,759
Platais 5,93.675,-22.5,248.4,763
NGC 2175,92.4225,20.505,18,764
NGC 2180,92.4375,4.805,13.2,765
FSR 0960,92.46,12.345,16.8,769
FSR 1105,92.4975,-7.985,16.2,770
FSR 1094,92.4975,-6.32,19.2,771
Koposov 63,92.508,24.55,12,772
FSR 0952,92.5725,13.017,20.4,775
FSR 0924,92.6085,16.833,13.2,776
FSR 0923,92.64,16.97,20.4,777
NGC 2183,92.7,-6.2,46.8,779
Pismis 27,92.73,20.615,12,780
FSR 0939,92.742,14.396,28.8,781
NGC 2184,92.8275,-3.42,21.6,784
FSR 0968,92.841,11.871,14.4,785
FSR 0985,92.94,7.02,20.4,786
NGC 2186,93.0375,5.463,15.6,787
NGC 2189,93.03,1.055,18,788
FSR 1000,93.0675,5.185,19.2,789
FSR 0956,93.105,13.02,19.2,790
Czernik 25,93.423,6.953,24.6,795
FSR 0931,93.252,15.93,15.6,796
FSR 0937,93.426,14.995,12,800
FSR 0893,93.4275,21.552,15,802
NGC 2194,93.4425,12.818,28.8,803
FSR 1120,93.51,-9.375,16.8,807
Kronberger 12,93.5625,22.483,12,808
FSR 0940,93.5625,14.8,15,809
ASCC 22,93.63,0.66,24.6,813
ESO 425-15,93.6675,-29.38,12.6,814
IRAS 06117+1901,93.69,19.019,9,816
Skiff J0614+12.9,93.708,12.865,10.2,817
BDSB 82,93.747,12.338,13.2,819
NGC 2192,93.8205,39.868,21.6,820
Platais 6,93.765,3.85,156,821
NGC 2204,93.888,-18.66,18.6,822
FSR 0909,93.9345,19.005,13.8,823
BDSB 81,93.948,14.277,10.2,825
FSR 0811,94.1025,36.365,18,826
FSR 1117,94.1295,-8.945,13.2,827
NGC 2202,94.215,6.027,15.6,828
FSR 0891,94.392,22.427,10.8,829
FSR 1056,94.47,-1.69,21.6,830
Koposov 62,94.509,24.695,15.6,831
FSR 0902,94.575,20.54,18.6,832
FSR 0953,94.7595,14.13,12,835
FSR 0988,94.74,7.327,18.6,836
Skiff J0619+18.5,94.8405,18.51,16.8,837
Collinder 89,94.8,23.35,31.2,838
