id,alpha,delta,diameter,MWSC Id
FSR 0935,98.79,17.742,16.2,919
FSR 1187,98.8725,-14.99,19.2,920
NGC 2254,98.9415,7.67,18,924
FSR 1065,99.0195,-0.667,15,925
FSR 1032,99.0675,4,12,926
ESO 426-26,99.075,-30.865,18.6,927
FSR 1126,99.1125,-7.32,18.6,928
Ruprecht 1,99.135,-14.193,16.8,929
Collinder 104,99.1125,4.773,12,930
Basel 7,99.075,8.33,11.4,932
Trumpler 5,99.12,9.47,42,933
vdBergh 1,99.255,3.07,23.4,934
FSR 1151,99.2925,-10.085,18,935
Collinder 106,99.3075,6.07,61.2,936
Berkeley 24,99.45,-0.867,19.2,937
FSR 1092,99.4245,-2.819,19.2,938
NGC 2259,99.633,10.875,21.6,940
Collinder 110,99.675,2.035,42,941
Collinder 107,99.6255,4.635,21.6,943
Collinder 111,99.708,6.915,13.8,944
NGC 2262,99.915,1.14,16.8,946
FSR 1053,99.993,1.533,18,947
FSR 0975,99.9975,13.265,9,948
vdBergh 83,100.035,-27.29,14.4,949
FSR 1285,100.005,-28.77,20.4,950
FSR 1082,100.0275,-1.745,19.8,951
FSR 0998,100.092,9.005,15.6,952
FSR 1210,100.1775,-17.16,18,953
NGC 2264,100.245,9.88,46.8,954
Berkeley 25,100.305,-16.495,16.8,955
Ruprecht 2,100.254,-29.55,10.8,956
Mon OB1-D,100.2675,9.6,23.4,957
NGC 2265,100.437,11.91,15.6,959
FSR 1077,100.515,-0.883,20.4,960
Ruprecht 3,100.5225,-29.445,16.8,962
Dolidze 23,100.6575,0.1,25.2,963
Alessi 15,100.7625,1.675,13.2,964
FSR 0878,100.785,27.165,12.6,965
NGC 2269,100.8075,4.615,18.6,966
NGC 2266,100.8345,26.985,15,967
Alessi 16,100.89,2.175,9,968
Teutsch 13,100.98,1.395,16.2,969
FSR 0999,100.9725,9.425,19.2,970
NGC 2270,100.995,3.47,24,971
Dolidze 24,101.1825,1.735,16.8,972
FSR 1303,101.1825,-31.893,13.2,973
Patchick 90,101.157,-0.56,10.2,974
Dolidze 25,101.28,0.24,14.4,975
SAI 69,101.367,-11.79,8.4,976
ASCC 25,101.385,24.595,25.2,977
NGC 2287,101.5125,-20.745,52.8,978
FSR 1167,101.5875,-10.985,15.6,980
Collinder 115,101.6475,1.797,13.8,981
vdBergh 85,101.73,1.325,15.6,983
Dolidze 49,101.76,-0.01,14.4,984
FSR 1057,101.79,1.965,14.4,985
FSR 1072,101.883,0.03,14.4,986
NGC 2286,101.913,-3.155,23.4,987
NGC 2281,102.075,41.08,48.6,989
Ruprecht 4,102.24,-10.51,20.4,990
Bochum 2,102.21,0.38,12,991
NGC 2298,102.2475,-36.005,13.8,992
Berkeley 75,102.264,-23.985,11.4,993
Berkeley 26,102.5475,5.755,10.2,994
ASCC 26,102.6075,7.25,19.2,995
FSR 1125,102.585,-5.47,13.2,996
FSR 1025,102.6255,6.6,10.2,997
ESO 309-03,102.663,-42.383,13.2,998
Berkeley 27,102.84,5.763,12,999
NGC 2301,102.945,0.465,31.2,1000
NGC 2302,102.9675,-7.08,20.4,1001
Berkeley 28,103.035,2.91,14.4,1002
FSR 1051,103.035,3.655,19.8,1003
Alessi 59,103.0875,2.19,13.2,1004
FSR 1191,103.1205,-13.235,13.2,1005
Ruprecht 149,103.1205,-23.658,15.6,1006
FSR 1085,103.3095,-0.19,12,1007
Berkeley 29,103.26,16.93,13.2,1008
ASCC 27,103.485,-4.39,28.8,1009
DC 4,103.5225,-13.555,9,1010
ASCC 28,103.575,-0.15,32.4,1011
FSR 1029,103.515,6.725,15,1012
ASCC 29,103.5825,-1.69,25.2,1013
NGC 2306,103.605,-7.205,26.4,1014
FSR 1197,103.6245,-13.658,12.6,1015
BDSB 88,103.6425,-4.53,10.2,1016
FSR 1279,103.6695,-26.795,21.6,1017
Collinder 121,103.6425,-24.325,57,1018
NGC 2304,103.8,17.98,18,1019
Ruprecht 5,103.809,-18.6,10.2,1020
FSR 0866,103.815,29.73,21.6,1022
FSR 1172,103.908,-11.03,13.2,1023
SAI 72,103.95,0.222,11.4,1024
Ruprecht 6,103.98,-13.28,9.6,1025
NGC 2309,104.0205,-7.175,25.2,1026
FSR 0860,104.163,30.478,13.8,1027
ASCC 30,104.2575,-6.215,18,1028
BDSB 93,104.295,-8.19,15,1030
FSR 1144,104.316,-6.637,15.6,1031
Berkeley 31,104.3955,8.298,13.2,1032
Berkeley 33,104.46,-13.22,15,1033
Berkeley 30,104.4495,3.217,15.6,1034
NGC 2311,104.445,-4.61,28.2,1035
FSR 1159,104.478,-8.745,12,1036
Berkeley 32,104.5275,6.435,15,1037
FSR 1080,104.565,0.884,18,1038
Mon OB3,104.655,-4.335,31.2,1039
FSR 1164,104.67,-9.165,12,1040
IRAS 06562-0337,104.6835,-3.685,12,1041
FSR 1129,104.6925,-4.93,16.2,1042
NGC 2312,104.7,10.28,13.2,1043
FSR 1195,104.82,-12.95,19.8,1044
IRAS 06567-0355,104.82,-3.97,18,1047
FSR 1163,104.835,-9.083,10.8,1048
NGC 2318,104.8695,-13.662,15,1050
FSR 1185,104.9025,-11.974,12,1051
Sh2 287C,104.9025,-4.667,7.2,1052
BDSB 90,104.91,-4.86,9,1053
Ivanov 9,104.9325,-4.067,13.2,1055
FSR 1171,105.045,-10.323,10.2,1056
Wit 1,105.0945,-5.83,20.4,1057
Berkeley 34,105.09,-0.235,13.2,1058
Tombaugh 1,105.1245,-20.565,24,1060
Ivanov 4,105.1575,-8.84,18.6,1061
FSR 0843,105.135,35.07,23.4,1062
NGC 2319,105.171,3.035,19.8,1064
ASCC 31,105.27,3.53,20.4,1066
Wit 2,105.3405,-3.117,19.2,1067
Ruprecht 8,105.438,-13.56,13.8,1068
ASCC 32,105.525,-26.56,39,1069
Ruprecht 9,105.5295,-21.917,15,1070
Alessi 60,105.6255,-1.117,12,1071
NGC 2323,105.6795,-8.37,55.2,1072
FSR 1184,105.6675,-11.435,13.2,1073
FSR 1169,105.7125,-9.255,20.4,1074
NGC 2348,105.765,-67.39,19.2,1075
Tombaugh 2,105.771,-20.815,10.8,1076
ASCC 33,105.9375,-25.055,62.4,1077
Czernik 27,105.78,6.413,10.2,1078
Bochum 3,105.87,-5.005,18.6,1079
vdBergh 92,106.02,-11.53,30,1080
Haffner 3,106.0275,-6.13,13.2,1081
FSR 1149,105.9975,-6.385,13.2,1083
NGC 2324,106.0425,1.038,33,1084
FSR 1100,105.99,-0.085,14.4,1085
Auner 1,106.0605,-19.744,17.4,1087
FSR 1194,106.095,-12.005,22.2,1088
FSR 1150,106.1535,-6.6,12,1089
BDSB 96,106.3275,-12.325,18,1090
FSR 1178,106.35,-10.68,16.8,1091
FSR 1192,106.458,-11.625,20.4,1092
Ruprecht 150,106.4925,-28.41,16.8,1093
Haffner 4,106.5225,-14.995,18.6,1094
ESO 427-32,106.5825,-30.16,17.4,1095
FSR 1039,106.5525,7.4,13.2,1096
FSR 1199,106.575,-12.57,16.2,1097
Ruprecht 10,106.6155,-20.095,15,1098
Berkeley 76,106.665,-11.73,19.2,1099
NGC 2335,106.71,-10.03,37.2,1100
Collinder 465,106.71,-10.52,21,1101
Collinder 466,106.734,-10.72,11.4,1102
NGC 2331,106.68,27.255,16.8,1103
FSR 1209,106.767,-13.82,20.4,1105
Ruprecht 12,106.7925,-28.222,27.84,1107
Ruprecht 11,106.842,-20.795,12,1108
FSR 1223,106.842,-15.98,24,1109
FSR 1202,106.845,-12.783,13.8,1110
FSR 1170,106.875,-8.865,18,1111
FSR 1207,106.8825,-13.33,21.6,1112
FSR 0876,106.905,30.17,15,1113
NGC 2338,106.95,-5.717,10.8,1114
FSR 1212,106.9095,-14.15,13.8,1115
Ruprecht 13,107.0025,-25.88,21.6,1116
FSR 1200,106.995,-12.464,20.4,1117
FSR 1111,107.025,-1.528,15,1118
NGC 2343,107.0175,-10.6,24.6,1119
NGC 2345,107.0625,-13.2,27,1120
FSR 1204,107.073,-12.89,16.8,1121
FSR 1219,107.115,-15.365,24,1122
FSR 1289,107.1375,-26.158,19.2,1123
FSR 1173,107.187,-9.427,13.2,1125
FSR 1113,107.2875,-1.5,13.2,1126
Haffner 23,107.373,-16.92,26.4,1127
Berkeley 35,107.484,2.733,14.4,1129
DBSB 3,107.5785,-18.486,12,1133
ASCC 34,107.655,6.08,24.6,1134
Dias 3,107.595,-8.395,13.8,1135
FSR 1158,107.7,-6.78,19.2,1136
Alessi 21,107.67,-9.3,38.4,1137
NGC 2349,107.6775,-8.605,17.4,1138
FSR 1160,107.79,-7.117,16.2,1139
FSR 1091,107.9025,1.605,18,1140
ASCC 35,108.1725,2.105,28.2,1141
FSR 1281,108.2205,-25.231,22.8,1142
NGC 2352,108.2715,-24.029,16.8,1143
FSR 1183,108.339,-9.892,22.8,1144
FSR 1076,108.36,3.148,21,1145
NGC 2351,108.3825,-10.48,12,1146
Collinder 132,108.36,-30.975,37.2,1147
NGC 2354,108.5355,-25.693,16.2,1148
FSR 1153,108.5925,-5.66,17.4,1149
FSR 1326,108.615,-34.305,16.8,1150
ASCC 36,108.6255,-21.123,30,1151
NGC 2353,108.627,-10.25,26.4,1152
FSR 1332,108.705,-34.877,12,1153
Ruprecht 14,108.7155,-31.36,10.8,1154
FSR 1180,108.9225,-9.41,18.6,1155
Berkeley 36,109.083,-13.178,17.4,1156
Alessi 3,109.05,-46.617,52.8,1157
NGC 2358,109.2525,-17.155,36,1159
NGC 2355,109.2465,13.75,22.8,1160
ESO 367-10,109.26,-35.29,8.4,1161
Basel 11A,109.278,-13.982,25.2,1162
FSR 1228,109.2975,-15.795,15,1163
NGC 2360,109.425,-15.64,36,1165
Collinder 135,109.485,-37.035,62.4,1166
FSR 1306,109.5075,-28.99,15,1167
Haffner 5,109.4925,-22.667,20.4,1168
ASCC 37,109.515,-24.5,19.2,1169
FSR 1377,109.575,-44.67,13.8,1171
Teutsch 49,109.6095,-17.575,13.2,1172
NGC 2362,109.68,-24.96,31.2,1173
Bica 4,109.779,-22.02,15.6,1174
Ruprecht 15,109.8825,-19.63,16.2,1175
FSR 1284,109.995,-24.53,15,1176
Haffner 6,110.0145,-13.15,16.2,1177
NGC 2367,110.055,-21.865,22.8,1178
DBSB 12,110.055,-27.771,13.44,1179
Berkeley 37,110.0775,-0.994,15,1180
FSR 1118,110.2125,-0.844,16.8,1182
FSR 1255,110.2125,-19.632,16.2,1183
Saurer 1,110.2335,1.8,10.8,1184
NGC 2368,110.2725,-10.335,15,1186
FSR 1258,110.3175,-20.22,17.04,1187
Berkeley 77,110.3625,-3.233,18.6,1189
King 23,110.4465,-0.983,16.8,1190
FSR 0944,110.4525,22.5,15.6,1191
FSR 1083,110.5125,3.58,15.6,1192
FSR 1157,110.655,-5.115,10.8,1194
FSR 1252,110.64,-18.7,18,1195
FSR 1470,110.7,-59.199,21,1196
Haffner 7,110.733,-29.49,18.6,1197
Ruprecht 16,110.79,-19.473,12,1198
Collinder 140,111.03,-31.89,58.8,1199
Haffner 8,110.793,-12.308,19.2,1200
FSR 1440,110.9055,-53.947,24.6,1201
Ruprecht 17,110.907,-23.185,12.6,1202
Berkeley 78,110.925,5.366,15.84,1203
FSR 1293,110.9835,-25.359,9.6,1205
NGC 2374,111,-13.27,26.4,1206
FSR 1297,110.9925,-25.9,15.6,1207
Ivanov 6,111.0585,-24.633,12,1208
FSR 1139,111.138,-2.884,13.8,1210
Ruprecht 18,111.18,-26.21,15,1211
NGC 2383,111.1725,-20.94,15,1213
Haffner 9,111.1755,-17,11.4,1214
FSR 1283,111.225,-23.871,13.2,1215
NGC 2384,111.285,-21.02,19.8,1216
FSR 1142,111.2775,-2.9,11.4,1217
Ruprecht 19,111.4575,-21.563,13.8,1218
FSR 1270,111.525,-21.205,18.6,1219
Waterloo 7,111.5325,-15.093,25.2,1220
FSR 1253,111.57,-18.445,24.6,1221
Melotte 66,111.5505,-47.668,24.6,1222
Trumpler 6,111.6075,-24.19,18.6,1223
Ruprecht 20,111.642,-28.8,13.8,1224
Ruprecht 21,111.735,-31.155,21.6,1225
DC 3,111.75,-37.525,12,1226
ASCC 38,111.75,-5.545,29.4,1227
NGC 2395,111.774,13.584,16.8,1228
Trumpler 7,111.825,-23.96,21.6,1229
IRAS 07255-2012,111.912,-20.306,10.8,1231
NGC 2396,112.0275,-11.74,24,1232
FSR 1275,112.0125,-21.79,22.8,1233
Czernik 29,112.092,-15.405,10.2,1234
FSR 1260,112.11,-19.68,16.8,1235
Haffner 10,112.1445,-15.365,16.2,1237
ESO 559-13,112.1775,-20.81,15,1238
Haffner 24,112.2375,-18.315,12.24,1239
Ruprecht 22,112.3245,-29.183,10.8,1240
NGC 2401,112.3515,-13.972,10.8,1241
FSR 1400,112.3425,-47.854,13.8,1242
DBSB 6,112.4925,-19.1,13.2,1243
DBSB 5,112.53,-18.535,15,1244
Dolidze 26,112.5195,11.885,25.2,1246
Ruprecht 23,112.65,-23.383,16.8,1248
Ivanov 7,112.662,-15.303,15,1249
Bochum 5,112.77,-16.915,10.2,1251
FSR 1234,112.7955,-15.428,13.8,1252
Czernik 30,112.797,-9.94,12,1253
Bochum 4,112.905,-17.19,22.8,1254
DBSB 9,112.9425,-19.375,10.2,1255
FSR 1227,112.98,-13.835,15,1256
Ruprecht 24,112.98,-12.765,20.4,1257
FSR 1226,113.2155,-13.745,12.6,1260
ASCC 39,113.3175,-22.95,31.2,1261
NGC 2413,113.265,-12.99,22.2,1262
NGC 2414,113.2875,-15.455,16.8,1263
ESO 429-02,113.355,-28.19,13.2,1264
Ruprecht 40,113.3655,-20.51,9,1265
ASCC 40,113.415,-13.765,18.6,1266
FSR 1264,113.4375,-19.811,12.6,1267
FSR 1302,113.595,-26.325,18.6,1268
FSR 1243,113.6295,-15.935,15.6,1269
Teutsch 61,113.6625,-19.8,13.2,1270
Alessi 17,113.85,-15.092,12,1271
DBSB 10,113.8575,-22.395,15,1272
Haffner 11,113.8455,-27.705,12,1273
DBSB 7,113.8845,-18.765,15,1274
FSR 1268,113.934,-19.779,12,1276
NGC 2421,114.06,-20.61,19.2,1277
NGC 2422,114.165,-14.49,75.6,1278
Riddle 5,114.1965,-24.662,7.2,1279
Ruprecht 25,114.195,-23.355,12,1280
Czernik 31,114.2595,-20.525,13.2,1281
ESO 429-05,114.2625,-32.205,10.2,1282
NGC 2423,114.2775,-13.85,54,1283
Alessi 18,114.2925,-26.385,9,1284
Ruprecht 26,114.2925,-15.66,25.2,1285
Ruprecht 27,114.423,-26.507,28.2,1286
Melotte 71,114.39,-12.055,40.8,1287
NGC 2419,114.5355,38.882,14.4,1290
NGC 2425,114.5625,-14.88,19.2,1291
NGC 2420,114.5955,21.567,36.6,1292
Melotte 72,114.6195,-10.7,26.4,1293
Arp-Madore 2,114.6765,-33.835,13.8,1294
FSR 1327,114.8325,-31.74,11.4,1296
NGC 2428,114.8325,-16.518,15,1297
NGC 2430,114.9165,-16.38,18,1298
Ruprecht 28,114.9,-30.935,18.6,1299
ESO 493-03,114.9225,-27.295,16.2,1300
Bochum 15,115.0425,-33.54,10.2,1301
FSR 1152,115.0425,-2.085,15.6,1302
Haffner 13,115.1175,-30.043,39,1305
NGC 2439,115.2,-31.705,32.4,1306
ESO 429-13,115.284,-30.72,15.6,1307
NGC 2451A,115.335,-38.52,156,1308
Ruprecht 151,115.32,-16.29,18,1309
NGC 2432,115.2255,-19.085,19.2,1310
Ruprecht 29,115.3245,-24.355,13.2,1311
FSR 1211,115.38,-9.61,18.6,1312
NGC 2437,115.455,-14.805,68.4,1313
FSR 1320,115.5525,-29.23,10.8,1314
Ruprecht 30,115.6035,-31.467,13.2,1315
FSR 1145,115.629,-1.037,19.8,1316
Ruprecht 31,115.7475,-35.593,13.2,1317
FSR 1220,115.9275,-11.03,20.4,1318
FSR 1203,115.9215,-8.02,19.8,1319
ESO 368-11,116.1,-34.627,19.8,1320
NGC 2451B,116.115,-37.67,49.2,1322
NGC 2448,116.142,-24.665,21.6,1323
NGC 2447,116.145,-23.86,60,1324
FSR 1176,116.1375,-5.16,18.6,1325
Haffner 14,116.205,-28.38,19.2,1326
Ruprecht 32,116.3325,-25.545,11.16,1327
Haffner 15,116.382,-32.848,17.4,1328
ESO 258-01,116.4075,-46.71,12.6,1329
Ruprecht 34,116.487,-20.385,15,1330
FSR 1351,116.46,-34.34,13.8,1331
Ruprecht 33,116.4825,-21.92,15.6,1332
Ruprecht 35,116.553,-31.283,12.6,1333
FSR 1352,116.6175,-34.28,15.6,1334
Berkeley 39,116.7075,-4.68,18,1336
ASCC 41,116.745,0.02,31.2,1337
ESO 368-14,116.778,-32.973,11.4,1339
NGC 2453,116.9025,-27.193,9.6,1340
FSR 1350,116.9505,-34.036,12.6,1341
FSR 1064,116.9775,8.88,21.6,1342
FSR 1347,116.9925,-33.7,15.6,1343
Ruprecht 36,117.0975,-26.29,10.8,1344
Teutsch 25,117.1125,-27.9,8.4,1345
Haffner 25,117.165,-25.953,10.8,1346
FSR 1315,117.1755,-26.983,12.6,1348
FSR 1249,117.168,-14.7,10.8,1349
NGC 2455,117.258,-21.292,16.8,1350
ESO 311-14,117.3495,-42.685,16.8,1352
Ruprecht 37,117.465,-17.225,9.6,1353
FSR 1245,117.4875,-14.021,13.2,1354
Haffner 16,117.588,-25.457,9,1355
Ruprecht 38,117.621,-20.185,14.4,1356
Czernik 32,117.6255,-29.845,19.2,1357
FSR 1361,117.6675,-36.39,13.2,1358
FSR 1294,117.7875,-22.11,10.2,1359
Haffner 17,117.9045,-31.817,15.6,1360
NGC 2459,118.008,9.557,10.2,1361
SAI 81,118.029,-28.117,18,1362
NGC 2477,118.035,-38.53,54,1363
ESO 123-26,118.05,-60.34,24,1364
FSR 1044,118.02,12.173,18,1365
SAI 82,118.056,-33.04,13.2,1366
NGC 2467,118.077,-26.428,11.4,1367
Ruprecht 39,118.08,-22.447,10.2,1368
NGC 2467-east,118.1475,-26.432,7.2,1370
Haffner 18,118.161,-26.38,9,1371
Haffner 19,118.185,-26.275,7.2,1372
ASCC 42,118.14,-52.995,25.2,1373
ASCC 43,118.2675,-28.175,25.2,1374
FSR 1133,118.2525,1.72,18,1375
FSR 1102,118.3905,5.7,18.6,1376
FSR 1298,118.4175,-22.323,15.6,1377
Ruprecht 41,118.4505,-26.965,12,1378
Ruprecht 152,118.6275,-38.22,10.8,1379
NGC 2479,118.785,-17.73,28.8,1380
Waterloo 3,118.767,-25.372,12,1381
NGC 2482,118.7925,-24.275,25.2,1382
NGC 2483,118.92,-27.905,13.8,1383
Trumpler 9,118.92,-25.88,12,1384
Haffner 20,119.0625,-30.367,13.8,1385
NGC 2489,119.0775,-30.066,15,1386
Ruprecht 42,119.412,-25.935,13.8,1388
FSR 1479,119.4075,-59.32,16.2,1389
FSR 1221,119.4465,-9.15,16.8,1390
FSR 1342,119.4795,-31.509,14.4,1391
Turner 12,119.5005,-29.283,15,1392
NGC 2516,119.49,-60.75,85.2,1393
Koposov 2,119.571,26.25,8.4,1394
Kronberger 85,119.586,-34.772,8.4,1395
FSR 1514,119.6325,-66.63,16.2,1396
FSR 1084,119.6535,8.056,23.4,1397
Ruprecht 44,119.7225,-28.585,19.2,1398
FSR 1087,119.7255,7.95,13.2,1399
ESO 494-09,119.817,-27.583,15.6,1400
Ruprecht 43,119.82,-28.87,18.6,1401
ESO 561-05,119.829,-22.69,17.4,1402
FSR 1336,119.865,-30.725,12,1403
Ruprecht 45,119.8755,-16.305,12,1404
FSR 1365,119.937,-36.19,19.2,1405
NGC 2506,120,-10.76,32.4,1406
FSR 1147,120.0825,1.26,25.2,1407
Ruprecht 153,120.0945,-30.305,10.8,1408
FSR 1379,120.0675,-40.898,15.6,1409
NGC 2509,120.195,-19.05,22.2,1410
Haffner 21,120.2775,-27.213,12.6,1411
FSR 1378,120.3285,-40.675,22.8,1412
FSR 1360,120.3975,-34.46,13.2,1413
ASCC 44,120.48,-50.58,28.8,1414
ESO 311-21,120.4245,-41.583,15,1415
FSR 1339,120.4275,-30.71,14.4,1416
Ruprecht 154,120.435,-44.423,10.2,1417
Ruprecht 46,120.5475,-19.465,11.4,1418
Ruprecht 47,120.585,-31.07,23.4,1419
ESO 430-09,120.6,-29.767,9.6,1420
Ruprecht 48,120.6975,-32.05,7.2,1421
Ruprecht 49,120.8055,-26.77,9,1423
Ruprecht 50,120.8775,-30.86,12,1424
Ruprecht 51,120.897,-30.66,11.4,1425
ESO 430-14,120.8925,-31.415,15.6,1426
FSR 1383,121.0395,-41.218,15,1427
NGC 2527,121.275,-28.17,40.8,1428
Ruprecht 155,121.2675,-31.817,10.2,1429
Ruprecht 52,121.305,-31.97,15.6,1430
ESO 430-18,121.7625,-30.835,34.8,1431
NGC 2533,121.7775,-29.88,16.8,1432
vdBergh-Hagen 19,121.7685,-32.352,9.6,1433
Teutsch 50,121.7895,-36.073,10.8,1434
SAI 86,122.0625,-36.59,9,1435
NGC 2547,122.478,-49.205,36,1437
FSR 1363,122.646,-34.6,13.2,1438
NGC 2539,122.67,-12.84,52.8,1439
FSR 1312,122.6925,-23.305,15.6,1440
FSR 1446,122.715,-50.985,12,1441
Ruprecht 53,122.6805,-26.94,20.4,1442
FSR 1380,122.7705,-39.965,13.2,1443
Ruprecht 54,122.8425,-31.945,10.2,1444
FSR 1447,122.8875,-51.02,10.8,1445
FSR 1357,122.925,-32.255,18,1446
NGC 2546,122.9625,-37.61,67.8,1447
FSR 1335,123.0015,-29,11.4,1448
DBSB 13,123.06,-22.345,12,1449
Haffner 22,123.1125,-27.89,19.8,1450
Ruprecht 55,123.1425,-32.605,15.6,1451
Ruprecht 56,123.165,-40.485,36.6,1452
SAI 88,123.2415,-41.875,9,1453
NGC 2548,123.435,-5.77,86.4,1454
vdBergh-Hagen 23,123.495,-36.334,38.4,1455
Ruprecht 58,123.705,-31.945,15.6,1456
Ruprecht 57,123.795,-26.97,12,1457
BIP 14,123.78,-4.075,18.6,1458
Haffner 26,123.9225,-30.829,13.8,1459
ASCC 45,123.9075,-35.64,12,1460
FSR 1307,123.99,-21.435,9,1462
ASCC 46,124.095,-48.47,22.8,1463
Pup OB3,124.2375,-35.866,40.8,1464
Pismis 2,124.491,-41.67,27,1465
Pismis 1,124.575,-37.1,9,1466
NGC 2567,124.6425,-30.65,20.4,1467
FSR 1419,124.7475,-47.8,13.8,1468
NGC 2571,124.7355,-29.735,22.8,1469
Ivanov 8,124.791,-35.65,12,1470
Moitinho 1,124.821,-45.208,10.2,1471
Ruprecht 59,124.8375,-34.495,12,1472
Ruprecht 156,124.89,-45.35,12,1473
NGC 2579,125.1825,-36.197,10.8,1474
NGC 2580,125.3775,-30.295,15,1476
AH03 J0822-36.4,125.535,-36.405,16.8,1477
FSR 1295,125.73,-17.545,15,1479
NGC 2588,125.805,-32.97,16.8,1480
Collinder 185,125.835,-36.33,15.6,1481
NGC 2587,125.8575,-29.493,20.4,1482
Collinder 187,126.051,-29.17,12,1483
ESO 312-03,126.12,-41.305,13.8,1484
Ruprecht 60,126.108,-47.2,14.4,1485
FSR 1387,126.129,-39.905,15.6,1486
Ruprecht 61,126.3075,-34.159,8.4,1488
Saurer 2,126.36,-39.64,9.6,1489
ESO 312-04,126.693,-41.238,9,1491
ESO 370-13,126.783,-34.7,8.4,1492
SAI 90,127.023,-41.77,12.6,1493
FSR 1390,127.092,-40.083,10.8,1494
NGC 2609,127.383,-61.1,10.2,1495
Ruprecht 157,127.455,-19.12,19.2,1496
vdBergh-Hagen 34,127.8,-44.505,18,1497
Pismis 3,127.815,-38.658,24.6,1498
ESO 313-03,127.908,-41.787,12.6,1499
ASCC 47,127.947,-39.055,33.6,1500
ESO 370-17,127.9665,-36.197,13.2,1501
Teutsch 64,128.124,-41.995,8.4,1502
Ruprecht 62,128.1525,-19.683,14.4,1503
Ruprecht 63,128.16,-48.295,14.4,1504
FSR 1411,128.595,-43.86,24,1505
ASCC 48,128.6625,-37.63,20.4,1506
Pismis 4,128.67,-44.495,18,1507
DBSB 19,128.865,-40.63,10.2,1508
vdBergh-Hagen 37,128.9475,-43.618,14.4,1509
FSR 1397,129.255,-40.385,13.8,1510
SAI 91,129.255,-50.04,13.8,1511
FSR 1401,129.2625,-42.365,13.8,1512
FSR 1412,129.3195,-44.131,13.8,1513
NGC 2627,129.33,-29.945,19.8,1514
Ruprecht 64,129.27,-40.185,54,1515
Pismis 5,129.4155,-39.58,16.2,1516
FSR 1429,129.4095,-46.017,10.8,1517
FSR 1406,129.57,-42.35,14.04,1518
NGC 2635,129.609,-34.775,17.4,1519
Pismis 6,129.765,-46.235,21.6,1520
FSR 1251,129.7725,-7.54,22.8,1521
Ruprecht 65,129.8175,-44.07,18.6,1522
FSR 1443,129.8625,-47.357,19.8,1523
FSR 1441,129.87,-47.1,15,1524
FSR 1415,130.095,-44.725,14.4,1526
NGC 2632,130.095,19.69,372,1527
Waterloo 6,130.095,-46.133,8.4,1528
IC 2391,130.065,-53.028,93,1529
Ruprecht 66,130.1175,-38.055,15,1530
FSR 1345,130.2105,-25.375,20.76,1531
Pismis 7,130.3005,-38.707,18.6,1532
Pismis 8,130.4145,-46.267,13.8,1533
Ruprecht 67,130.44,-43.395,20.4,1534
Mamajek 1,130.47,-79.045,50.4,1535
DBSB 21,130.56,-40.733,8.4,1536
IC 2395,130.65,-48.133,27.6,1537
NGC 2659,130.6425,-44.985,14.4,1538
NGC 2660,130.665,-47.197,13.8,1539
ESO 432-03,130.7475,-27.865,14.4,1540
FSR 1382,130.7325,-35.785,13.8,1541
NGC 2658,130.875,-32.665,27.6,1542
FSR 1371,130.8795,-31.716,9,1543
ESO 313-11,130.929,-37.7,9,1544
ESO 313-12,130.9635,-40.225,14.4,1545
FSR 1399,131.04,-39.365,15,1546
Ruprecht 68,131.148,-35.885,16.8,1547
Ruprecht 69,131.1195,-47.57,13.2,1548
SAI 94,131.172,-46.285,10.8,1549
Bochum 7,131.19,-45.98,22.8,1550
Collinder 197,131.2125,-41.233,26.4,1551
Collinder 196,131.2575,-31.625,21.6,1552
NGC 2670,131.3925,-48.82,13.2,1554
FSR 1434,131.37,-45.402,20.4,1555
NGC 2671,131.553,-41.867,22.2,1558
ESO 260-06,131.5725,-47.685,13.8,1559
NGC 2669,131.6175,-52.94,33,1561
DBSB 27,131.6625,-43.884,7.8,1564
NGC 2664,131.8425,12.6,22.8,1565
ESO 211-01,131.805,-52.065,15,1566
Trumpler 10,131.8725,-42.4,46.8,1567
FSR 1418,131.9145,-43.999,16.8,1568
ASCC 49,131.9625,-38,32.4,1569
ESO 260-07,132,-47.03,15,1570
FSR 1280,132.1125,-11.21,21.6,1571
Ruprecht 71,132.3375,-46.878,18.6,1574
vdBergh-Hagen 54,132.4215,-44.367,13.8,1575
ASCC 50,132.5925,-41.72,30,1579
FSR 1424,132.66,-43.832,12,1582
FSR 1454,132.78,-48.477,10.2,1584
NGC 2682,132.8475,11.815,123.6,1585
ESO 211-03,132.9,-50.245,18.6,1587
FSR 1430,132.9675,-44.253,13.2,1589
Ruprecht 72,133.0125,-37.61,12,1591
Ruprecht 158,133.11,-37.555,15,1592
FSR 1432,133.233,-44.185,12,1594
ESO 371-25,133.2495,-35.467,11.4,1595
FSR 1452,133.3275,-47.92,13.8,1597
FSR 1304,133.3395,-14.785,21.6,1599
vdBergh-Hagen 55,134.0475,-39.51,16.8,1600
FSR 1346,134.055,-23.435,16.8,1601
FSR 1435,134.2725,-43.765,27.6,1604
vdBergh-Hagen 56,134.28,-43.285,15,1605
Muzzio 1,134.49,-47.695,21.6,1606
FSR 1421,134.523,-42.6,10.2,1608
FSR 1450,134.6025,-46.303,13.8,1609
FSR 1478,135.033,-52.711,13.2,1612
Collinder 205,135.135,-48.99,16.8,1613
