No,id,alpha,delta,diameter,Area,Common name
191,FeSt 1-191,184.7252,-58.511,29.9,0.195,
192,FeSt 1-192,183.2482,-66.6448,45.72,0.456,
193,FeSt 1-193,182.2936,-71.3617,29.9,0.195,
194,FeSt 1-194,185.5926,-64.044,67.57,0.996,
195,FeSt 1-195,178.3407,-79.3617,30.35,0.201,
196,FeSt 1-196,187.8963,-56.8261,97.57,2.077,
197,FeSt 1-197,187.9012,-59.0094,32.89,0.236,
198,FeSt 1-198,187.5662,-65.3263,57.29,0.716,
199,FeSt 1-199,185.8487,-72.3605,58.04,0.735,S 141
200,FeSt 1-200,186.4541,-71.6769,26.31,0.151,S 143
201,FeSt 1-201,189.4381,-58.8917,18.17,0.072,
202,FeSt 1-202,187.0939,-72.6266,75.42,1.241,
203,FeSt 1-203,189.1255,-63.5752,84.43,1.555,
204,FeSt 1-204,188.4025,-70.9758,31.54,0.217,S 145
205,FeSt 1-205,189.7883,-65.1247,42.93,0.402,
206,FeSt 1-206,190.8886,-55.2238,0,0,
207,FeSt 1-207,189.6878,-69.9082,47.54,0.493,
208,FeSt 1-208,190.9881,-54.807,20.76,0.094,
209,FeSt 1-209,190.8036,-60.2905,82.17,1.473,
210,FeSt 1-210,190.9906,-67.8404,37.76,0.311,
211,FeSt 1-211,190.0891,-76.8745,97.27,2.064,
212,FeSt 1-212,189.6292,-80.5749,89.72,1.756,
213,FeSt 1-213,189.7279,-80.4249,38.3,0.32,
214,FeSt 1-214,192.3984,-55.089,67.77,1.002,
215,FeSt 1-215,192.4269,-62.539,33.31,0.242,
216,FeSt 1-216,192.7043,-79.4888,59.41,0.77,
217,FeSt 1-217,192.9847,-57.2384,60.82,0.807,
218,FeSt 1-218,193.317,-79.4049,29.36,0.188,
219,FeSt 1-219,193.2208,-64.7215,123.95,3.352,
220,FeSt 1-220,193.6875,-62.3877,25.42,0.141,
221,FeSt 1-221,194.6403,-77.32,36.02,0.283,S 156
222,FeSt 1-222,193.809,-61.4875,61.53,0.826,
223,FeSt 1-223,195.3113,-77.6026,59.29,0.767,
224,FeSt 1-224,194.1235,-63.6705,40.34,0.355,
225,FeSt 1-225,194.2128,-61.5371,21.52,0.101,S 155 | S 157
226,FeSt 1-226,194.5504,-63.32,197.84,8.539,
227,FeSt 1-227,195.1774,-66.4359,27.67,0.167,
228,FeSt 1-228,194.791,-55.4864,47.39,0.49,
229,FeSt 1-229,196.3058,-61.5511,49.33,0.531,
230,FeSt 1-230,196.589,-62.5008,24.88,0.135,
231,FeSt 1-231,198.314,-69.1817,37.94,0.314,
232,FeSt 1-232,198.6217,-69.5146,52.18,0.594,
233,FeSt 1-233,198.1326,-66.3153,34.39,0.258,
234,FeSt 1-234,197.3542,-59.7497,159.15,5.526,
235,FeSt 1-235,198.6233,-61.2145,63.62,0.883,
236,FeSt 1-236,200.3342,-66.6785,38.12,0.317,
237,FeSt 1-237,199.7102,-61.6295,113.03,2.787,
238,FeSt 1-238,199.3595,-57.9467,46.81,0.478,
239,FeSt 1-239,200.7524,-62.7278,38.72,0.327,
240,FeSt 1-240,203.5739,-69.0228,64.83,0.917,
241,FeSt 1-241,199.8803,-56.4959,112.82,2.777,
242,FeSt 1-242,201.2519,-62.1269,53.78,0.631,
243,FeSt 1-243,200.4068,-56.095,45.87,0.459,
244,FeSt 1-244,203.5998,-65.056,133.46,3.886,
245,FeSt 1-245,203.1797,-63.4235,75.42,1.241,
246,FeSt 1-246,202.8643,-61.9741,74.93,1.225,
247,FeSt 1-247,203.1031,-60.3069,18.54,0.075,
248,FeSt 1-248,204.0553,-62.6551,41.57,0.377,
249,FeSt 1-249,202.7759,-56.6409,70.16,1.074,
250,FeSt 1-250,204.1638,-60.6216,53.65,0.628,
251,FeSt 1-251,206.5607,-63.5501,79.33,1.373,
252,FeSt 1-252,205.3667,-59.8358,49.2,0.528,
253,FeSt 1-253,212.9704,-70.9517,47.68,0.496,
254,FeSt 1-254,209.6312,-66.8599,18.17,0.072,
255,FeSt 1-255,212.1318,-69.6538,35.18,0.27,
256,FeSt 1-256,208.2043,-63.9298,77.87,1.323,
