id,alpha,delta,aka
FeSt 2-1,109.3274,-23.3076,
FeSt 2-2,109.9487,-24.0771,
FeSt 2-3,111.0211,-24.6987,
FeSt 2-4,111.0404,-25.7321,
FeSt 2-5,114.1006,-24.3459,
FeSt 2-6,116.9332,-32.3751,
FeSt 2-7,119.1616,-32.3513,
FeSt 2-8,121.1946,-31.5098,
FeSt 2-9,123.0586,-33.9342,CG 28
FeSt 2-10,119.8668,-35.7543,
FeSt 2-11,123.9608,-33.8379,CG 26
FeSt 2-12,123.581,-34.5197,CG 32
FeSt 2-13,119.4307,-37.3192,
FeSt 2-14,122.5213,-35.7987,
FeSt 2-15,122.2696,-35.9977,CG 31
FeSt 2-16,127.1673,-33.7506,CG 22
FeSt 2-17,124.8229,-36.2581,
FeSt 2-18,123.9166,-36.9878,
FeSt 2-19,109.0369,-43.9566,CG 2
FeSt 2-20,120.2918,-39.5895,
FeSt 2-21,121.3721,-39.144,
FeSt 2-22,123.2032,-38.8182,
FeSt 2-23,115.7369,-42.37,
FeSt 2-24,109.8576,-44.577,CG 1
FeSt 2-25,124.2986,-39.856,
FeSt 2-26,125.4489,-40.1939,
FeSt 2-27,112.6434,-46.6564,CG 6
FeSt 2-28,124.0062,-42.2215,
FeSt 2-29,112.892,-46.8575,
FeSt 2-30,113.4674,-46.9434,S 103
FeSt 2-31,125.7112,-42.1117,
FeSt 2-32,132.93,-38.2055,SL 3
FeSt 2-33,129.7315,-40.6771,SL 1
FeSt 2-34,123.6158,-44.12,
FeSt 2-35,114.8113,-47.866,CG 3
FeSt 2-36,131.0561,-41.2987,SL 2
FeSt 2-37,114.6404,-49.882,S 105 | CG 14
FeSt 2-38,111.9459,-51.0867,S 106 | CG 16
FeSt 2-39,113.102,-50.7752,S 107 | CG 15
FeSt 2-40,117.8946,-50.2795,S 108
FeSt 2-41,138.4614,-39.841,
FeSt 2-42,134.7765,-43.712,
FeSt 2-43,133.9928,-44.626,
FeSt 2-44,125.2965,-49.8268,
FeSt 2-45,138.5717,-42.4747,CG 7
FeSt 2-46,135.0652,-45.5297,
FeSt 2-47,135.0353,-46.1963,
FeSt 2-48,134.1271,-46.8765,
FeSt 2-49,134.0223,-47.4594,
FeSt 2-50,128.5523,-50.4228,S 113
FeSt 2-51,126.8889,-51.1831,"S 110,111,112"
FeSt 2-52,136.0373,-46.433,
FeSt 2-53,133.6157,-48.1247,
FeSt 2-54,125.2701,-52.4434,
FeSt 2-55,135.6973,-48.2986,
FeSt 2-56,141.9667,-45.352,"S 116,117"
FeSt 2-57,136.6634,-49.9185,
FeSt 2-58,142.5396,-46.0537,
FeSt 2-59,128.2851,-54.4386,
FeSt 2-60,136.3297,-50.8174,SL 5
FeSt 2-61,138.4354,-51.241,
FeSt 2-62,141.9621,-49.8353,
FeSt 2-63,139.0049,-52.2095,
FeSt 2-64,141.8556,-50.6517,
FeSt 2-65,141.9525,-51.1353,S 119
FeSt 2-66,140.3865,-52.2139,
FeSt 2-67,145.1318,-49.0612,
FeSt 2-68,142.1498,-51.6026,S 120
FeSt 2-69,144.663,-51.4765,
FeSt 2-70,144.3321,-52.0589,
FeSt 2-71,146.6258,-51.0486,S 121
FeSt 2-72,147.6263,-51.7179,
FeSt 2-73,145.4356,-55.4954,
FeSt 2-74,150.4696,-54.9418,
FeSt 2-75,149.8287,-56.5069,
FeSt 2-76,150.46,-59.1918,
FeSt 2-77,150.8088,-59.5926,
FeSt 2-78,153.8986,-57.3829,
FeSt 2-79,153.9491,-57.3497,
