id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
IC 1250,,,*,1,258.620833333333,57.4172,16,15.2,0.8,12.3,0.4,0.2,2,60,S,0.028183,119.04,,2565010,NPM1G +57.0226,,
IC 1251,,,*,1,257.55375,72.4097,14.2,13.5,0.7,13.8,1.5,1,1.5,71,Sc,0.004036,17.05,,59735,UGC 10757,MCG 12-16-21,CGCG 339-29
IC 1252,,,*,1,258.958333333333,57.3669,15.7,14.9,0.8,13,1,0.2,5,142,Sab,0.030007,126.75,,59962,IC 4649,UGC 10788,CGCG 299-68
IC 1253,,,*,8,259.9775,16.6606,14.5,13.7,0.8,13.4,1.2,0.7,1.71,100,SBb,0.020491,86.55,,60086,NGC 6347,UGC 10807,MCG 3-44-4
IC 1254,,,*,1,257.88875,72.4017,15,13.8,1.2,13.7,1.6,0.7,2.29,32,SBb,0.00428,18.08,,59783,UGC 10769,MCG 12-16-24,CGCG 339-32
IC 1255,,,*,1,260.7725,12.6961,14.1,13.4,0.7,12.6,1,0.5,2,12,Sc,0.030481,128.75,110.5,60180,UGC 10826,MCG 2-44-3,CGCG 82-23
IC 1256,,,*,1,260.947083333333,26.4864,14,13.2,0.8,13.7,1.6,1.1,1.45,97,Sb,0.015778,66.65,,60203,UGC 10829,MCG 4-41-7,CGCG 140-17
IC 1257,,,*,5,261.785,-7.0936,,13.1,,,5,,,,V,,,25,,OCL 51,,
IC 1258,,,*,1,261.821666666667,58.4853,14.4,13.5,0.9,12.8,0.9,0.7,1.29,65,Sa,0.0271,114.47,,60320,UGC 10867,MCG 10-25-35,CGCG 300-29
IC 1259,,1,,1,261.852083333333,58.5167,15.9,14.9,1,13.7,0.8,0.4,2,133,E-S0,0.025481,107.63,,60323,UGC 10869,MCG 10-25-37A,CGCG 300-30
IC 1259,,2,*,1,261.86125,58.5164,13.9,13.1,0.8,13.2,0.3,0.3,1,,S  M,0.027846,117.62,,60325,UGC 10869,MCG 10-25-37,CGCG 300-30
IC 1260,,,*,1,261.881666666667,58.4764,15.7,14.7,1,11.9,0.3,0.3,1,,C,0.026129,110.37,,60324,MCG 10-25-40,CGCG 300-32,NPM1G +58.0200
IC 1261,,1,*,1,260.83625,71.2639,16,15,1,14.4,0.8,0.7,1.14,90,E-S0,0.047016,198.59,,60185,MCG 12-16-32A,CGCG 339-39,KCPG 514A
IC 1261,,2,,1,260.858333333333,71.2633,16,15,1,14.6,0.9,0.7,1.29,27,E2,0.046449,196.2,,60186,MCG 12-16-32B,CGCG 339-39,NPM1G +71.0161
IC 1262,,,*,1,263.258333333333,43.7597,14.7,13.6,1.1,13.3,1.2,0.6,2,85,E5,0.032649,137.91,,60479,UGC 10900,MCG 7-36-20,CGCG 226-25
IC 1263,,,*,1,263.279166666667,43.8217,14.5,13.7,0.8,13.8,1.6,0.7,2.29,168,SB,0.02894,122.24,,60481,UGC 10902,MCG 7-36-21,CGCG 226-26
IC 1264,,,*,1,263.32,43.6289,15,14,1,14.2,1.2,1.1,1.09,39,SB0,0.033086,139.75,,60484,UGC 10904,MCG 7-36-22,CGCG 226-27
IC 1265,,,*,1,264.16375,42.0889,13.2,12.3,0.9,12.8,2,0.9,2.22,80,Sab,0.007235,30.56,,60568,UGC 10917,MCG 7-36-27,CGCG 226-32
IC 1266,,,*,3,266.397916666667,-46.0886,12.1,,,,0.17,,,,PN,,,3,,PK 345-8.1,ESO 279-PN7,CS=11.1
IC 1267,,,*,1,264.69125,59.3725,14.2,13.4,0.8,13.7,1.5,1,1.5,35,SBb,0.031041,131.11,,60635,UGC 10937,MCG 10-25-77,CGCG 300-56
IC 1268,,,*,1,267.663333333333,17.21,15,14.3,0.7,13.3,0.7,0.5,1.4,117,Sc,0.020908,88.31,,60971,MCG 3-35-36,CGCG 112-57,NPM1G +17.0637
IC 1269,,,*,1,268.024583333333,21.5689,13.4,12.8,0.6,13.5,1.7,1.3,1.31,125,Sbc,0.020401,86.17,,61023,UGC 11013,MCG 4-42-9,CGCG 141-20
IC 1270,,,*,9,266.98875,62.2242,13,,,,,,,,*,,,,,,,
IC 1271,,,*,2,271.304166666667,-24.4106,,,,,,,,,EN+*,,,,,ESO 521-*N22,LBN 26 ?,
IC 1272,,,*,9,271.2325,25.1292,,,,,,,,,*Grp,,,,,,,
IC 1273,,,*,9,271.2625,25.1339,,,,,,,,,*2,,,,,,,
