id,A,C,D,S,alpha,delta,BMAG,VMAG,B-V,SB,diameter,minAxis,axisRatio,posAngle,TYPE,z,D(z),Dist,PGC,ID1,ID2,ID3
NGC 1,,,*,1,1.81625,27.7089,13.7,12.9,0.8,13.5,1.7,1.2,1.42,120,Sb,0.015177,64.11,63.2,564,UGC 57,MCG 4-1-25,CGCG 477-54
NGC 2,,,*,1,1.82125,27.6786,15,14.2,0.8,13.6,1,0.6,1.67,112,Sab,0.025214,106.5,93.19,567,UGC 59,MCG 4-1-26,CGCG 477-55
NGC 3,,,*,1,1.82,8.3014,14.2,13.3,0.9,12.8,1.1,0.6,1.83,111,S0,0.013009,54.95,,565,UGC 58,MCG 1-1-37,CGCG 408-35
NGC 4,,,*,1,1.85208333333333,8.3739,16.9,15.8,1,13.8,0.6,0.3,2,35,S0,0.029409,=300000*X5/71,,212468,,,
NGC 5,,,*,1,1.95333333333333,35.3628,14.3,13.3,1,13.1,1.2,0.7,1.71,115,E4,0.017048,72.01,,595,UGC 62,MCG 6-1-13,CGCG 517-17
NGC 6,,,*,7,2.38583333333333,33.3089,14.1,13.1,1,14.3,1.7,1.6,1.06,140,E-S0,0.016581,70.04,,679,NGC 20,UGC 84,MCG 5-1-36
NGC 7,,,*,1,2.08625,-29.9164,14.4,13.9,0.5,14,2.2,0.5,4.4,29,SBc,0.004987,21.06,21.93,627,ESO 409-22,MCG -5-1-37,AM 0005-301
NGC 8,,,*,9,2.18875,23.8386,,,,,,,,,*2,,,,,,,
NGC 9,,,*,1,2.22708333333333,23.8178,14.3,13.5,0.8,12.6,1.1,0.7,1.57,155,Sb/P,0.015104,63.8,43.53,652,UGC 78,MCG 4-1-30,CGCG 477-59
NGC 10,,,*,1,2.14291666666667,-33.8578,13.3,12.5,0.8,13.5,2.4,1.2,2,26,SBbc,0.022719,95.96,91.75,634,ESO 349-32,MCG -6-1-24,AM 0006-340
NGC 11,,,*,1,2.17625,37.4481,14.6,13.7,0.9,12.7,1.5,0.3,5,111,Sa,0.01464,61.84,,642,UGC 73,MCG 6-1-15,CGCG 517-20
NGC 12,,,*,1,2.18666666666667,4.6122,13.8,13.1,0.7,14,1.1,1,1.1,125,SBc,0.013146,55.53,,645,UGC 74,MCG 1-1-40,CGCG 408-38
NGC 13,,,*,1,2.19875,33.4331,14,13.2,0.8,13.5,2.3,0.6,3.83,53,Sab,0.016038,67.74,61.03,650,UGC 77,MCG 5-1-34,CGCG 498-81
NGC 14,,,*,1,2.19291666666667,15.8158,12.7,12.1,0.6,13.9,2.8,2.1,1.33,25,IBm,0.002885,12.19,12.8,647,UGC 75,MCG 3-1-26,CGCG 456-34
NGC 15,,,*,1,2.26,21.625,14.7,13.8,0.9,13.1,1,0.6,1.67,30,Sa,0.021121,89.21,,661,UGC 82,MCG 3-1-27,CGCG 456-35
NGC 16,,,*,1,2.2675,27.73,13,12,1,12.5,1.8,1,1.8,16,E/SB0,0.01034,43.68,,660,UGC 80,MCG 4-1-32,CGCG 477-61
NGC 17,,,*,1,2.7775,-12.1078,15.3,14.4,0.9,14.8,2.1,0.8,2.63,30,S/P,0.019617,82.86,,781,NGC 34,MCG -2-1-32,MK 938
NGC 18,,,*,9,2.34583333333333,27.7322,,,,,,,,,*2,,,,,,,
NGC 19,,,*,1,2.67,32.9828,14.1,13.3,0.8,12.7,1.1,0.6,1.83,42,SBbc,0.015971,67.46,63.43,759,UGC 98,MCG 5-1-46,CGCG 499-65
NGC 20,,,*,1,2.38583333333333,33.3089,14.1,13.1,1,14.3,1.7,1.6,1.06,140,E-S0,0.016581,70.04,,679,NGC 6,UGC 84,MCG 5-1-36
NGC 21,,,*,7,2.69583333333333,33.3519,13.5,12.7,0.8,12.8,1.5,0.7,2.14,154,SBbc,0.015911,67.21,71.68,767,NGC 29,UGC 100,MCG 5-1-48
NGC 22,,,*,1,2.45083333333333,27.8328,14.4,13.6,0.8,13.8,1.3,1,1.3,160,Sb,0.027726,117.11,108.5,690,UGC 86,MCG 5-1-39,CGCG 499-55
NGC 23,,,*,1,2.47208333333333,25.9239,12.9,12,0.9,13,2.1,1.3,1.62,8,SBa,0.015231,64.33,59.25,698,UGC 89,MCG 4-1-33,MK 545
NGC 24,,,*,1,2.48375,-24.9644,12.2,11.6,0.6,13.7,5.8,1.3,4.46,46,Sc,0.001848,7.81,6.89,701,ESO 472-16,MCG -4-1-18,UGCA 2
NGC 25,,,*,1,2.49708333333333,-57.0203,13.6,13,0.6,13,1.4,0.8,1.75,88,E/SB0,0.031572,133.36,,706,ESO 149-19,FAIR 1,AM 0007-571
NGC 26,,,*,1,2.60791666666667,25.8322,13.7,12.9,0.8,13.9,2.1,1.4,1.5,100,Sab,0.015317,64.7,62.4,732,UGC 94,MCG 4-1-34,CGCG 477-64
NGC 27,,,*,1,2.63625,28.9969,14.3,13.5,0.8,13.1,1.2,0.5,2.4,117,Sb,0.02346,99.09,91.61,742,UGC 96,MCG 5-1-44,CGCG 499-63
NGC 28,,,*,1,2.605,-56.9889,14.8,13.8,1,13.1,0.8,0.6,1.33,119,E1,0.032156,135.82,,730,AM 0007-571,,
NGC 29,,,*,1,2.69583333333333,33.3519,13.5,12.7,0.8,12.8,1.5,0.7,2.14,154,SBbc,0.015911,67.21,71.68,767,NGC 21,UGC 100,MCG 5-1-48
NGC 30,,,*,9,2.71166666666667,21.9775,,,,,,,,,*2,,,,,,,
NGC 31,,,*,1,2.66041666666667,-56.9861,14.6,13.9,0.7,13.4,1.3,0.7,1.86,5,Sc,0.032025,135.27,,751,ESO 149-20,AM 0007-571,
NGC 32,,,*,9,2.72166666666667,18.7925,,,,,0.6,,,,*2,,,,,,,
NGC 33,,,*,9,2.73583333333333,3.6764,,,,,,,,,*2,,,,,,,
NGC 34,,,*,7,2.7775,-12.1078,15.3,14.4,0.9,14.8,2.1,0.8,2.63,30,S/P,0.019617,82.86,,781,NGC 17,MCG -2-1-32,MK 938
NGC 35,,,*,1,2.79333333333333,-12.0206,14.9,14.1,0.8,12.8,0.7,0.5,1.4,135,Sb,0.019894,84.03,,784,MCG -2-1-33,NPM1G -12.0011,IRAS 00086-1217
NGC 36,,,*,1,2.84333333333333,6.3889,14.1,13.3,0.8,14.1,2.2,1.1,2,21,SBb,0.020114,84.96,67.65,798,UGC 106,MCG 1-1-43,CGCG 408-40
NGC 37,,,*,1,2.84583333333333,-56.9569,14.7,13.7,1,13.3,1.1,0.7,1.57,35,SB0,0.032606,137.73,,801,ESO 149-22,AM 0007-571,
NGC 38,,,*,1,2.94583333333333,-5.5864,14.2,13.3,0.9,13.8,1.4,1.3,1.08,80,Sa,0.026802,113.21,,818,MCG -1-1-47,,
NGC 39,,,*,1,3.07833333333333,31.0608,14.2,13.5,0.7,13.5,1.1,1,1.1,120,Sc,0.016201,68.43,,852,UGC 114,MCG 5-1-52,CGCG 499-76
NGC 40,,,*,3,3.25416666666667,72.5225,10.7,12.3,,,1.23,,,,PN,,,1.984,,PK 120+9.1,CS=10.6,
NGC 41,,,*,1,3.2,22.0239,14.4,13.7,0.7,12.6,0.8,0.5,1.6,123,Sc,0.019844,83.82,79.83,865,MCG 4-1-39,CGCG 478-42,KUG 0010+217
NGC 42,,,*,1,3.23458333333333,22.1008,14.8,13.8,1,13.2,1.1,0.6,1.83,115,E-S0,0.01995,84.27,,867,UGC 118,MCG 4-1-41,CGCG 478-43
NGC 43,,,*,1,3.25375,30.9156,13.6,12.6,1,13.4,1.6,1.5,1.07,15,SB0,0.015961,67.42,,875,UGC 120,MCG 5-1-54,CGCG 499-79
NGC 44,,,*,9,3.30583333333333,31.2867,,,,,,,,,*2,,,,,,,
NGC 45,,,*,1,3.51666666666667,-23.1814,11.3,10.6,0.7,14.7,8.5,5.9,1.44,142,SBd,0.001558,6.58,9.31,930,ESO 473-1,MCG -4-1-21,UGCA 4
NGC 46,,,*,9,3.54166666666667,5.9872,11.7,,,,,,,,*,,,,,,,
NGC 47,,,*,1,3.62708333333333,-7.1678,13.9,13.1,0.8,14.7,2.3,2.1,1.1,81,SBbc,0.019013,80.31,,967,NGC 58,MCG -1-1-55,IRAS 00119-0726
NGC 48,,,*,1,3.50875,48.235,14.4,13.6,0.8,13.7,1.6,1,1.6,15,SBbc,0.005924,25.02,43.6,929,UGC 133,MCG 8-1-31,CGCG 549-27
NGC 49,,,*,1,3.59333333333333,48.2472,14.7,13.7,1,13.4,1.1,1,1.1,165,S0,0.015924,67.26,,952,UGC 136,MCG 8-1-33,CGCG 549-29
NGC 50,,,*,1,3.68583333333333,-7.345,13.3,12.3,1,14,2.4,1.8,1.33,170,E-S0,0.019016,80.32,,983,MCG -1-1-58,,
NGC 51,,,*,1,3.645,48.2561,14.1,13.1,1,13.3,1.3,1,1.3,20,S0,0.017849,75.39,,974,UGC 138,MCG 8-1-35,CGCG 549-31
NGC 52,,,*,1,3.66666666666667,18.5817,14.1,13.4,0.7,13.1,2.2,0.4,5.5,127,Sc,0.017986,75.97,86.8,978,UGC 140,MCG 3-1-30,CGCG 456-42
NGC 53,,,*,1,3.67916666666667,-60.3286,13.3,12.6,0.7,13.6,2,1.4,1.43,172,SBb,0.015237,64.36,,982,ESO 111-20,FAIR 3,AM 0012-603
NGC 54,,,*,1,3.78166666666667,-7.1067,14.3,13.4,0.9,12.4,1.3,0.5,2.6,93,Sa,0.017802,75.19,,1011,MCG -1-1-60,,
NGC 55,,,*,1,3.78333333333333,-39.2194,8.4,7.9,0.5,13.4,31.2,5.9,5.29,108,SBm,0.00043,1.82,1.94,1014,ESO 293-50,MCG -7-1-13,
NGC 56,,,*,10,3.83583333333333,12.4444,,,,,,,,,NF,,,,,,,
NGC 57,,,*,1,3.87875,17.3292,12.7,11.6,1.1,13.1,2.2,1.9,1.16,40,E1,0.018146,76.65,,1037,UGC 145,MCG 3-1-31,CGCG 456-46
NGC 58,,,*,7,3.62708333333333,-7.1678,13.9,13.1,0.8,14.7,2.3,2.1,1.1,81,SBbc,0.019013,80.31,,967,NGC 47,MCG -1-1-55,IRAS 00119-0726
NGC 59,,,*,1,3.85541666666667,-21.4447,13.1,12.4,0.7,13.6,2.6,1.3,2,127,E-S0,0.001207,5.1,4.85,1034,ESO 539-4,MCG -4-1-26,KDWG 2
NGC 60,,,*,1,3.9925,-0.3036,14.8,14.1,0.7,14.3,1.3,1.2,1.08,155,Sc,0.039452,166.64,,1058,UGC 150,MCG 0-1-48,CGCG 382-37
NGC 61,A,,*,1,4.1,-6.3172,14,13,1,12.4,1.1,0.7,1.57,24,S0,0.026505,111.96,,1083,MCG -1-1-62,VV 742,
NGC 61,B,,,1,4.10166666666667,-6.3222,15.5,14.5,1,13.3,0.9,0.4,2.25,63,S0,0.026505,111.96,,1085,MCG -1-1-63,VV 742,
NGC 62,,,*,1,4.27208333333333,-13.4864,14.1,13.2,0.9,12.6,1.1,0.8,1.38,130,Sa,0.021562,91.08,,1125,MCG -2-1-43,IRAS 00145-1345,
NGC 63,,,*,1,4.43958333333333,11.45,12.6,11.7,0.9,12.3,1.7,1.2,1.42,108,S/P,0.003869,16.34,18.8,1160,UGC 167,MCG 2-1-30,CGCG 433-42
NGC 64,,,*,1,4.37625,-6.825,14,13.2,0.8,13.7,1.6,1.1,1.45,39,SBbc,0.02439,103.02,94.05,1149,MCG -1-1-68,IRAS 00149-0706,
NGC 65,,,*,1,4.74458333333333,-22.88,14.8,13.9,0.9,12.9,1,0.8,1.25,5,E/SB0,0.024327,102.76,,1229,ESO 473-10A,MCG -4-2-1,
NGC 66,,,*,1,4.77041666666667,-22.9364,14.3,13.5,0.8,13.1,1.2,0.7,1.71,32,SBb,0.025364,107.14,91.55,1236,ESO 473-10,MCG -4-2-2,AM 0016-231
NGC 67,A,,,1,4.55041666666667,30.0553,15.7,14.7,1,12,0.4,0.2,2,100,E5,0.020734,87.58,,138159,Arp 113,VV 166,
NGC 67,,,*,1,4.56208333333333,30.0633,15.2,14.2,1,11.5,0.3,0.2,1.5,51,E3,0.022162,93.61,,1185,MCG 5-1-64,CGCG 499-104,ARAK 4
NGC 68,,,*,1,4.57583333333333,30.0725,13.9,12.9,1,13,1.2,1.1,1.09,0,E-S0,0.01913,80.8,,1187,UGC 170,MCG 5-1-65,CGCG 499-106
NGC 69,,,*,1,4.585,30.0406,15.8,14.7,1.1,14.1,0.5,0.3,1.67,33,E/SB0,0.022285,94.13,,1191,MCG 5-1-66,CGCG 499-105,ARAK 5
NGC 70,,,*,1,4.59333333333333,30.0789,14.3,13.5,0.8,13.9,1.6,1.4,1.14,0,Sbc,0.023907,100.98,,1194,IC 1539,UGC 174,MCG 5-1-67
NGC 71,,,*,1,4.59791666666667,30.0631,14.2,13.2,1,13.4,1.2,0.9,1.33,129,E-S0/P,0.022339,94.36,,1197,UGC 173,MCG 5-1-68,CGCG 499-107
NGC 72,A,,,1,4.64291666666667,30.0361,15.7,14.7,1,12,0.3,0.3,1,,E3,0.022399,94.61,,1208,MCG 5-1-70,CGCG 499-110,ARAK 6
NGC 72,,,*,1,4.61833333333333,30.0406,14.5,13.5,1,13.4,1.1,0.9,1.22,15,SBab,0.024213,102.27,,1204,UGC 176,MCG 5-1-69,CGCG 499-109
NGC 73,,,*,1,4.66208333333333,-15.3217,14.5,13.7,0.8,14.3,1.7,1.2,1.42,145,Sbc,0.025891,109.36,,1211,MCG -3-1-26,NPM1G -15.0014,
NGC 74,,,*,1,4.70625,30.0614,15.6,14.8,0.8,13.1,0.8,0.3,2.67,131,Sb,0.023646,99.88,,1219,MCG 5-1-71,,
NGC 75,,,*,1,4.85958333333333,6.4497,14.2,13.2,1,13.3,1.1,1.1,1,,S0,0.019347,81.72,,1255,UGC 182,MCG 1-1-51,CGCG 408-48
NGC 76,,,*,1,4.90708333333333,29.9342,14.1,13.1,1,12.8,1,0.9,1.11,65,C,0.02444,103.23,,1267,UGC 185,MCG 5-1-72,CGCG 499-111
NGC 77,,,*,1,5.00666666666667,-22.5322,15.8,14.8,1,12.7,0.4,0.4,1,,E-S0,0.063064,266.38,,1290,ESO 473-15,NPM1G -22.0006,
NGC 78,A,,*,1,5.1075,0.8264,13.7,12.8,0.9,13.3,1.1,0.7,1.57,80,SB0-a,0.016942,71.56,,1306,UGC 193,MCG 0-2-4,IRAS 00178+0032
NGC 78,B,,,1,5.11458333333333,0.8333,14.4,13.5,0.9,12.3,1,0.7,1.43,134,S0,0.018436,77.87,,1309,UGC 194,MCG 0-2-5,KCPG 6A
NGC 79,,,*,1,5.26166666666667,22.5672,15,14,1,13,0.6,0.6,1,,E-S0,0.018296,77.28,,1340,MCG 4-2-3,CGCG 479-3,NPM1G +22.0015
NGC 80,,,*,1,5.29541666666667,22.3578,13.1,12.1,1,13.2,1.6,1.6,1,,E-S0,0.019006,80.28,94.3,1351,UGC 203,MCG 4-2-4,CGCG 479-6
NGC 81,,,*,1,5.305,22.3833,16.5,15.7,0.8,11.3,0.2,0.1,2,84,S,0.020447,86.37,,1352,NPM1G +22.0016,,
NGC 82,,,*,9,5.32333333333333,22.4611,,,,,,,,,*,,,,,,,
NGC 83,,,*,1,5.34416666666667,22.4342,13.6,12.5,1.1,13.3,1.5,1.5,1,,E0,0.020771,87.74,94.3,1371,UGC 206,MCG 4-2-5,CGCG 479-8
NGC 84,,,*,9,5.33833333333333,22.6192,,,,,,,,,*,,,,,,,
NGC 85,A,,,7,5.35625,22.5122,15.8,14.8,1,13.5,0.7,0.5,1.4,146,S0,0.020694,87.41,,1375,NGC 85,MCG 4-2-7,CGCG 479-9
NGC 85,B,,,8,5.37125,22.5064,15.5,14.7,0.8,13.1,0.9,0.3,3,129,Sbc,0.019413,82,83.67,1382,IC 1546,MCG 4-2-8,CGCG 479-10
NGC 85,,,*,1,5.35625,22.5122,15.8,14.8,1,13.5,0.7,0.5,1.4,146,S0,0.020694,87.41,,1375,NGC 85A,MCG 4-2-7,CGCG 479-9
NGC 86,,,*,1,5.36916666666667,22.5564,15.7,14.8,0.9,13,0.7,0.3,2.33,9,S?,0.01865,78.78,88.83,1383,MCG 4-2-9,CGCG 479-11,
NGC 87,,,*,1,5.30916666666667,-48.6289,14.7,14.3,0.4,13.7,0.9,0.7,1.29,171,IBm/P,0.011391,48.11,,1357,ESO 194-8,AM 0018-485,
NGC 88,,,*,1,5.34166666666667,-48.6397,15,14.4,0.6,13.3,0.8,0.5,1.6,145,SB0-a,0.011471,48.45,,1370,ESO 194-10,AM 0018-485,
NGC 89,,,*,1,5.35125,-48.6653,14.2,13.5,0.7,13,1.2,0.6,2,148,SB0-a,0.010964,46.31,,1374,ESO 194-11,AM 0018-485,
NGC 90,,,*,1,5.465,22.4006,14.5,13.7,0.8,14,1.9,0.8,2.38,132,SBc,0.017856,75.42,,1405,UGC 208,MCG 4-2-11,CGCG 479-13
NGC 91,,,*,9,5.46541666666667,22.3689,15.1,,,,,,,,*,,,,,,,
NGC 92,,,*,1,5.38083333333333,-48.6247,13.8,13.1,0.7,13.6,1.9,0.9,2.11,148,Sa,0.010737,45.35,,1388,ESO 194-12,AM 0018-485,
NGC 93,,,*,1,5.51416666666667,22.4089,14.3,13.2,1.1,12.8,1.4,0.6,2.33,48,Sb,0.017946,75.8,91.12,1412,UGC 209,MCG 4-2-12,CGCG 479-15
NGC 94,,1,*,1,5.55666666666667,22.4833,15.6,14.6,1,11.7,0.4,0.2,2,30,S0,0.019604,82.81,,1423,CGCG 479-17,,
NGC 94,,2,,1,5.5575,22.4739,16.5,15.5,1,12.6,0.4,0.2,2,150,S0,0.019523,82.46,,1670567,NPM1G +22.0020,,
NGC 95,,,*,1,5.55666666666667,10.4919,13.2,12.5,0.7,13.2,1.5,1.1,1.36,90,SBc/P,0.017946,75.8,58.5,1426,UGC 214,MCG 2-2-3,CGCG 434-3
NGC 96,,,*,1,5.57416666666667,22.5467,15.6,14.6,1,13.4,0.6,0.6,1,,S0,0.020631,87.14,,1429,MCG 4-2-14,,
NGC 97,,,*,1,5.625,29.7456,13.3,12.3,1,12.9,1.3,1.3,1,,E0,0.015898,67.15,,1442,UGC 216,MCG 5-2-7,CGCG 500-9
NGC 98,,,*,1,5.70541666666667,-45.2683,13.4,12.7,0.7,13.4,1.6,1.3,1.23,0,SBbc,0.020599,87.01,,1463,ESO 242-5,,
NGC 99,,,*,1,5.99833333333333,15.77,14,13.7,0.3,14.1,1,0.9,1.11,42,Sc/P,0.017705,74.78,,1523,UGC 230,MCG 2-2-6,CGCG 434-6
NGC 100,,,*,1,6.01083333333333,16.4864,13.9,13.3,0.6,14.6,4.2,0.5,8.4,56,Sc,0.002805,11.85,17.39,1525,UGC 231,MCG 3-2-9,CGCG 457-12
NGC 101,,,*,1,5.97708333333333,-32.5364,13.4,12.8,0.6,14.3,2.1,2,1.05,89,SBc,0.011284,47.66,,1518,ESO 350-14,MCG -5-2-3,IRAS 00214-3248
NGC 102,,,*,1,6.15208333333333,-13.9561,14.4,13.5,0.9,13,1,0.7,1.43,140,SB0-a,0.02445,103.28,,1542,MCG -2-2-11,,
NGC 103,,,*,4,6.32208333333333,61.3219,,9.8,,,5,,,,II2p,,,1.1,,OCL 291,,
NGC 104,,,*,5,6.02166666666667,-72.0803,,4,,,50,,,,III,,,4.5,,GCL 1,ESO 50-SC9,47 Tuc
NGC 105,,,*,1,6.32041666666667,12.8836,13.9,13.2,0.7,12.8,1.1,0.7,1.57,167,Sab,0.017122,72.32,,1583,UGC 241,MCG 2-2-8,CGCG 434-9
NGC 106,,,*,1,6.18208333333333,-5.1489,14.4,13.7,0.7,13,0.9,0.7,1.29,100,Scd,0.020211,85.37,,1551,,,
NGC 107,,,*,1,6.42541666666667,-8.2833,15,14.2,0.8,13.3,0.9,0.6,1.5,142,Sbc,0.020978,88.61,,1606,MCG -2-2-14,,
NGC 108,,,*,1,6.49875,29.2119,13,12.1,0.9,13.5,2.3,1.8,1.28,153,SB0-a,0.015801,66.74,,1619,UGC 246,MCG 5-2-12,CGCG 500-20
NGC 109,,,*,1,6.56083333333333,21.8078,14.7,13.7,1,13.8,1.1,1,1.1,77,SBa,0.018206,76.9,,1633,UGC 251,MCG 4-2-20,CGCG 479-31
NGC 110,,,*,4,6.85583333333333,71.3906,,,,,19,,,,IV1p,,,,,OCL 300,,
NGC 111,,,*,1,28.9254166666667,-3.0661,15.4,14.4,1,13.8,0.9,0.7,1.29,85,S0,0.04253,179.64,,7198,NGC 758,NPM1G -03.0103,
NGC 112,,,*,1,6.70333333333333,31.7028,14.3,13.6,0.7,12.7,1,0.5,2,108,Sc,0.020968,88.57,81.83,1654,UGC 255,MCG 5-2-13,CGCG 500-21
NGC 113,,,*,1,6.72791666666667,-2.5006,14.1,13.1,1,13.5,1.4,1,1.4,135,E-S0,0.01487,62.81,,1656,MCG -1-2-16,,
NGC 114,,,*,1,6.7425,-1.7858,14.7,13.8,0.9,13.3,0.8,0.7,1.14,165,SB0,0.013873,58.6,,1660,UGC 259,MCG 0-2-27,MK 946
NGC 115,,,*,1,6.69166666666667,-33.6761,13.9,13.1,0.8,13.5,1.9,0.9,2.11,127,SBbc,0.006089,25.72,30.69,1651,ESO 350-17,MCG -6-2-6,
NGC 116,,,*,10,6.7875,-7.9383,,,,,,,,,NF,,,,,,,
NGC 117,,,*,1,6.79541666666667,1.3342,15.2,14.3,0.9,13.3,0.7,0.4,1.75,100,S0-a,0.017889,75.56,,1674,MCG 0-2-29,CGCG 383-15,
NGC 118,,,*,1,6.81708333333333,-1.7797,14.6,13.6,1,12.3,0.7,0.5,1.4,40,C,0.037526,158.51,,1678,UGC 264,MCG 0-2-32,MK 947
NGC 119,,,*,1,6.74,-56.9778,14,13,1,12.9,1,1,1,,S0/P,0.024784,104.69,,1659,ESO 150-8,,
NGC 120,,,*,1,6.87541666666667,-1.5136,14.4,13.4,1,13,1.5,0.6,2.5,73,SB0,0.013289,56.13,,1693,UGC 267,MCG 0-2-33,CGCG 383-17
NGC 121,,,*,5,6.69625,-71.5367,11.2,11.2,,,1.5,,,,GCL,,,62.44,,ESO 50-SC12,in SMC,
NGC 122,,,*,9,6.90958333333333,-1.64,15.4,,,,,,,,*,,,,,,,
NGC 123,,,*,9,6.90083333333333,-1.5994,14.2,,,,,,,,*,,,,,,,
NGC 124,,,*,1,6.96791666666667,-1.8103,13.7,13,0.7,12.9,1.4,0.8,1.75,168,Sc,0.013543,57.2,,1715,UGC 271,MCG 0-2-38,CGCG 383-18
NGC 125,,,*,1,7.20958333333333,2.8386,13.1,12.1,1,13,1.8,1.6,1.13,85,S0-a,0.017699,74.76,,1772,UGC 286,MCG 0-2-48,CGCG 383-27
NGC 126,,,*,1,7.28375,2.8111,15.2,14.2,1,12.7,0.8,0.4,2,110,SB0,0.013499,57.02,,1784,MCG 0-2-49,CGCG 383-28,
NGC 127,,,*,1,7.30125,2.8733,15.8,14.8,1,13.7,0.8,0.5,1.6,70,S0,0.013656,57.68,,1787,MCG 0-2-50,CGCG 383-29,NPM1G +02.0013
NGC 128,,,*,1,7.31208333333333,2.865,12.8,11.8,1,12.7,2.5,0.7,3.57,1,S0/P,0.014146,59.75,,1791,UGC 292,MCG 0-2-51,CGCG 383-29
NGC 129,,,*,4,7.49166666666667,60.2117,,6.5,,,12,,,,IV2p,,,1.625,,OCL 294,,
NGC 130,,,*,1,7.3275,2.8711,15.4,14.4,1,13.1,0.7,0.4,1.75,52,E-S0,0.014787,62.46,,1794,MCG 0-2-52,CGCG 383-29,
NGC 131,,,*,1,7.40875,-33.2603,13.8,13.2,0.6,13.1,1.8,0.6,3,63,SBb,0.004703,19.87,,1813,ESO 350-21,MCG -6-2-10,IRAS 00271-3332
NGC 132,,,*,1,7.54416666666667,2.0931,13.4,12.6,0.8,13.6,1.9,1.5,1.27,49,SBbc,0.017895,75.59,,1844,UGC 301,MCG 0-2-63,CGCG 383-32
NGC 133,,,*,4,7.825,63.3517,,9.4,,,3,,,,IV1p,,,0.78,,OCL 296,,
NGC 134,,,*,1,7.59083333333333,-33.245,11.2,10.4,0.8,13.3,8.4,1.8,4.67,50,SBbc,0.005277,22.29,18.88,1851,ESO 350-23,MCG -6-2-12,AM 0027-333
NGC 135,,,*,1,7.94125,-13.3378,15.9,15.1,0.8,13.4,0.5,0.5,1,,S,0.023987,101.32,,138192,IC 26,,
NGC 136,,,*,4,7.87791666666667,61.5092,11.5,11.5,,,1.5,,,,II2p,,,5.22,,OCL 295,,
NGC 137,,,*,1,7.74208333333333,10.2086,13.7,12.8,0.9,13.2,1.2,1.2,1,,S0,0.017599,74.34,,1888,UGC 309,MCG 2-2-17,CGCG 434-19
NGC 138,,,*,1,7.74666666666667,5.1597,14.6,13.7,0.9,13.3,1.3,0.6,2.17,175,Sa,0.039674,167.58,,1889,UGC 308,MCG 1-2-16,CGCG 409-23
NGC 139,,,*,1,7.77708333333333,5.0783,15.2,14.4,0.8,13.3,0.8,0.5,1.6,171,SBab,0.040671,171.79,,1900,CGCG 409-22,,
NGC 140,,,*,1,7.835,30.7919,13.9,13.2,0.7,13.8,1.5,1.2,1.25,54,Scd,0.021458,90.64,,1916,UGC 311,MCG 5-2-21,CGCG 500-38
NGC 141,,,*,1,7.82333333333333,5.1794,15.4,14.5,0.9,13.6,0.8,0.6,1.33,90,S/P,0.039227,165.69,,1918,CGCG 409-27,,
NGC 142,,,*,1,7.78291666666667,-22.6194,14.6,13.8,0.8,13.2,1.1,0.6,1.83,101,SBb,0.026735,112.93,,1901,ESO 473-21,MCG -4-2-14,AM 0028-225
NGC 143,,,*,1,7.81458333333333,-22.56,15.2,14.4,0.8,13,1,0.2,5,20,SBb,0.026849,113.41,126,1911,ESO 473-22,MCG -4-2-15,AM 0028-225
NGC 144,,,*,1,7.83625,-22.6461,14.5,13.8,0.7,13.1,0.8,0.8,1,,Sc,0.027209,114.93,,1917,ESO 473-23,MCG -4-2-16,AM 0028-225
NGC 145,,,*,1,7.94,-5.1539,13.2,12.7,0.5,13.5,1.8,1.5,1.2,57,SBdm,0.013804,58.31,13.5,1941,MCG -1-2-27,Arp 19,IRAS 00292-0525
NGC 146,,,*,4,8.2625,63.3017,,9.1,,,5,,,,IV3p,,,3.032,,OCL 299,,
NGC 147,,,*,1,8.29875,48.5072,10.5,9.5,1,14.5,13.2,7.8,1.69,25,E5/P,-0.000644,,0.73,2004,UGC 326,MCG 8-2-5,DDO 3
NGC 148,,,*,1,8.56416666666667,-31.7861,13.1,12.2,0.9,12.5,2,0.8,2.5,90,S0,0.005057,21.36,18.4,2053,ESO 410-20,MCG -5-2-17,AM 0031-320
NGC 149,,,*,1,8.45916666666667,30.7236,14.7,13.7,1,13.4,1.2,0.7,1.71,155,S0,0.016155,68.24,,2028,UGC 332,MCG 5-2-24,CGCG 500-44
NGC 150,,,*,1,8.56541666666667,-27.805,12,11.4,0.6,13.3,3.9,1.9,2.05,118,SBb,0.005284,22.32,21.04,2052,ESO 410-19,MCG -5-2-18,UGCA 7
NGC 151,,,*,1,8.51166666666667,-9.705,12.3,11.6,0.7,13.4,3.8,1.6,2.38,75,SBbc,0.012499,52.79,46.45,2035,NGC 153,MCG -2-2-54,IRAS 00315-0958
NGC 152,,,*,4,8.23708333333333,-73.1161,11.9,,,,1.7,,,,OCL,,,62.44,,ESO 28-SC24,in SMC,
NGC 153,,,*,7,8.51166666666667,-9.705,12.3,11.6,0.7,13.4,3.8,1.6,2.38,75,SBbc,0.012499,52.79,46.45,2035,NGC 151,MCG -2-2-54,IRAS 00315-0958
NGC 154,,,*,1,8.58083333333333,-12.6558,15,14,1,14.1,1.1,0.9,1.22,80,E?,0.026785,113.14,,2058,MCG -2-2-53,NPM1G -12.0023,
NGC 155,,,*,1,8.66666666666667,-10.7661,14.3,13.3,1,14,1.7,1.3,1.31,175,S0,0.020714,87.49,,2076,MCG -2-2-55,NPM1G -11.0022,
