id,alpha,delta,diameter,Type,Common name,GId
SNR G031.5-00.6,282.7917,-1.5167,18,S?,,G031.5-00.6
SNR G031.9+00.0,282.3542,-0.9167,7,S,3C391,G031.9+00.0
SNR G032.0-04.9,286.5,-3,60,S?,3C396.1,G032.0-04.9
SNR G032.1-00.9,283.2917,-1.1333,40,C?,,G032.1-00.9
SNR G032.4+00.1,282.5208,-0.4167,6,S,,G032.4+00.1
SNR G032.8-00.1,282.8542,-0.1333,22,S?,Kes 78,G032.8-00.1
SNR G033.2-00.6,283.4583,-0.0333,18,S,,G033.2-00.6
SNR G033.6+00.1,283.2,0.6833,10,S,Kes 79 | 4C00.70 | HC13,G033.6+00.1
SNR G034.7-00.4,284,1.3667,35,C,W44 | 3C392,G034.7-00.4
SNR G035.6-00.4,284.4792,2.2167,15,S?,,G035.6-00.4
SNR G036.6-00.7,285.1458,2.9333,25,S?,,G036.6-00.7
SNR G036.6+02.6,282.2042,4.4333,17,S,,G036.6+02.6
SNR G038.7-01.3,286.6667,4.4667,32,S,,G038.7-01.3
SNR G039.2-00.3,286.0333,5.4667,8,C,3C396 | HC24 | NRAO 593,G039.2-00.3
SNR G039.7-02.0,288.0833,4.9167,120,?,W50 | SS433,G039.7-02.0
SNR G040.5-00.5,286.7917,6.5167,22,S,,G040.5-00.5
SNR G041.1-00.3,286.8917,7.1333,4.5,S,3C397,G041.1-00.3
SNR G041.5+00.4,286.4583,7.7667,10,S?,,G041.5+00.4
SNR G042.0-00.1,287.0417,8,8,S?,,G042.0-00.1
SNR G042.8+00.6,286.8333,9.0833,24,S,,G042.8+00.6
SNR G043.3-00.2,287.7833,9.1,4,S,W49B,G043.3-00.2
SNR G043.9+01.6,286.4583,10.5,60,S?,,G043.9+01.6
SNR G045.7-00.4,289.1042,11.15,22,S,,G045.7-00.4
SNR G046.8-00.3,289.5417,12.15,15,S,(HC30),G046.8-00.3
SNR G049.2-00.7,290.9583,14.1,30,S?,(W51),G049.2-00.7
SNR G053.4+00.0,292.4875,18.1667,10,S,,G053.4+00.0
SNR G053.6-02.2,294.7083,17.2333,33,S,3C400.2 | NRAO 611,G053.6-02.2
SNR G054.1+00.3,292.6292,18.8667,12,C?,,G054.1+00.3
SNR G054.4-00.3,293.3333,18.9333,40,S,(HC40),G054.4-00.3
SNR G055.0+00.3,293,19.8333,20,S,,G055.0+00.3
SNR G055.7+03.4,290.3333,21.7333,23,S,,G055.7+03.4
SNR G057.2+00.8,293.7458,21.95,12,S?,(4C21.53),G057.2+00.8
SNR G059.5+00.1,295.6375,23.5833,15,S,,G059.5+00.1
SNR G063.7+01.1,296.9667,27.75,8,F,,G063.7+01.1
SNR G064.5+00.9,297.6042,28.2667,8,S?,,G064.5+00.9
SNR G065.1+00.6,298.6667,28.5833,90,S,,G065.1+00.6
SNR G065.3+05.7,293.25,31.1667,310,S?,,G065.3+05.7
SNR G065.7+01.2,298.0417,29.4333,22,F,DA 495,G065.7+01.2
SNR G066.0-00.0,299.4583,29.05,31,S,,G066.0-00.0
SNR G067.6+00.9,299.4375,30.8833,50,S,,G067.6+00.9
SNR G067.7+01.8,298.6333,31.4833,15,S,,G067.7+01.8
SNR G067.8+00.5,300,30.85,7,?,,G067.8+00.5
SNR G068.6-01.2,302.1667,30.6167,23,?,,G068.6-01.2
SNR G069.0+02.7,298.3333,32.9167,80,?,CTB 80,G069.0+02.7
SNR G069.7+01.0,300.6667,32.7167,16,S,,G069.7+01.0
SNR G070.0-21.5,321,19.3833,330,S,,G070.0-21.5
SNR G073.9+00.9,303.5625,36.2,27,S?,,G073.9+00.9
SNR G074.0-08.5,312.75,30.6667,230,S,Cygnus Loop,G074.0-08.5
SNR G074.9+01.2,304.0083,37.2,8,F,CTB 87,G074.9+01.2
SNR G076.9+01.0,305.5833,38.7167,9,C,,G076.9+01.0
SNR G078.2+02.1,305.2083,40.4333,60,S,DR4 | gamma Cygni SNR,G078.2+02.1
SNR G082.2+05.3,304.75,45.5,95,S,W63,G082.2+05.3
SNR G083.0-00.3,311.7292,42.8667,9,S,,G083.0-00.3
SNR G084.2-00.8,313.3333,43.45,20,S,,G084.2-00.8
SNR G085.4+00.7,312.6667,45.3667,24,S,,G085.4+00.7
SNR G085.9-00.6,314.6667,44.8833,24,S,,G085.9-00.6
SNR G089.0+04.7,311.25,50.5833,120,S,HB21,G089.0+04.7
SNR G093.3+06.9,313.1042,55.35,27,C?,DA 530 | 4C(T)55.38.1,G093.3+06.9
SNR G093.7-00.2,322.3333,50.8333,80,S,CTB 104A | DA 551,G093.7-00.2
SNR G094.0+01.0,321.2083,51.8833,30,S,3C434.1,G094.0+01.0
SNR G096.0+02.0,322.625,53.9833,26,S,,G096.0+02.0
SNR G106.3+02.7,336.875,60.8333,60,C?,,G106.3+02.7
SNR G107.0+09.0,330.25,66.5,180,?,,G107.0+09.0
SNR G108.2-00.6,343.4167,58.8333,70,S,,G108.2-00.6
SNR G109.1-01.0,345.3958,58.8833,28,S,CTB 109,G109.1-01.0
SNR G111.7-02.1,350.8583,58.8,5,S,Cassiopeia A | 3C461,G111.7-02.1
SNR G113.0+00.2,351.7083,61.4333,40,?,,G113.0+00.2
SNR G114.3+00.3,354.25,61.9167,90,S,,G114.3+00.3
