id,alpha,delta,diameter,majAxis,minAxis,axisRatio,posAngle,Other names,,Type,Source,
Aquila Rift,280.3125,0.58389,1530,1530,300,5.1,45,[DB2002b] G31.25+2,,DARK_NEBULA,Dutra and Bica (2002b),
Cygnus Rift,305.05417,36.39972,1410,1410,600,2.35,50,[DB2002b] G74.75+0,,DARK_NEBULA,Dutra and Bica (2002b),
Ophiuchus CO Complex,252.4625,-23.28194,1260,1260,600,2.1,,[DB2002b] G357.5+13.5,,MOLECULAR_CLOUD_COMPLEX,Dutra and Bica (2002b),
Cepheus CO Complex,321.79167,73.98722,1200,1200,1200,1,,[DB2002b] G110+16.5,,MOLECULAR_CLOUD_COMPLEX,Dutra and Bica (2002b),
Perseus OB2 CO Complex,59.65417,32.63306,1140,1140,1140,1,,[DB2002b] G162.5-15.5,,MOLECULAR_CLOUD_COMPLEX,Dutra and Bica (2002b),
Lupus DN Complex,242,-37.51667,1100,1100,1100,1,,[DB2002b] G340.55+10.61,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Serpens DN Complex,277.5,-2.25,900,900,900,1,,[DB2002b] G28.48+3.74,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Taurus DN Complex,67.75,26.83333,850,850,850,1,,[DB2002b] G171.88-14.53,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Taurus Molecular Cloud,67,25,1800,1800,900,2,,Taurus Molecular Cloud,,MOLECULAR_CLOUD,Dame et al.,
Ass Cyg OB 7,318.3875,52.22611,720,720,720,1,,[DB2002b] G93+2.5,,OB_ASSOC,Dutra and Bica (2002b),
Polaris Flare,345.49583,88.16972,720,720,720,1,,[DB2002b] G122+25.5,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Orion Barnard DN Complex,87.25,2.76667,720,720,720,1,,[DB2002b] G203.17-12.54,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Vela DN Complex,135.5,-45.65,720,720,720,1,,[DB2002b] G266.87+0.54,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
IREC 276,60.72917,0.57472,697,697,697,1,,[DB2002b] G189.93-36.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
rho Ophiuchus DN Complex,248.125,-24.08333,670,670,670,1,,[DB2002b] G354.26+16.07,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Vela Sheet CO Complex,144.44167,-48.98167,660,660,660,1,,[DB2002b] G273.5+2.5,,MOLECULAR_CLOUD_COMPLEX,Dutra and Bica (2002b),
Upper Scorpius-Ophiuchus DN Complex,247,-17.26667,650,650,650,1,,[DB2002b] G359.07+21.25,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
CO Cloud Barnard,289.8875,14.49528,600,600,600,1,,[DB2002b] G49+0.5,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
Orion A DN Complex,84.25,-6.98333,600,600,600,1,,[DB2002b] G210.73-19.71,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Chamaeleon CO Complex,178.525,-78.54417,600,600,600,1,,[DB2002b] G300-16,,MOLECULAR_CLOUD_COMPLEX,Dutra and Bica (2002b),
Lower Scorpius DN Complex,256.52917,-41.56667,588,588,588,1,,[DB2002b] G345.04-0.41,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
Vulpecula Rift,294.22083,23.07917,540,540,300,1.8,50,[DB2002b] G58.5+1,,DARK_NEBULA_COMPLEX,Dutra and Bica (2002b),
IREC 4,248.77083,-10.56917,493,493,493,1,,[DB2002b] G5.95+24,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
MBM 5,27.99167,11.06333,460,460,460,1,,[DB2002b] G145.96-49.08,,MOLECULAR_CLOUD,Dutra and Bica (2002b),
IREC 283,79.96667,7.79361,457,457,457,1,,[DB2002b] G194.94-16.33,,INFRA_RED_SOURCE,Dutra and Bica (2002b),
FeSt 1-308,235.10417,-54.46111,450,450,450,1,,[DB2002b] G325.94+0.69,,DARK_NEBULA,Dutra and Bica (2002b),
