id,alpha,delta,diameter,minorAxis,Density,DCld
HMST 349.7-03.9,263.84141,-39.73865,20,4,B,DCld 349.7-03.9
HMST 349.8-03.5,263.49299,-39.44199,18,6,A,DCld 349.8-03.5
HMST 349.9-01.8,261.69212,-38.40897,22,2,B,DCld 349.9-01.8
HMST 350.2-03.7,263.85391,-39.22358,12,9,A,DCld 350.2-03.7
HMST 350.2-04.8,265.12944,-39.73409,20,1,B,DCld 350.2-04.8
HMST 350.3-03.5,263.7978,-38.98384,9,2,B,DCld 350.3-03.5
HMST 350.4+04.4,255.75006,-34.41715,14,14,A,DCld 350.4+04.4
HMST 350.4+01.4,258.76075,-36.17128,12,6,B,DCld 350.4+01.4
HMST 350.5-04.3,264.76721,-39.2725,5,4,B,DCld 350.5-04.3
HMST 350.6+02.6,257.72865,-35.29283,45,35,B,DCld 350.6+02.6
HMST 350.9-04.0,264.77187,-38.81413,4,1,C,DCld 350.9-04.0
HMST 350.9-01.4,261.99273,-37.38417,14,3,B,DCld 350.9-01.4
HMST 351.0+03.9,256.66621,-34.23117,4,3,A,DCld 351.0+03.9
HMST 351.0-03.7,264.49471,-38.55547,6,2,B,DCld 351.0-03.7
HMST 351.2+05.2,255.58383,-33.27625,2,2,A,DCld 351.2+05.2
HMST 351.2+00.0,260.69624,-36.28704,28,5,B,DCld 351.2+00.0
HMST 351.2+05.1,255.68389,-33.27411,7,4,A,DCld 351.2+05.1
HMST 351.3+04.3,256.51692,-33.7452,12,12,B,DCld 351.3+04.3
HMST 351.3-03.4,264.36168,-38.0711,12,2,A,DCld 351.3-03.4
HMST 351.5+04.4,256.52361,-33.50183,14,7,B,DCld 351.5+04.4
HMST 351.6-01.0,262.04938,-36.60389,5,2,B,DCld 351.6-01.0
HMST 351.6-00.6,261.58879,-36.33443,6,5,B,DCld 351.6-00.6
HMST 351.6-03.7,264.90308,-38.00848,12,6,B,DCld 351.6-03.7
HMST 351.7+00.5,260.52034,-35.60787,12,5,A,DCld 351.7+00.5
HMST 351.8+01.6,259.5319,-34.98258,35,8,A,DCld 351.8+01.6
HMST 351.8+02.8,258.37184,-34.25643,2,1,A,DCld 351.8+02.8
HMST 351.8+02.9,258.21263,-34.14718,14,14,B,DCld 351.8+02.9
HMST 351.8-03.6,264.87199,-37.76196,6,2,B,DCld 351.8-03.6
HMST 351.9+02.3,258.91975,-34.50049,22,3,A,DCld 351.9+02.3
HMST 352.0+01.8,259.4254,-34.66308,28,12,A,DCld 352.0+01.8
HMST 352.2+03.1,258.33513,-33.77159,22,12,B,DCld 352.2+03.1
HMST 352.2-04.7,266.34079,-37.97319,50,22,B,DCld 352.2-04.7
HMST 352.5+00.9,260.75202,-34.77508,12,8,A,DCld 352.5+00.9
HMST 352.5+01.2,260.44623,-34.57154,22,7,A,DCld 352.5+01.2
HMST 352.5+03.3,258.33205,-33.3216,22,5,B,DCld 352.5+03.3
HMST 352.6+02.1,259.61699,-34.03883,40,3,B,DCld 352.6+02.1
HMST 352.7+02.3,259.46516,-33.78788,35,6,B,DCld 352.7+02.3
HMST 352.8+05.0,256.86055,-32.13188,16,6,A,DCld 352.8+05.0
HMST 352.8+01.2,260.63185,-34.28898,14,3,A,DCld 352.8+01.2
HMST 352.9+05.0,257.0101,-32.04784,2.5,2,A,DCld 352.9+05.0
HMST 352.9+03.3,258.6512,-33.04174,28,16,B,DCld 352.9+03.3
HMST 352.9+04.8,257.18983,-32.11366,6,3,A,DCld 352.9+04.8
HMST 353.0+01.4,260.58428,-34.0442,14,4,A,DCld 353.0+01.4
HMST 353.0-04.2,266.33352,-37.02987,8,7,B,DCld 353.0-04.2
HMST 353.1+02.3,259.8047,-33.44792,4,2,A,DCld 353.1+02.3
HMST 353.3+02.4,259.73258,-33.2666,2.5,2.5,A,DCld 353.3+02.4
HMST 353.3+01.9,260.23463,-33.52253,4,2,A,DCld 353.3+01.9
HMST 353.3+03.6,258.59784,-32.54699,22,5,B,DCld 353.3+03.6
HMST 353.3+00.4,261.79531,-34.33507,5,1,B,DCld 353.3+00.4
HMST 353.5+03.5,258.8763,-32.41566,3,1.5,A,DCld 353.5+03.5
HMST 353.6-02.7,265.16588,-35.83384,20,5,B,DCld 353.6-02.7
HMST 353.7+03.7,258.79546,-32.17104,20,4,A,DCld 353.7+03.7
HMST 353.8-05.9,268.68551,-37.2268,3,1,B,DCld 353.8-05.9
HMST 354.0-03.7,266.4719,-36.03085,16,14,B,DCld 354.0-03.7
HMST 354.0-03.4,266.07862,-35.82775,5,2,B,DCld 354.0-03.4
HMST 354.0+03.5,259.19501,-32.06581,3,2,A,DCld 354.0+03.5
HMST 354.1+02.9,259.80086,-32.26459,16,14,A,DCld 354.1+02.9
HMST 354.2+03.2,259.61617,-32.07713,14,5,A,DCld 354.2+03.2
HMST 354.3-06.6,269.83519,-37.17121,12,4,C,DCld 354.3-06.6
HMST 354.4-01.8,264.74028,-34.62088,26,7,A,DCld 354.4-01.8
HMST 354.5-02.6,265.64713,-34.95483,7,4,B,DCld 354.5-02.6
HMST 354.8-02.7,265.89622,-34.81695,45,16,B,DCld 354.8-02.7
HMST 354.8-05.7,269.04541,-36.3267,40,22,C,DCld 354.8-05.7
HMST 354.9-00.6,263.79485,-33.54376,4,3,A,DCld 354.9-00.6
HMST 355.1-04.8,268.33171,-35.61515,40,4,C,DCld 355.1-04.8
HMST 355.1-00.5,263.86026,-33.36011,5,3,A,DCld 355.1-00.5
HMST 355.2-00.7,264.12325,-33.4155,8,5,A,DCld 355.2-00.7
HMST 355.6-04.8,268.60749,-35.14714,28,22,B,DCld 355.6-04.8
HMST 355.7-02.1,265.90919,-33.70854,45,7,B,DCld 355.7-02.1
HMST 356.0-02.8,266.74315,-33.76783,55,8,A,DCld 356.0-02.8
HMST 356.1-01.6,265.60911,-33.10831,45,8,B,DCld 356.1-01.6
HMST 356.3-04.0,268.19218,-34.18247,12,12,C,DCld 356.3-04.0
HMST 356.4-03.4,267.68107,-33.80161,40,8,A,DCld 356.4-03.4
HMST 356.5-04.5,268.80115,-34.26118,4,1,A,DCld 356.5-04.5
HMST 356.5-04.4,268.77577,-34.20797,22,2,C,DCld 356.5-04.4
HMST 356.6-02.9,267.27408,-33.40858,12,7,B,DCld 356.6-02.9
HMST 356.7-02.7,267.08069,-33.16618,7,4,B,DCld 356.7-02.7
HMST 356.9-02.9,267.48015,-33.07591,5,5,B,DCld 356.9-02.9
HMST 357.0-05.6,270.24765,-34.34082,3,1,B,DCld 357.0-05.6
HMST 357.4-05.8,270.73336,-34.08845,14,4,C,DCld 357.4-05.8
HMST 357.7-04.7,269.81962,-33.32121,16,8,B,DCld 357.7-04.7
HMST 357.9-03.6,268.77718,-32.61793,5,3,A,DCld 357.9-03.6
HMST 358.0-04.8,270.03045,-33.08019,8,5,A,DCld 358.0-04.8
HMST 358.0-05.0,270.27292,-33.19401,90,65,B,DCld 358.0-05.0
HMST 358.1-05.2,270.46464,-33.20141,16,4,A,DCld 358.1-05.2
HMST 358.2-04.9,270.32137,-32.97044,5,1.5,A,DCld 358.2-04.9
HMST 358.3-04.8,270.29123,-32.82891,5,3,A,DCld 358.3-04.8
HMST 358.4-05.3,270.81337,-33.01805,3,1.5,A,DCld 358.4-05.3
HMST 358.6-04.8,270.47264,-32.54803,14,7,B,DCld 358.6-04.8
HMST 358.9-05.3,271.081,-32.5534,28,12,B,DCld 358.9-05.3
HMST 359.1-05.8,271.74001,-32.6552,28,16,C,DCld 359.1-05.8
HMST 359.4-19.6,287.34553,-38.06729,28,7,C,DCld 359.4-19.6
HMST 359.4-20.2,288.00449,-38.24923,20,5,B,DCld 359.4-20.2
HMST 359.5-20.4,288.34543,-38.20432,22,7,B,DCld 359.5-20.4
HMST 359.6-06.3,272.56344,-32.43453,2,2,B,DCld 359.6-06.3
HMST 359.6-18.0,285.49568,-37.27759,9,6,A,DCld 359.6-18.0
HMST 359.6-18.4,285.98368,-37.40864,12,6,A,DCld 359.6-18.4
HMST 359.7-20.3,288.22335,-38.01988,12,4,C,DCld 359.7-20.3
HMST 359.7-18.2,285.77873,-37.27626,12,3,A,DCld 359.7-18.2
HMST 359.8-17.6,285.09793,-36.96945,35,12,A,DCld 359.8-17.6
HMST 359.8-17.9,285.5482,-37.06234,110,28,A,DCld 359.8-17.9
HMST 359.9-17.9,285.46435,-36.98107,4,4,A,DCld 359.9-17.9
HMST 359.9-06.6,272.99959,-32.24408,28,2,C,DCld 359.9-06.6
