id,alpha,delta,diameter
Cr 177,122.54375,-49.225556,20
Cr 178,123.065,-37.594167,40
Cr 179,123.429583,-5.750556,54
Cr 180,124.62125,-30.645556,10
Cr 181,124.734583,-29.749167,13
Cr 182,125.220833,-36.217222,10
Cr 183,125.36625,-30.293333,7
Cr 184,125.850417,-29.508611,9
Cr 185,125.625,-36.166667,8
Cr 186,125.789583,-32.975278,2
Cr 187,126.05,-29.15,7
Cr 188,129.312083,-29.950278,11
Cr 189,130.0925,19.671944,95
Cr 190,129.608333,-34.771667,3
Cr 191,130.0875,-53.089167,60
Cr 192,130.629167,-48.108333,7
Cr 193,130.658333,-47.200556,4
Cr 194,130.6375,-45.000556,2.7
Cr 195,130.86375,-32.656111,12
Cr 196,131.25,-31.633333,5
Cr 197,131.2125,-41.233333,40
Cr 198,131.325,-31.766667,5
Cr 199,131.579167,-52.935,12
Cr 200,131.372917,-48.791667,9
Cr 201,131.549583,-41.877222,4
Cr 202,131.625,-52.9,12
Cr 203,131.975,-42.45,29
Cr 204,132.83375,11.811944,29
Cr 205,135.133333,-48.985,5
Cr 206,139.00625,-36.626944,9
Cr 207,139.845417,-40.520278,2.3
Cr 208,141.9375,-57.668889,18
Cr 209,142.620833,-52.913889,5
Cr 210,143.295417,-53.395833,12
Cr 211,145.047917,-50.320833,4
Cr 212,147.162917,-56.411667,5
Cr 213,148.645833,-50.919722,17
Cr 214,150.164583,-54.7875,2
Cr 215,150.677917,-60.108889,35
Cr 216,151.244167,-61.615,5
Cr 217,151.620833,-60.3,4
Cr 218,155.3425,-51.7325,5
Cr 219,155.956667,-60.137222,5
Cr 220,156.466667,-57.926389,6
Cr 221,156.630417,-60.678333,2
Cr 222,156.9,-57.670278,7
Cr 223,157.6,-60.083333,9
Cr 224,158.974167,-58.236111,5
Cr 225,159.327917,-58.66,5
Cr 226,159.697917,-54.115556,6
Cr 227,160.55,-65.1,16
Cr 228,160.516667,-59.916667,14
Cr 229,160.845833,-64.436944,100
Cr 230,160.983333,-59.55,5
Cr 231,161.179167,-59.366667,15
Cr 232,161.245833,-59.55,4
Cr 233,161.3175,-59.721389,10
Cr 234,161.3375,-59.75,3
Cr 235,164.1,-59.2,5
Cr 236,164.320833,-61.11,10
Cr 237,164.890833,-60.336667,9
Cr 238,166.447917,-58.770278,55
Cr 239,167.58,-60.248333,6
Cr 240,167.58,-60.248333,1
Cr 241,167.866667,-60.666667,6
Cr 242,168.245833,-60.788889,4
Cr 243,168.779167,-57.55,10
Cr 244,168.7775,-61.261111,2.5
Cr 245,169.533333,-62.739167,15
Cr 246,169.925,-63.483333,5
Cr 247,171.404583,-43.25,12
Cr 248,174.06,-61.61,12
Cr 249,174.216667,-63.073333,65
Cr 250,177.638333,-55.676389,6
Cr 251,180.521667,-63.223333,10
Cr 252,181.664583,-61.25,6
Cr 253,184.28875,-55.286111,7
Cr 254,186.01375,-58.123611,3.5
Cr 255,186.025,-61.870278,15
Cr 256,186.25,26,275
Cr 257,186.19125,-60.886667,5
Cr 258,186.791667,-60.766667,5
Cr 259,187.109583,-60.103056,4
Cr 260,187.48,-64.789722,5
Cr 261,189.4875,-68.366667,9
Cr 262,189.891667,-60.616667,7
Cr 263,190.582917,-62.993889,5
Cr 264,193.404583,-60.356111,10
Cr 265,194.492917,-64.961667,3
Cr 266,195.060417,-59.616111,11
Cr 267,199.1125,17.697778,11
Cr 268,199.554167,-67.083333,5
Cr 269,200.879167,-66.18,15
Cr 270,201.813333,-59.040833,7
Cr 271,202.475,-64.2,5
Cr 272,202.608333,-61.316667,10
Cr 273,202.780417,-60.939167,4
Cr 274,203.058333,-62.8,5
Cr 275,203.6625,-60.2,11
Cr 276,206.64625,-62.916389,8
Cr 277,207,-66.066667,15
Cr 278,207.187083,-64.685278,4
Cr 279,208.488333,-61.869167,13
Cr 280,211.865417,-48.3425,35
Cr 281,216.946667,-59.632222,3
Cr 282,217.433333,-60.710833,10
Cr 283,217.758333,-61.166667,10
Cr 284,218.90625,-56.618056,30
Cr 285,180.75,58,1
Cr 286,220.87375,-57.576944,5
Cr 287,222.224583,-54.4975,7
Cr 288,223.384167,-52.670556,3
Cr 289,226.088333,-54.396389,39
Cr 290,226.3775,-55.603611,12
Cr 291,231.86125,-54.528611,20
Cr 292,237.4625,-57.619722,15
Cr 293,238.035833,-56.472778,3
Cr 294,238.952917,-57.437222,3
Cr 295,240.2,-53.533333,9
Cr 296,240.820833,-60.431667,12
Cr 297,241.895833,-54.015,2
Cr 298,243.295833,-54.218333,12
Cr 299,244.975,-54.966667,25
Cr 300,244.710417,-57.934444,12
Cr 301,246.333333,-40.653611,40
Cr 302,246.5,-26.216667,505
Cr 303,246.94375,-49.151111,6
Cr 304,248.189583,-52.643889,29
Cr 305,248.645417,-49.771944,7
Cr 306,248.519167,-44.045556,12
Cr 307,248.833333,-51,5
Cr 308,248.946667,-45.643611,4
Cr 309,250.099167,-43.366667,7
Cr 310,250.334167,-48.7625,14
Cr 311,251.030417,-47.4625,12
Cr 312,251.539583,-47.016944,5
Cr 313,252.367083,-53.728333,15
Cr 314,252.347917,-44.731389,4
Cr 315,253.545417,-41.824167,14
Cr 316,253.875,-40.833333,105
Cr 317,253.889167,-39.460833,9
Cr 318,254.25,-40.666667,60
Cr 319,254.422917,-44.811944,6
Cr 320,254.483333,-45.936667,7
Cr 321,254.77125,-52.708889,5
Cr 322,255.18875,-44.655,10
Cr 323,255.542917,-39.728333,6
Cr 324,256.171667,-37.985278,8
Cr 325,259.047917,-39.425,5
Cr 326,259.607083,-42.933889,10
Cr 327,261.308333,-49.959722,10
Cr 328,261.37125,-48.422778,7.1
Cr 329,261.2,-30,4
Cr 330,260.99375,-26.353611,5
Cr 331,262.125,-29.483333,17
Cr 332,262.7,-37.083333,2
Cr 333,262.825,-34.083333,5
Cr 334,263.676667,-32.581389,2.5
Cr 335,263.676667,-32.581389,2.5
Cr 336,264.05,-33.483333,6
Cr 337,264.2,-32.483333,12.5
Cr 338,264.525,-37.72,20
Cr 339,264.408333,-35.025833,1
Cr 340,264.905417,-33.246667,5
Cr 341,265.08625,-32.254167,33
Cr 342,265.052917,-36.947778,12
Cr 343,265.4,-40.1,9
Cr 344,266.082917,-32.361111,30
Cr 345,266.145833,-33.866667,4.8
Cr 346,266.2275,3.170278,4.2
Cr 347,266.575,-29.333333,10
Cr 348,266.756667,-31.529444,15
Cr 349,266.575,5.716667,40
Cr 350,267.029167,1.35,40
Cr 351,267.266667,-28.75,8
Cr 352,267.669167,-30.211667,7
Cr 353,268.300417,-22.275,8
Cr 354,268.462917,-34.792778,80
Cr 355,269.125,-35.316667,10
Cr 356,269.269583,-18.985278,30
Cr 357,269.954167,-28.166667,5
Cr 358,269.96125,-17.450278,6
Cr 359,270.275,2.9,240
Cr 360,270.587083,-23.027222,30
Cr 361,270.854583,-27.891111,6
Cr 362,271.129167,-24.358056,14
Cr 363,271.055833,-22.49,13
Cr 364,271.535417,-27.765278,1.5
Cr 365,271.84375,-23.296111,15
Cr 366,271.835417,-24.9975,8.9
Cr 367,272.429167,-23.659722,40
Cr 368,272.57625,-31.763611,3.7
Cr 369,273.187917,-21.583056,12
Cr 370,273.957917,-22.135833,5
Cr 371,274.316667,-19.741667,4
Cr 372,274.293333,-13.344444,6
Cr 373,274.512083,-12.243056,4
Cr 374,274.612083,-18.406111,5
Cr 375,274.700417,-13.807222,21
Cr 376,274.993333,-17.101944,10
Cr 377,275.2875,-16.176667,27
Cr 378,276.175,-19.716667,6
Cr 379,276.797083,-12.031111,7
Cr 380,276.813333,6.508333,20
Cr 381,277.97625,-23.476389,5.8
Cr 382,277.9,-19.25,32
Cr 383,278.157917,-16.883889,15
Cr 384,278.36625,-10.402778,5
Cr 385,279.13875,-8.220833,16
Cr 386,279.75,5.45,52
Cr 387,279.95,-8.483333,7
Cr 388,280.725,-4.133333,9
Cr 389,281.3275,-9.383611,14
Cr 390,282.690417,-5.205556,6
Cr 391,282.774583,-6.27,13
Cr 392,282.82875,10.318611,13
Cr 393,283.642917,-19.901111,6
Cr 394,283.116667,-20.991111,22
Cr 395,283.774583,-22.701667,3.9
Cr 396,285.339583,11.615556,15
Cr 397,286.954167,4.266389,14
Cr 398,287.177083,4.705833,4
Cr 399,291.35,20.183333,60
Cr 400,292.645833,20.260833,5
Cr 401,294.6,-0.333333,1
Cr 402,294.324583,46.388889,12
Cr 403,295.325,40.186667,5
Cr 404,295.61625,23.088056,0.8
Cr 405,295.790833,23.3,12
Cr 406,297.747917,23.1,12
Cr 407,298.052083,29.408056,5
Cr 408,298.275,18.333333,9
Cr 409,298.442083,18.778333,7.2
Cr 410,299.116667,32.349722,0.5
Cr 411,304.329167,-79.033333,70
Cr 412,300.979583,44.159167,6
Cr 413,301.497083,35.777222,30
Cr 414,302.7,41.183333,9
Cr 415,302.832083,35.832222,35
Cr 416,302.9825,26.488889,20
Cr 417,302.9825,26.488889,20
Cr 418,304.132083,37.643056,5
Cr 419,304.525,40.716667,4.5
Cr 420,305.8,40.778611,7
Cr 421,305.825,41.7,5
Cr 422,305.990417,38.507778,6
Cr 423,307.875417,60.662222,7
Cr 424,308.610833,28.282778,31
Cr 425,314.124583,45.473056,5
Cr 426,314.732917,-12.635556,2.8
Cr 427,314.875,68.166667,4
Cr 428,315.8,44.583333,13
Cr 429,315.397917,68.169722,18
Cr 430,316.802083,50.875556,5
Cr 431,317.69875,45.621944,25
Cr 432,318.025,47.733333,8
Cr 433,318.28875,42.496111,3.5
Cr 434,320.864167,46.378611,6
Cr 435,321.090417,36.4875,7
Cr 436,321.09625,48.009444,3
Cr 437,322.614583,51.602222,9
Cr 438,322.95125,48.448611,31
Cr 439,324.775,57.5,50
Cr 440,325.990417,53.715278,3.1
Cr 441,325.745417,66.113056,7
Cr 442,326.289167,65.774444,4.3
Cr 443,328.4175,62.603333,7
Cr 444,331.2825,46.483611,25
Cr 445,332.625,52.833333,7
Cr 446,332.612083,55.398611,2
Cr 447,333.10375,57.271389,4
Cr 448,333.785417,49.8975,21
Cr 449,333.797917,54.3425,5
Cr 450,335.047083,58.121944,5
Cr 451,337.011667,52.289167,3
Cr 452,341.837083,58.1325,12
Cr 453,343.583333,60.815556,6
Cr 454,347.765417,60.570833,7
Cr 455,351.21,61.606667,16
Cr 456,352.530417,49.134167,14
Cr 457,357.507083,68.038056,15
Cr 458,358.525,61.766667,6
Cr 459,359.189583,61.4,4
Cr 460,359.35,56.708333,25
Cr 461,359.600833,61.208333,5
Cr 462,9.89875,61.094444,5
Cr 463 (20a),27.1,71.95,1
Cr 464 (60a),80.5,73,120
Cr 465 (127a),106.8,-10.616667,9
Cr 466 (127b),106.825,-10.816667,4
Cr 467 (156a),114.620833,-10.55,5
Cr 468 (364a),271.65,-27.466667,0.9
Cr 469 (370a),274.1375,-18.309444,2.6
Cr 470 (442a),328.35,47.266667,9
Cr 471 (444a),331.775,72,130
