alpha,delta,GName,diameter,id
286.2275,6.105,039.9-00.2,0.4,PBD 490
286.138333,6.150833,039.9-00.1,5,PBD 491
285.512083,6.471667,039.9+00.6,1.2,PBD 492
288.947917,4.810556,040.0-03.2,23,PBD 493
287.255833,5.688056,040.0-01.3,18.9,PBD 494
285.023333,7.058611,040.2+01.3,5.7,PBD 495
284.084167,7.8725,040.5+02.5,3.5,PBD 496
286.819167,6.588889,040.6-00.5,12.2,PBD 497
287.0475,6.809167,040.9-00.6,4.2,PBD 498
286.7825,7.170833,041.1-00.2,3.7,PBD 499
286.291667,7.535278,041.2+00.4,2.4,PBD 500
286.384167,7.713056,041.4+00.4,14.3,PBD 501
286.87875,7.571944,041.5-00.1,1.3,PBD 502
286.789167,7.618056,041.5+00.0,2.7,PBD 503
286.699583,7.663889,041.5+00.1,0.9,PBD 504
286.430833,7.801944,041.5+00.4,1.8,PBD 505
289.425833,6.365,041.6-02.9,0.4,PBD 506
287.064583,7.927222,041.9-00.1,0.9,PBD 507
287.11125,8.015833,042.0-00.1,21.2,PBD 508
287.605417,7.873889,042.1-00.6,1.7,PBD 509
287.114583,8.239444,042.2-00.0,0.5,PBD 510
287.43375,8.413333,042.5-00.2,15.1,PBD 512
287.390417,8.548333,042.6-00.1,5.3,PBD 513
286.901667,9.136944,042.9+00.6,0.4,PBD 514
288.03,8.895556,043.2-00.5,0.7,PBD 515
287.760833,9.034167,043.2-00.2,12,PBD 516
287.670833,9.080556,043.2-00.1,2,PBD 517
287.58125,9.126667,043.2+00.0,2,PBD 518
287.178333,9.446111,043.3+00.5,3,PBD 519
287.225,9.534722,043.4+00.5,0.9,PBD 520
287.995,9.4775,043.7-00.2,0.4,PBD 521
287.772083,9.705,043.8+00.1,0.4,PBD 522
287.502083,9.843611,043.8+00.4,1.7,PBD 523
288.627917,9.376667,043.9-00.8,1.6,PBD 524
288.538333,9.423056,043.9-00.7,0.4,PBD 525
287.055,10.297778,044.0+01.0,0.4,PBD 526
286.694167,10.481667,044.0+01.4,0.4,PBD 527
287.822917,10.017222,044.1+00.2,40,PBD 528
287.96,10.059722,044.2+00.1,0.9,PBD 529
288.457083,9.916389,044.3-00.4,0.4,PBD 530
288.007083,10.148333,044.3+00.1,2.5,PBD 531
288.414167,10.051389,044.4-00.3,0.4,PBD 532
287.69375,10.421944,044.4+00.5,0.4,PBD 533
287.830833,10.464444,044.5+00.4,0.4,PBD 534
285.93125,11.429722,044.5+02.5,0.4,PBD 535
288.782917,10.312778,044.8-00.5,7.9,PBD 536
288.9675,10.443333,045.0-00.6,0.4,PBD 537
288.384167,10.857222,045.1+00.1,1,PBD 538
289.247083,10.750556,045.4-00.7,1.8,PBD 539
288.525833,11.123056,045.4+00.1,6.2,PBD 540
288.573333,11.211389,045.5+00.1,1.1,PBD 541
287.535,11.855556,045.6+01.3,0.4,PBD 542
289.076667,11.290833,045.8-00.3,1.1,PBD 543
288.99125,11.561111,046.0-00.1,0.4,PBD 544
292.2725,9.955,046.1-03.7,0.4,PBD 545
289.319583,11.956667,046.5-00.2,3.1,PBD 546
288.9625,12.366944,046.7+00.3,0.4,PBD 547
289.057917,12.543889,046.9+00.3,21.5,PBD 548
290.1475,13.905833,048.6+00.0,3.9,PBD 549
289.965417,13.999722,048.6+00.2,2.7,PBD 550
290.565417,14.029444,048.9-00.3,4.1,PBD 551
290.886667,13.976111,049.0-00.6,16.7,PBD 552
290.795833,14.023333,049.0-00.5,8.2,PBD 553
290.614167,14.117778,049.0-00.3,5,PBD 554
291.02625,14.016944,049.1-00.7,7,PBD 555
290.75375,14.158611,049.1-00.4,4,PBD 556
290.662917,14.205833,049.1-00.3,3.3,PBD 557
290.711667,14.294167,049.2-00.3,1.7,PBD 558
290.76,14.382222,049.3-00.3,11,PBD 559
293.252917,13.182778,049.4-03.0,0.4,PBD 560
290.990833,14.375833,049.4-00.5,2.2,PBD 561
290.80875,14.470278,049.4-00.3,1.8,PBD 562
290.717917,14.5175,049.4-00.2,4.1,PBD 563
290.94875,14.511111,049.5-00.4,1.6,PBD 564
290.310833,14.841389,049.5+00.3,17.5,PBD 565
291.08875,14.551944,049.6-00.5,2.6,PBD 566
290.9975,14.599444,049.6-00.4,2.5,PBD 567
290.864167,14.781944,049.7-00.2,1.7,PBD 568
290.365417,15.153056,049.8+00.4,2,PBD 569
290.92,15.093611,050.0-00.1,4.4,PBD 570
290.82875,15.140833,050.0-00.0,0.9,PBD 571
291.515833,14.897222,050.1-00.7,3.9,PBD 572
290.652083,15.458889,050.2+00.3,3.3,PBD 573
290.335,15.735556,050.3+00.7,0.9,PBD 574
293.374583,15.056389,051.1-02.2,0.4,PBD 575
291.18625,16.204722,051.1+00.2,7,PBD 576
292.150417,15.816667,051.2-00.8,2.8,PBD 577
291.510417,16.150278,051.2-00.1,21.6,PBD 578
291.327083,16.245278,051.2+00.1,16.9,PBD 579
291.517917,16.373889,051.4-00.0,2.8,PBD 580
291.892083,16.406944,051.6-00.3,0.4,PBD 581
300.463333,11.801944,051.7-09.8,7.2,PBD 582
291.164583,17.010556,051.8+00.6,16.9,PBD 583
291.26375,17.186667,052.0+00.6,7.4,PBD 584
290.944167,17.464167,052.1+01.0,0.6,PBD 585
292.46625,16.790278,052.2-00.6,14,PBD 586
292.374583,16.838333,052.2-00.5,7.3,PBD 587
291.270833,17.410278,052.2+00.7,2.4,PBD 588
301.752917,11.966111,052.5-10.8,7.3,PBD 589
291.939167,17.747778,052.8+00.3,0.8,PBD 590
293.917083,16.823889,052.9-01.8,0.4,PBD 591
292.817917,17.404167,052.9-00.6,9.4,PBD 592
292.2325,18.051389,053.2+00.2,1.6,PBD 593
289.58625,19.731389,053.5+03.2,0.4,PBD 594
292.61875,18.306389,053.6+00.0,2.7,PBD 595
292.434167,18.4025,053.6+00.2,2.7,PBD 596
292.965,18.696667,054.1-00.1,2.4,PBD 597
292.8725,18.745,054.1-00.0,5,PBD 598
292.501667,18.937222,054.1+00.4,0.4,PBD 599
293.1275,19.183056,054.6-00.0,20.9,PBD 600
291.137917,20.768333,055.1+02.4,3.2,PBD 601
293.620833,19.611111,055.2-00.2,0.4,PBD 602
292.988333,20.396667,055.6+00.7,17,PBD 603
297.243333,18.351944,055.8-03.8,3.7,PBD 604
294.915,21.568889,057.5-00.3,3.9,PBD 605
294.967917,21.655833,057.6-00.3,0.9,PBD 606
295.892917,23.355833,059.5-00.2,7.8,PBD 607
294.67125,24.221944,059.7+01.2,10,PBD 608
295.677083,23.815,059.8+00.2,1.2,PBD 609
296.659583,24.567778,060.9-00.2,3.6,PBD 610
296.564583,24.618056,060.9-00.1,3.9,PBD 611
294.894583,25.599444,061.0+01.7,0.4,PBD 612
296.706667,25.237222,061.5+00.1,1.1,PBD 613
296.050833,25.811111,061.7+00.9,14.9,PBD 614
298.16625,25.504444,062.4-00.9,9,PBD 615
297.49375,26.445,062.9+00.1a,2.7,PBD 616
297.49375,26.445,062.9+00.1b,3.1,PBD 617
297.550417,26.531111,063.0+00.1,22,PBD 618
297.318333,26.769444,063.1+00.4,1.9,PBD 619
297.375,26.855833,063.2+00.4,2.6,PBD 620
297.278333,26.906389,063.2+00.5,3,PBD 621
298.720417,26.721944,063.7-00.7,0.4,PBD 622
296.94,27.778056,063.8+01.2,0.4,PBD 623
298.76,27.1675,064.1-00.5,4.1,PBD 624
296.621667,28.288889,064.1+01.7,20,PBD 625
298.818333,27.253056,064.2-00.5,1,PBD 626
291.92,31.456667,064.9+06.8,32.7,PBD 627
299.173333,28.349167,065.3-00.2,0.4,PBD 628
298.098333,29.5,065.8+01.2,13.5,PBD 629
298.98875,30.202222,066.8+00.9,3.9,PBD 630
301.262917,29.213056,067.0-01.3,2.5,PBD 631
299.777083,31.311389,068.1+00.9,3.9,PBD 632
299.6775,31.363889,068.1+01.0,22.1,PBD 633
299.73875,31.449167,068.2+01.0,22.9,PBD 634
300.571667,32.776389,069.7+01.1,7,PBD 635
300.292917,33.157778,069.9+01.5,1.4,PBD 636
300.191667,33.210278,069.9+01.6,10.9,PBD 637
300.09,33.263056,069.9+01.7,10,PBD 638
300.279167,33.518056,070.2+01.7,2.3,PBD 639
300.444167,33.55,070.3+01.6,2.7,PBD 640
301.10625,33.676111,070.7+01.2,7,PBD 641
302.7425,33.393889,071.2-00.1,6.7,PBD 642
300.0375,35.286389,071.6+02.8a,6.3,PBD 643
300.0375,35.286389,071.6+02.8b,3.4,PBD 644
304.274167,33.866944,072.3-00.9,13.5,PBD 645
303.840833,34.229167,072.4-00.4,0.4,PBD 646
303.571667,34.978056,072.9+00.2,16.7,PBD 647
302.682917,35.695278,073.1+01.2,14,PBD 648
303.364167,36.170278,073.8+01.0,17.8,PBD 649
303.95,36.697222,074.5+00.9,14.8,PBD 650
304.47,36.778056,074.8+00.6,4.3,PBD 651
304.36625,36.834167,074.8+00.7,9.5,PBD 652
303.987083,37.279444,075.0+01.2,7.9,PBD 653
306.12625,36.589444,075.4-00.6,2.6,PBD 654
305.922083,36.704167,075.4-00.4,4,PBD 655
303.07125,38.359444,075.5+02.4,4.1,PBD 656
305.489583,37.432778,075.8+00.3,3.5,PBD 657
305.385833,37.489722,075.8+00.4,3.3,PBD 658
306.397083,37.415833,076.2-00.3,3.8,PBD 659
306.850833,37.404722,076.4-00.6,2,PBD 660
304.4225,39.218611,076.8+02.0,20.5,PBD 661
304.532917,39.523056,077.1+02.1,27.5,PBD 662
304.712917,39.549444,077.2+02.0,24.7,PBD 663
310.703333,36.349167,077.4-03.7,3.9,PBD 664
305.434583,39.6525,077.6+01.6,20,PBD 665
305.15375,40.044167,077.8+02.0,16,PBD 666
307.422083,39.053611,078.0-00.0,12.5,PBD 667
306.793333,39.404167,078.0+00.6,3.3,PBD 668
306.86875,39.485556,078.1+00.6,7.9,PBD 669
305.591667,40.177222,078.1+01.8,8.8,PBD 670
307.989583,38.979167,078.2-00.4,11.5,PBD 671
305.666667,40.259167,078.2+01.8,21,PBD 672
303.47875,41.381111,078.2+03.8,20.5,PBD 673
306.170417,40.111667,078.3+01.4,5.7,PBD 674
306.06375,40.169167,078.3+01.5,6.2,PBD 675
305.417917,40.5125,078.3+02.1,18.7,PBD 676
304.98375,40.739167,078.3+02.5,10.3,PBD 677
304.655833,40.908056,078.3+02.8,4.8,PBD 678
305.058333,40.821667,078.4+02.5,22.9,PBD 679
304.84,40.934444,078.4+02.7,2.1,PBD 680
304.730417,40.990833,078.4+02.8,13.5,PBD 681
308.632917,39.982222,078.5-00.8,10.9,PBD 682
307.906667,39.398611,078.5-00.1,17.4,PBD 683
307.802083,39.457778,078.5-00.0,6,PBD 684
306.535,40.159444,078.5+01.2,24.9,PBD 685
302.800833,42.069444,078.5+04.6,18.4,PBD 686
307.036667,40.008333,078.6+00.8,6.9,PBD 687
306.824167,40.124722,078.6+01.0,13.4,PBD 688
303.995833,41.603333,078.6+03.6,16.3,PBD 689
308.58,39.262222,078.7-00.6,13.3,PBD 690
308.26875,39.440833,078.7-00.3,15,PBD 691
307.535833,39.855,078.7+00.4,14.5,PBD 692
307.112917,40.089444,078.7+00.8,21.9,PBD 693
307.006667,40.147778,078.7+00.9,5.3,PBD 694
307.58375,40.075556,078.9+00.5,10.9,PBD 695
304.107083,41.907778,078.9+03.7,37.5,PBD 696
306.701667,40.682778,079.0+01.4,14.7,PBD 697
305.509167,41.315278,079.0+02.5,26.5,PBD 698
304.293333,41.935,079.0+03.6,23.7,PBD 699
308.786667,39.6425,079.1-00.5,18.7,PBD 700
308.655833,39.842222,079.2-00.3,5.6,PBD 701
308.447083,39.961667,079.2-00.1,13,PBD 702
308.026667,40.199444,079.2+00.3,5,PBD 703
308.104167,40.28,079.3+00.3,13.7,PBD 704
307.039583,40.868333,079.3+01.3,8.5,PBD 705
309.332083,39.701389,079.4-00.8,15.5,PBD 706
305.923333,41.586111,079.4+02.4,25.3,PBD 707
305.040417,42.041111,079.4+03.2,13.9,PBD 708
303.57875,42.765833,079.4+04.5,10.5,PBD 709
302.6625,43.202222,079.4+05.3,8.7,PBD 710
310.539583,39.11,079.5-01.9,17.9,PBD 711
309.696667,39.739167,079.6-01.0,13.3,PBD 712
310.164167,39.715,079.8-01.3,20.5,PBD 713
308.706667,40.562222,079.8+00.1,2.1,PBD 714
307.535417,41.215,079.8+01.2,13.8,PBD 715
306.995417,41.507778,079.8+01.7,12.6,PBD 716
310.959583,39.363056,079.9-02.0,16.9,PBD 717
306.198333,42.0525,079.9+02.5,21,PBD 718
305.310417,42.509444,079.9+03.3,26.1,PBD 719
308.97,40.662222,080.0-00.0,4.1,PBD 720
308.12125,41.14,080.0+00.8,16,PBD 721
308.014167,41.199444,080.0+00.9,4.8,PBD 722
307.368333,41.553056,080.0+01.5,16.7,PBD 723
306.715,41.903056,080.0+02.1,16.9,PBD 724
309.154583,40.681944,080.1-00.1,20.4,PBD 725
307.446667,41.633889,080.1+01.5,16.2,PBD 726
308.279167,41.301111,080.2+00.8,2.9,PBD 727
306.099167,42.470278,080.2+02.8,20.5,PBD 728
308.465417,41.321667,080.3+00.7,3.1,PBD 729
308.358333,41.381389,080.3+00.8,15.4,PBD 730
304.942917,43.177778,080.3+03.9,21.4,PBD 731
304.029167,43.624167,080.3+04.7,21.6,PBD 732
308.864583,41.2225,080.4+00.4,19.3,PBD 733
308.758333,41.2825,080.4+00.5,11.9,PBD 734
308.195,41.720556,080.5+01.1,15,PBD 735
307.841667,42.038056,080.6+01.5,14.5,PBD 736
305.930833,43.165833,080.7+03.3,17.3,PBD 737
309.185417,41.541944,080.8+00.4,16.5,PBD 738
307.124167,42.669444,080.8+02.3,10.2,PBD 739
310.0075,41.196667,080.9-00.3,1.9,PBD 740
309.9025,41.2575,080.9-00.2,8.5,PBD 741
309.796667,41.318611,080.9-00.1,2.9,PBD 742
309.26625,41.621667,080.9+00.4,4,PBD 743
308.406667,42.101389,080.9+01.2,21,PBD 744
306.807083,43.204167,081.1+02.8,14,PBD 745
311.275,40.956944,081.3-01.2,16.4,PBD 746
308.8375,42.362222,081.3+01.1,6.1,PBD 747
308.729167,42.422222,081.3+01.2,10.7,PBD 748
308.810417,42.502222,081.4+01.2,17.1,PBD 749
306.934167,43.506111,081.4+02.9,12.3,PBD 750
305.915833,44.025,081.4+03.8,19.2,PBD 751
311.232083,41.237778,081.5-01.0,16,PBD 752
310.180417,41.854722,081.5-00.0,14.4,PBD 753
309.54,42.220278,081.5+00.6,23.5,PBD 754
308.12625,43,081.5+01.9,16.5,PBD 755
306.56375,43.819444,081.5+03.3,16.3,PBD 756
310.262917,41.933889,081.6+00.0,22.4,PBD 757
307.986667,43.198889,081.6+02.1,6.5,PBD 758
310.025833,42.196389,081.7+00.3,3.4,PBD 759
309.81125,42.318333,081.7+00.5,0.4,PBD 760
308.618333,42.981944,081.7+01.6,16.3,PBD 761
307.175417,43.749722,081.7+02.9,20,PBD 762
310.700417,42.187778,082.0-00.1,21.2,PBD 763
308.090417,43.639444,082.0+02.3,3.9,PBD 764
309.659583,43.159722,082.3+01.1,17.4,PBD 765
308.225,43.94,082.3+02.4,28,PBD 766
308.195417,44.079722,082.4+02.5,11.6,PBD 767
308.835833,43.861944,082.5+02.0,26,PBD 768
310.668333,42.968333,082.6+00.4,8.9,PBD 769
308.459167,45.679722,083.8+03.3,5.7,PBD 770
320.12875,38.539722,084.0-07.9,22.4,PBD 771
311.434583,44.314722,084.0+00.8,3.9,PBD 772
316.641667,42.136389,084.8-03.5,3.3,PBD 773
313.438333,44.174167,084.8-00.4,78.6,PBD 774
308.737917,46.779444,084.8+03.8,4.7,PBD 775
308.620417,46.838889,084.8+03.9,2.3,PBD 776
314.375833,43.732778,084.9-01.2,3.7,PBD 777
313.476667,44.673333,085.2-00.1,4,PBD 778
313.36875,44.7375,085.2+00.0,4.1,PBD 779
347.485,14.769444,089.4-41.4,10.3,PBD 780
316.304583,49.627778,090.2+01.7,2.1,PBD 781
315.843333,49.894444,090.2+02.1,3.3,PBD 782
318.143333,52.503889,093.1+02.8,2.9,PBD 783
328.372083,47.272222,094.4-05.5,3.9,PBD 784
324.680833,50.458333,094.6-01.5,6.7,PBD 785
324.180833,52.459167,095.7+00.2,4.1,PBD 786
322.180417,54.628889,096.3+02.6,3.5,PBD 787
322.479583,55.755278,097.2+03.3,9.2,PBD 788
322.99,55.887222,097.5+03.2,9.4,PBD 789
323.120417,55.955278,097.6+03.2,3.4,PBD 790
319.588333,60.001944,099.1+07.4,3.6,PBD 791
329.165833,58.103056,101.5+02.7,3.2,PBD 792
334.66125,56.179444,102.8-00.6,25.3,PBD 793
334.91,56.150556,102.9-00.7,6.3,PBD 794
321.417917,64.433333,102.9+09.9,21.1,PBD 795
335.158333,56.121389,103.0-00.8,5.5,PBD 796
333.127917,59.003333,103.7+02.2,4.1,PBD 797
335.542083,58.753333,104.6+01.3,15.8,PBD 798
335.437917,58.8375,104.6+01.4,5.3,PBD 799
329.580833,63.839167,105.2+07.1,3.5,PBD 800
319.777917,68.209444,105.2+13.0,4.8,PBD 801
338.084167,58.510278,105.6+00.4,0.3,PBD 802
337.159583,61.614444,106.8+03.3,0.9,PBD 803
334.84375,63.303889,106.8+05.3,5.3,PBD 804
341.866667,58.009167,107.1-01.0,15.8,PBD 805
342.035,58.055,107.2-01.0,7,PBD 806
342.117083,58.189444,107.3-00.9,2.5,PBD 807
342.354583,59.934444,108.2+00.6,3.7,PBD 808
337.14375,64.304722,108.2+05.6,2.7,PBD 809
343.910833,58.542778,108.3-01.0,3.5,PBD 810
345.758333,57.124167,108.6-02.7,29.7,PBD 811
344.780417,58.755278,108.8-01.0,3.9,PBD 812
344.699583,58.846111,108.8-00.9,0.2,PBD 813
346.892917,56.955833,109.1-03.1,10.2,PBD 814
344.739583,59.516389,109.1-00.3,2.3,PBD 815
343.36125,61.185556,109.2+01.5,6.8,PBD 816
346.312917,60.198889,110.1+00.0,3.6,PBD 817
346.2325,60.290833,110.1+00.1,0.5,PBD 818
344.356667,62.518889,110.2+02.5,6.7,PBD 819
348.445417,60.527778,111.2-00.1,6.3,PBD 820
349.072917,60.005278,111.3-00.7,0.9,PBD 821
348.33625,61.475,111.5+00.8,1.6,PBD 822
348.835,61.139444,111.6+00.4,0.9,PBD 823
348.45375,61.604722,111.6+00.9,2.1,PBD 824
346.35375,64.676111,111.9+04.1,1.3,PBD 825
350.144583,61.164167,112.2+00.2a,4.7,PBD 826
350.144583,61.164167,112.2+00.2b,5.2,PBD 827
353.470833,60.758611,113.6-00.7,11.1,PBD 828
352.78375,64.748889,114.5+03.2,8.9,PBD 829
353.972083,64.801667,115.0+03.1,6.6,PBD 830
353.904167,64.8975,115.0+03.2,3.7,PBD 831
358.27625,60.461389,115.8-01.6a,2.1,PBD 832
358.27625,60.461389,115.8-01.6b,2.8,PBD 833
0.33,64.651667,117.6+02.3,9.8,PBD 834
0.244583,67.397222,118.1+05.0,10.3,PBD 835
1.150833,67.158611,118.4+04.7,5.8,PBD 836
3.612917,61.253056,118.5-01.3,5.5,PBD 837
3.81875,61.267222,118.6-01.3,3.5,PBD 838
5.375,61.766389,119.4-00.9,21.5,PBD 839
5.35,61.865556,119.4-00.8,7.4,PBD 840
6.914167,64.754722,120.4+02.0,3,PBD 841
13.022083,65.871667,123.0+03.0,4.3,PBD 842
13.16,56.571389,123.1-06.3,7,PBD 843
13.340417,56.570833,123.2-06.3,7.7,PBD 844
13.505833,65.670556,123.2+02.8,39.6,PBD 845
17.210417,63.105278,124.9+00.3,3.2,PBD 846
20.730417,61.341389,126.7-01.3,7.1,PBD 847
22.506667,58.291667,128.0-04.2,7.7,PBD 848
22.56375,58.489444,128.0-04.0,6.1,PBD 849
32.117917,60.778333,132.2-00.7,3.4,PBD 850
36.375,62.089444,133.7+01.2,2.5,PBD 851
36.728333,62.240556,133.8+01.4,4.6,PBD 852
41.834167,61.972222,136.1+02.1,3,PBD 853
42.784167,62.200556,136.4+02.5,7.1,PBD 854
40.500833,59.6275,136.5-00.3,8.7,PBD 855
42.975833,62.156111,136.5+02.5,1.3,PBD 856
42.338333,60.633889,136.9+01.0,6.1,PBD 857
42.534583,59.695556,137.4+00.2,0.9,PBD 858
45.78625,60.428611,138.5+01.6,4.1,PBD 859
50.442917,54.854167,143.5-01.9,6.8,PBD 860
58.03,53.477222,147.9-00.4,26.4,PBD 861
60.000417,53.935556,148.5+00.7,3.6,PBD 862
59.382083,53.197222,148.7-00.1,12.4,PBD 863
60.877083,51.349722,150.6-00.9,4.1,PBD 864
64.938333,52.992778,151.3+02.0,2.6,PBD 865
62.704167,51.123611,151.6-00.3,7.5,PBD 866
62.812917,51.196944,151.6-00.2,3.1,PBD 867
67.845,52.475556,152.9+02.9,14.9,PBD 868
69.10875,50.888056,154.6+02.4,3.8,PBD 869
69.215,50.814167,154.7+02.4,12.5,PBD 870
70.184167,50.425833,155.4+02.6,9.5,PBD 871
65.109583,45.005,157.0-03.6,22.3,PBD 872
65.209583,44.934722,157.1-03.6,2.8,PBD 873
65.110833,44.298889,157.5-04.1,16.9,PBD 874
74.631667,48.034722,159.1+03.3,2.9,PBD 875
74.09375,47.364722,159.4+02.6,3.1,PBD 876
73.000417,45.595,160.3+00.9,2.7,PBD 877
81.826667,42.9325,166.2+04.4,44,PBD 878
81.784583,40.634167,168.1+03.1,3.9,PBD 879
79.9675,38.954722,168.7+01.0,4.6,PBD 880
78.365417,37.446111,169.2-00.9,4,PBD 881
82.202917,34.368056,173.5-00.1,4.8,PBD 882
80.575,33.332778,173.6-01.8,7.3,PBD 883
85.25125,35.852778,173.6+02.8,3.1,PBD 884
82.940417,34.170833,174.0+00.3,3.9,PBD 885
67.830833,18.123611,178.9-20.1,1.8,PBD 886
90.84,30.267222,180.8+04.0,3.9,PBD 887
90.9975,30.228889,180.9+04.1,24.1,PBD 888
91.7825,30.035,181.4+04.6,9.5,PBD 889
87.999167,26.983889,182.4+00.2,3.4,PBD 890
92.262917,21.6025,189.0+00.9,4.6,PBD 891
94.444167,22.701944,189.0+03.2,26.7,PBD 892
94.355417,22.431389,189.2+03.0,6.3,PBD 893
95.7975,22.910556,189.4+04.4,1.9,PBD 894
92.11625,20.611944,189.8+00.3,3.5,PBD 895
96.378333,20.153333,192.1+03.6,12.7,PBD 896
96.4275,20.064722,192.2+03.6,2.7,PBD 897
93.26875,18.014444,192.6-00.0,2.7,PBD 898
92.8675,17.463056,192.9-00.6,3.6,PBD 899
92.355417,16.28,193.7-01.6,14.8,PBD 900
92.2425,15.649167,194.2-02.0,23.3,PBD 901
80.339167,8.401389,194.6-15.7,2.5,PBD 902
80.389583,8.319167,194.7-15.7,22,PBD 903
94.66875,15.328889,195.6-00.1,4.1,PBD 904
93.607083,13.864722,196.4-01.7,3.5,PBD 905
93.655833,13.776667,196.5-01.7,11.8,PBD 906
92.540417,12.843333,196.8-03.1,1.9,PBD 907
86.108333,9.175556,196.9-10.4,0.9,PBD 908
93.66,12.301111,197.8-02.4,10.4,PBD 909
93.75,12.348611,197.8-02.3,3.8,PBD 910
100.277083,9.617778,203.2+02.1,3,PBD 911
85.374583,-1.895278,206.5-16.4,3.3,PBD 912
85.59625,-1.887222,206.6-16.2,3.3,PBD 913
83.809583,-4.745556,208.4-19.1,7.7,PBD 914
98.611667,2.576111,208.7-02.6,7.7,PBD 915
83.845833,-5.256944,208.9-19.3,2.5,PBD 916
83.799167,-5.386389,209.0-19.4,5.8,PBD 917
99.572917,0.711111,210.8-02.6,4.5,PBD 918
101.179167,1.086389,211.2-01.0,2,PBD 919
101.8475,1.316667,211.3-00.3,2.5,PBD 920
101.320417,0.372222,211.9-01.2,3.9,PBD 921
91.944167,-6.377778,213.7-12.6,4,PBD 922
103.78875,0.4975,213.8+00.6,2.2,PBD 923
104.350417,-2.906667,216.2-00.0,2.6,PBD 924
104.952917,-4.733889,218.1-00.3,6.8,PBD 925
101.465417,-7.399167,218.9-04.6,7.9,PBD 926
104.445417,-7.913889,220.7-02.2,0.1,PBD 927
104.2675,-8.228333,220.9-02.5,5,PBD 928
105.131667,-8.801111,221.8-02.0,2.5,PBD 929
106.197917,-10.845556,224.1-02.0,9.7,PBD 930
105.42875,-11.345556,224.2-02.9,3,PBD 931
109.128333,-9.456111,224.2+01.2,4.4,PBD 932
107.579583,-18.4675,231.5-04.3,6.2,PBD 933
112.535,-18.578056,233.8-00.2,3.6,PBD 934
112.603333,-19.1125,234.3-00.4,9.8,PBD 935
112.941667,-19.279444,234.6-00.2,7.6,PBD 936
118.145,-26.4475,243.2+00.4,7.5,PBD 937
124.048333,-35.559722,253.6-00.2,45,PBD 938
125.220833,-36.243889,254.7+00.2,1.4,PBD 939
126.043333,-43.108611,260.7-03.2,8.2,PBD 940
131.41375,-43.815,263.6-00.5,1,PBD 941
134.1525,-43.081944,264.3+01.5,2,PBD 942
134.870417,-43.688056,265.1+01.5,2.4,PBD 943
134.96125,-43.763611,265.2+01.5,2.6,PBD 944
134.81125,-47.300278,267.8-00.9,7.8,PBD 945
134.684583,-47.506667,267.9-01.1,2.7,PBD 946
134.781667,-47.582222,268.0-01.1,1.6,PBD 947
134.893333,-47.516667,268.0-01.0,5,PBD 948
135.605833,-47.760556,268.5-00.8,3.2,PBD 949
135.866667,-48.408333,269.1-01.1,3.7,PBD 950
135.628333,-48.682222,269.2-01.4,6.1,PBD 951
135.817083,-48.973056,269.5-01.5,3.1,PBD 952
139.180417,-47.992222,270.3+00.8,5.8,PBD 953
141.1525,-51.953611,274.0-01.1,2.9,PBD 954
84.61625,-69.041111,279.4-31.7,4.5,PBD 955
149.795833,-56.848056,281.0-01.5,4.8,PBD 956
149.97625,-57.048889,281.2-01.6,1.4,PBD 957
151.22125,-56.8075,281.6-01.0,2.5,PBD 958
151.598333,-57.205,282.0-01.2,2.9,PBD 959
152.005833,-57.240556,282.2-01.1,10.2,PBD 960
151.3925,-57.866389,282.3-01.8,10.9,PBD 961
152.82375,-57.308333,282.6-00.9,8.7,PBD 962
153.482917,-57.675,283.1-01.0,5,PBD 963
153.7925,-57.7875,283.3-01.0,4.5,PBD 964
154.209583,-57.455556,283.3-00.6,5.2,PBD 965
154.104167,-57.899167,283.5-01.0,7.1,PBD 966
154.995,-58.091667,284.0-00.9,9,PBD 967
155.663333,-57.725833,284.1-00.4,6,PBD 968
156.08,-57.748333,284.3-00.3,6.6,PBD 969
156.767917,-57.154167,284.3+00.4,8.8,PBD 970
156.35875,-58.077222,284.6-00.5,4.6,PBD 971
156.656667,-57.8225,284.6-00.2,7.3,PBD 972
157.303333,-57.448056,284.7+00.3,1.3,PBD 973
157.883333,-58.099444,285.3-00.1,1.7,PBD 974
157.979583,-58.013333,285.3-00.0,1.7,PBD 975
159.2725,-58.637222,286.2-00.2,10.7,PBD 976
158.344167,-59.863889,286.4-01.5,3.4,PBD 977
158.544167,-59.691111,286.4-01.3,3.4,PBD 978
159.795,-59.59,286.9-00.9,9.7,PBD 979
160.504583,-59.558889,287.2-00.7,8.6,PBD 980
161.24125,-58.853333,287.2+00.1,7.4,PBD 981
161.509583,-58.587778,287.2+00.4,4.7,PBD 982
160.489583,-59.7825,287.3-00.9,5.2,PBD 983
160.945417,-59.565556,287.4-00.6,7,PBD 984
161.12,-59.6125,287.5-00.6,6,PBD 985
161.015833,-59.924444,287.6-00.9,6.9,PBD 986
161.470417,-59.705556,287.7-00.6,3,PBD 987
161.462083,-59.929167,287.8-00.8,3.5,PBD 988
161.546667,-60.064167,287.9-00.9,6.2,PBD 989
161.639167,-59.975556,287.9-00.8,9.9,PBD 990
161.816667,-60.021389,288.0-00.8,10.2,PBD 991
164.149583,-60.150556,289.1-00.4,4.2,PBD 992
164.752083,-61.171667,289.8-01.2,7.4,PBD 993
164.83875,-61.080833,289.8-01.1,6.9,PBD 994
