N,id,alpha,delta,magU,magB,magV,magR,magI,Spectral_type,diameter,minAxis,posAngle,axisRatio,Notes,Common name,Other name
1425,PN G320.0+03.9,223.4208,-54.8025,,,,,,,0.32,0.27,0,1.18518518518519,,,
1426,PN G316.9-02.2,223.5142,-61.775,,,,,,,1.23,1.13,0,1.08849557522124,,,
1427,PN G318.9+00.7,224.3987,-58.2025,,,,,,,0.52,0.42,0,1.23809523809524,,,
1428,PN G315.8-05.5,224.8254,-65.1869,,,,,,,0.62,0.58,0,1.06896551724138,,,
1429,PN G317.0-04.0,225.6712,-63.2503,,,,,,,0.33,0.29,0,1.13793103448276,,,
1430,PN G317.3-03.8,225.9950327996,-62.96198637936,,,,,,,1.4,1.12,0,1.25,,,
1431,PN G319.5-01.0,226.9592,-59.4206,,,,,,,0.37,0.28,0,1.32142857142857,,,
1432,PHR J1510-6754,227.6087,-67.915,,,,,,O(H)e,5.17,3.5,0,1.47714285714286,,,
1433,PN G320.1-02.7,229.855,-60.5439,,,,,,,0.2,0.17,0,1.17647058823529,,,
1434,PN G324.4+03.8,230.1146,-52.7236,,,,,,,0.88,0.88,0,1,,,
1435,PMN J1529-5458,232.3742,-54.9828,,,,,,,1.9,1.25,0,1.52,,,
1436,PN G320.6-04.8,233.2471,-62.0511,,,,,,,0.266667,0.2583333,0,1.03225948803348,"Error in 2006MNRAS.373...79P and V/127A/mash1, min > max, error propagated from MASH to Vizier to SIMBAD to HASH (in that order) (see http://202.189.117.101:8999/gpne/objectInfoPage.php?id=2866 too, which shows a combination of uncoordinated values from Frew and MASH for maj and min axis). Kept values but switched them for now.",PHR J1532-6203,
1437,PHR J1533-4824,233.2583,-48.4119,,,,,,,3.33,1.47,0,2.26530612244898,,,
1438,PN G328.5+06.0,233.39167517182,-48.57344263783,,,,,,,2.7,2.67,0,1.01123595505618,,,
1439,PHR J1534-5829,233.6883,-58.4972,,,,,,,2,1.27,0,1.5748031496063,,,
1440,PHR J1536-4711,234.0154,-47.1925,,,,,,,0.46,0.37,0,1.24324324324324,,,
1441,PHR J1537-6159,234.44125,-61.9966667,,,,,,,2.77,1.07,0,2.58878504672897,,,
1442,PN G324.0-01.6,234.89498793567,-57.45060149661,,,,,,,0.47,0.28,0,1.67857142857143,,,
1443,PN G328.0+01.8,236.79,-52.2456,,,,,,,1.77,1.57,0,1.12738853503185,,,
1444,PHR J1547-4533,236.9342,-45.5503,,,,,,,2.05,1.92,0,1.06770833333333,,,
1445,PN G325.5-01.6,237.0887,-56.4989,,,,,,,0.27,0.27,0,1,,,
1446,PN G325.6-01.8,237.5192,-56.6536,,,,,,,0.13,0.12,0,1.08333333333333,,,
1447,PN G325.6-02.1,237.8346,-56.8975,,,,,,,0.42,0.38,0,1.10526315789474,,,
1448,PN G323.7-04.8,238.0971,-60.1547,,,,,,,0.28,0.22,0,1.27272727272727,,,
1449,PN G328.3+00.7,238.2367,-52.9033,,,,,,,0.52,0.43,0,1.2093023255814,,,
1450,PHR J1553-5738,238.29108697835,-57.63504311312,,,,,,,2.22,2.15,0,1.03255813953488,,,
1451,PN G330.4+02.5,238.9858,-50.2356,,,,,,,0.37,0.33,0,1.12121212121212,,,
