N,id,alpha,delta,magU,magB,magV,magR,magI,Spectral_type,diameter,minAxis,posAngle,axisRatio,Notes,Common name,Other name
1,PN Hu 1-2,323.284627601,39.63598734132,,,12,,,,0.307,0.27,105,1.13703703703704,,,
2,PN Vy 2-3,350.74126801609,46.89946483246,,,,,,O(H)3-4I,0.2,0.148,25,1.35135135135135,,,
3,DSH J2050.0+3753,312.5083,37.8881,,,,,,,0.58,0.58,90,1,,,
4,PN Me 2-2,337.9319807425,47.80106579073,,9.3,,,,,0.02684183,0.02636483,7,1.01809228430451,,,
5,PN K 1-20,354.795175,48.208075,,,,,,,0.567,0.567,90,1,,,
6,NGC 7027,316.7565498,42.236242,,10.358,8.831,10.157,,,0.19885333,0.18750334,-38,1.06053220171971,,,
7,IC 5117,323.129038,44.596539,,,,,,,0.03333334,0.03265983,84,1.02062196894473,,,
8,PN A66 84,356.93355960172,51.39921165369,,18.366,18.584,18.613,18.671,,1.583,1.583,90,1,,,
9,PN M 1-1,24.33067664078,50.46981779701,,13.07,13.91,,,,0.19,0.156,40,1.21794871794872,,,
10,PN A66 4,41.3485483867492,42.5512754411206,,15.6,,,,,0.333,0.333,90,1,,,
11,PN Sd 1,307.328879,40.255722,,,,,,,0.127,0.127,90,1,,,
12,SH 1-89,318.531783,47.772825,,,,,,,0.633,0.633,90,1,,,
13,NGC 7048,318.563282042406,46.288084395585,,,,,,,0.917,0.917,90,1,,,
14,PN M 1-77,319.78070189449,46.31310018421,,12.34,11.91,12.05,,B,0.43,0.404,140,1.06435643564356,,,
15,PN M 1-79,324.25625,48.934061,,,19.11,,,,0.5,0.5,90,1,,,
16,PN M 2-49,325.82333,50.42067,,,,,,,0.036666665,0.036666665,0,1,,,
17,PN G097.6-02.4,329.42410270401,51.69424718793,,,,,,,0.077,0.077,90,1,,,
18,IC 5217,335.98215839051,50.96679565007,,,15.5,,,[WC7],0.33333334,0.106429,6,3.13197850209999,,,
19,PN K 3-86,343.68842,54.93369,,14.1,,12.7,,,0.23,0.23,90,1,,,
20,PN A66 83,356.694621,54.743803,,,,,,,0.783333361,0.783333361,0,1,,,
21,PN Hu 1-1,7.064312,55.965133,,,,,,,0.217,0.199,0,1.09045226130653,,,
22,PN Vy 1-1,4.67572179064,53.87216072861,,,,,,[WC],0.257,0.216,0,1.18981481481481,,,
23,M 76,25.58189905342,51.57542638057,,,17.48,,17.69,DOZ,2.307,2.307,90,1,,Little Dumbbell Nebula,NGC 650
24,PN KjPn 2,303.84246,40.57906,,19.8,17.6,,,,0.603,0.603,0,1,,,
25,DSH J2009.6+4114,302.4204,41.2453,,,,,,,0.77,0.77,90,1,,,
26,PN K 4-55,311.291754,44.65405,,16,16.5,,,,1.377,1.377,0,1,,,
27,NGC 7026,316.57738475622,47.85188187105,,15.33,15.1,,,[WC3],0.59,0.378,15,1.56084656084656,,,
28,PN K 3-82,322.71448036426,50.002351604,,,,,,,0.417,0.417,90,1,,,
29,PN K 3-83,323.932639,50.90451,,,,,,,0.083,0.083,90,1,,,
30,PN K 3-62,322.95910743763,52.56432549611,,,,,,,0.1,0.051937,3,1.92540963089897,,,
31,IRAS 21326+5224,323.596795,52.624393,,,,,,,0.12,0.12,90,1,,,
32,PN G102.9-02.3,336.57194767933,54.82729005508,,17.825,16.965,16.397,15.743,,0.903,0.903,90,1,,,
33,PN M 2-53,338.073833,56.173922,,,,,,,0.333,0.333,90,1,,,
34,PN K 3-87,343.77889481724,56.70861739019,,,,,,,0.1,0.1,90,1,,,
35,PN M 1-80,344.082911,57.155796,,,,,,,0.2,0.16,95,1.25,,,
36,PN Hb 12,351.56176515686,58.18181758121,,13.51,11.49,12.44,,Oe,0.013333334,0.013333334,0,1,,,
37,PN G114.0-04.6,356.44895873241,57.06623417784,,,,,,,1.35,1.35,90,1,,,
38,PN A66 2,11.394492,57.959689,,,,,,,0.517,0.517,90,1,,,
39,PN A66 5,43.062796,50.59835,,,,,,,2.123,2.123,90,1,,,
40,PN Dd 1,302.1795,42.503108,,,,,,,0.333333343,0.333333343,0,1,,,
41,PN A66 71,308.096733,47.347336,,19.384,19.335,19.253,19.185,,2.633,2.633,90,1,,,
42,PN K 3-78,311.34453576485,50.37773891281,,,,,,,0.073,0.073,90,1,,,
43,PN K 3-61,322.50315237461,54.45755419742,,15.9,14.8,,,[WC4/6],0.167,0.137,145,1.21897810218978,,,
44,DSH J2120.0+5141,320.0004,51.6847,,,,,,,0.15,0.15,90,1,,,
45,DSH J2122.0+5504,320.5042,55.075,,,,,,,0.93,0.93,90,1,,,
46,PN K 3-63,324.7999,55.767761,,,,,,,0.117,0.117,90,1,,,
47,PN Bl 2-1,335.06928,58.237934,,,,,,,0.05,0.02805267,2,1.78236153635287,,,
48,PN M 2-52,335.12677,57.60545694,,,,,,,0.377,0.143,55,2.63636363636364,,,
49,PN M 2-51,334.016208,57.476042,,,,,,,0.653,0.653,90,1,,,
50,PN KjPn 8,351.043633,60.958542,,,,,,,0.063333333,0.063333333,0,1,,,
51,PN G131.4-05.4,28.2643,56.404753,,10.3,10.3,,,,0.400000006,0.400000006,0,1,,,
52,NGC 6884,302.59851032684,46.46100883178,,11.9,10.9,,,,0.127,0.127,90,1,,,
53,DSH J2046.1+5257,311.54432989615,52.95149585518,,,,15.9,,sdOB,0.5,0.5,0,1,,,
54,NGC 7008,315.13674,54.54316,,,,13.21,,,1.427,1.427,90,1,,,
55,PN K 3-60,321.860331,57.651714,,,,,,,0.033333335,0.033333335,0,1,,,
56,NGC 7354,340.08280569342,61.28576296827,,,,,,,0.41482833,0.41215667,27,1.00648214670407,,,
57,PN BV 1,5.001875,62.984211,,,,,,,0.693,0.693,90,1,,,
58,PN BV 2,10.090058,62.859522,,,21.5,,,,0.666666687,0.666666687,0,1,,,
59,PN G129.2-02.0,25.658333,60.162367,,,,,,,3.233,3.233,90,1,,,
60,PN K 3-73,300.999804,49.318375,,,,,,,0.266666681,0.266666681,0,1,,,
61,PN A66 73,314.112633,57.434181,,,,,,,1.22,1.22,90,1,,,
62,PN K 3-88,348.064558,64.654925,,,,,,,0.085000001,0.085000001,0,1,,,
63,DSH J2327.2+6509,351.80292,65.15519,,,,,,,0.32,0.32,90,1,,,
64,SH 1-118,1.83390738965,64.95590445082,,14.95,13.87,13.6,,,1.917,1.917,90,1,,,
65,PN G121.6+03.5,9.725742,66.396842,,,,,,,0.317,0.317,90,1,,,
66,PN G124.0+02.9,15.60189580037,65.77569236778,,,,,,,0.277,0.227,30,1.22026431718062,,,
67,PN K 3-90,21.24423347157,65.6433605957,,,,,,,0.177,0.163,155,1.08588957055215,,,
68,IPHAS PN-1,21.28315903034,63.94798843583,,,,,,,0.14,0.14,90,1,,,
69,IC 1747,29.39870800127,63.32179092466,,15.8,15.4,,,[WC4],0.283,0.278,150,1.01798561151079,,,
70,PN M 1-4,55.43091307073,52.28340762551,,15.86,14.27,15.26,,,0.21,0.197,15,1.06598984771574,,,
71,NGC 6833,297.44402811438,48.96114257691,,,,,,,0.014641,0.01448193,14,1.01098403320552,,,
72,NGC 6826,296.20062509412,50.52506917637,,9.779,9.359,10.775,,O3f(H),0.663,0.584,90,1.13527397260274,,,
73,NGC 7076,321.598083,62.892175,,,,,,,0.95,0.95,90,1,,,
74,NGC 7139,326.535775,63.791514,,,,,,,1.267,1.267,90,1,,,
75,PN KjPn 6,342.25907188701,67.02729237217,,,,,,,0.153,0.153,90,1,,,
76,PN A66 1,3.229,69.173,,,,,,,0.783,0.783,90,1,,,
77,PN K 3-91,29.65112288389,66.5662492734,,,,,,,0.287,0.229,120,1.25327510917031,,,
78,PN K 3-92,30.921546,64.960522,,,,,,,0.217,0.217,90,1,,,
79,PN A66 3,33.02776467542,64.15064801706,,,,,,,1,1,90,1,,,
80,PN K 3-93,36.625063,65.798081,,,,,,,0.14,0.14,90,1,,,
81,IC 289,47.58042305376,61.31692042317,,16.8,,,,,0.76454663,0.76454335,45,1.00000429014261,,,
82,IRAS 03272+5528,52.7721,55.6475,,,,,,,0.45,0.45,90,1,,,
83,IRAS 03596+5200,60.8738,52.1406,,,,,,,0.42,0.42,90,1,,,
84,PN K 3-65,63.97721,48.82781,,,,,,,0.083,0.083,90,1,,,
85,PN Pa 5,289.87709987547,44.76186250281,,,15.67,,,O(He),2.6,2.6,0,1,,,
86,PN M 2-55,352.969617,70.369475,,,,,,,0.667,0.667,90,1,,,
87,NGC 40,3.25423754052,72.5219537052,,11.63,11.46,,,[WC8],0.933333,0.566667,24,1.6470572664369,"updated diam minaxis and PA from HASH 8/31/2026",Bow Tie Nebula,Caldwell 2
88,PN A66 86,0.379058,70.708314,,,,,,,1.049999952,1.049999952,0,1,,,
89,PN A66 6,44.6744327699846,64.5017433498839,,,,,,DAO,3.1,3.1,90,1,,,
90,PN K 3-94,54.033692,60.062858,,,,,,,0.167,0.167,90,1,,,
91,PN G160.5-00.5,71.67933333,44.46711111,,,,,,,1.533,1.533,90,1,,,
92,NGC 1501,61.74746704555,60.92063292834,,15.17,13,,,[WO4],0.863,0.863,90,1,,,
93,PN M 2-2,63.31261935271,56.94955772461,,,,,,,0.273,0.262,25,1.04198473282443,,,
94,PN K 4-47,65.18842461764,56.30336530926,,,,,,,0.167,0.167,90,1,,,
95,NGC 6742,284.833458,48.465344,,,16.567,,,O(H)III-V,0.45,0.45,90,1,,,
96,PN M 4-18,66.46181506781,60.12021679075,,14.22,13.96,,,[WC11],0.063,0.063,90,1,,,
97,IC 1454,340.60257999655,80.44201308472,,,,,,,0.567,0.567,90,1,,,
98,PN K 1-16,275.46711951582,64.36483508114,,14.44,14.96,15.26,,PG1159,1.567,1.567,90,1,,,
99,IC 4677,269.5658,66.6331,,15,,,,,1.202,0.776,0,1.54896907216495,,,
100,PN PuWe 1,94.89142856127,55.61219653839,,15.291,15.545,15.662,15.792,DAO.5,6.667,6.667,90,1,,,
101,PN A66 16,100.98090868597,61.79018253695,,18.517,18.714,18.733,18.686,DAO,2.35,2.35,90,1,,,
102,PN A66 28,130.39814568511,58.23010684998,,16.28,16.557,16.691,16.877,DAH:,4.467,4.467,90,1,,,
103,PN ARO 121,119.46507051555,53.42137513468,,16.775,17.128,17.288,17.501,DQ,6.333,6.333,90,1,,,
104,M 97,168.69880122825,55.01902300891,,15.414,15.777,15.96,16.194,,3.333,3.333,90,1,,Owl Nebula,NGC 3587
105,NGC 1360,53.31102855331,-25.87166045775,,10.95,11.16,,,sdO,6.4,6.4,90,1,,,
106,IC 351,56.88741935131,35.04684420203,,13.11,12.27,14.35,,Of(H),0.213,0.213,30,1,,,
107,PN Ba 1,58.402288,19.494061,,14.6,14.3,,,,0.633,0.633,90,1,,,
108,IC 2003,59.09161841127,33.87521110473,,13.11,11.87,13.44,,[WC3?],0.263,0.211,0,1.24644549763033,,,
109,NGC 1514,62.32077328068,30.77596414103,,10.01,9.48,,,sdO+A0/3III,1.673,1.673,90,1,,,
110,PN K 3-67,69.949701,36.761841,,15.085,13.68,14.965,,,0.25,0.25,90,1,,,
111,PN K 3-66,69.1551562981,33.65835408055,,,,,,O,0.037,0.037,90,1,,,
112,PN H 3-29,69.348188,25.045528,,15.7,,,,,0.2,0.2,90,1,,,
113,PN A66 7,75.78138642496,-15.60631133732,13.99,15.19,15.495,15.632,15.818,DAO.6,12.733,12.733,90,1,,,
114,PN A66 8,76.66007749112,39.13574117968,,,,,,,1,1,90,1,,,
115,Jonckheere 320,76.39282407943,10.70636799393,,,,,,O3V(f),0.12,0.12,90,1,,,
116,PN K 3-68,82.8994,28.978208,,,,,,,0.2,0.2,90,1,,,
117,PN K 1-7,82.939575,6.933772,,,,,,,0.333,0.333,90,1,,,
118,IC 418,81.86752480565,-12.69730063549,,9.405,9.01,10.118,,O7fp,0.26287332,0.261415,-30,1.00557856282157,,,
119,PN K 3-69,85.34222145529,39.25219042097,,,,,,,0.007666667,0.007666667,0,1,,,
120,PN M 1-5,86.70838331475,24.36745779151,,,,,,,0.036666665,0.036666665,0,1,,,
121,PN H 3-75,85.18738459848,12.35625503279,,14.8,,,,,0.400000006,0.400000006,0,1,,,
122,NGC 2022,85.52579343888,9.08627388766,,14.9,14.2,,,[WC],0.30681834,0.30467501,78,1.00703480735095,,,
123,PN Pu 1,88.20189806504,28.09976554257,,14,18,,,,1.1,1.1,90,1,,,
124,PN K 3-70,89.68897865747,25.31219734256,,,,,,,0.027,0.027,90,1,,,
125,PN A66 14,92.78606958434,11.77884012754,,15.75,15.24,,,B8-9,0.547,0.547,90,1,,,
126,PN A66 12,90.583521,9.653914,,,,,,,0.617,0.617,90,1,,,
127,PN A66 13,91.199567,3.943267,,20.06,19.87,,,,2.543,2.543,90,1,,,
128,PN We 1-4,93.640483,7.574964,,,,,,,0.666666687,0.666666687,0,1,,,
129,IC 2165,95.4282699181525,-12.9872336102989,,12.146,10.782,12.305,,,0.14666666,0.14596333,45,1.0048185390125,,,
130,PN VV 28,96.48862934421,17.79087126338,,,12.5,,,[WC],0.337,0.249,155,1.35341365461847,,,
131,PN K 3-72,95.978667,5.503578,,,,,,,0.383,0.383,90,1,,,
132,PN A66 15,96.75849339642,-25.38047222257,,15.41,15.72,,,sdOp,0.567,0.567,90,1,,,
133,PN M 1-7,99.3371647133533,24.0098522125197,,,,,,,0.287,0.241,160,1.19087136929461,,,
134,PN K 4-48,99.982675,11.108428,,,13.2,,,,0.133,0.133,90,1,,,
135,PN M 1-6,98.93801711364,-0.09372137738,,,15.84,,,O6-9I,0.22,0.198,0,1.11111111111111,,,
136,PN K 2-2,103.09652284929,9.96549226706,,13.977,14.263,14.39,14.553,sdO,6.9,6.9,90,1,,,
137,DSH J0646.4+0828,101.6029,8.4839,,,,,,,1.1,1.1,0,1,,,
138,PN M 1-8,103.390812,3.140822,,11.7,,,,,0.307,0.307,90,1,,,
139,PN A66 18,104.061079,-2.885503,,,20.9,,,,1.22,1.22,90,1,,,
140,IRAS 06518-1041,103.55598222596,-10.76063255426,,,,,,[WC7/8],0.45,0.27,0,1.66666666666667,,,
141,PN A66 19,104.985117,14.609436,,,,,,,1.117,1.117,90,1,,,
142,PN M 1-9,106.3300006771,2.78318115938,,,,,,,0.037,0.037,90,1,,,
143,PN PB 1,105.695038,-13.709372,,,,,,,0.213,0.154,10,1.38311688311688,,,
144,PN K 2-3,106.7367,-22.0406,,15.8,,,,,1.049999952,1.049999952,0,1,,,
145,PN M 3-1,105.70793078763,-31.5914341069544,,12.9,12.7,,,,0.23,0.221,55,1.04072398190045,,,
146,NGC 2346,107.34383991685,-0.80655861037,,11.76,11.58,,,A5V,0.91,0.91,90,1,,,
147,PN We 1-6,109.3585104356,-10.17692763754,,,,,,,1.033,1.033,90,1,,,
148,PN We 2-37,109.0333,-10.885,,,,,,,1.74,1.18,0,1.47457627118644,,,
149,PN K 1-10,108.147888,-16.099919,,,,,,,1.036666632,1.036666632,0,1,,,
150,PN M 1-11,107.81956200665,-19.85080513234,,,13.5,,,WC10-11,0.403,0.347,5,1.16138328530259,,,
151,PN M 3-2,108.70800965398,-27.8397871099,,,,,,,0.127,0.127,90,1,,,
152,NGC 2371,111.39453497042,29.49067507002,,14.48,13.5,,,Oe,0.727,0.727,90,1,,,
153,NGC 2392,112.29486308254,20.91179858002,,,9.68,,,O6f,0.33549997,0.33528835,72,1.00063115822545,,,
154,PN A66 21,112.26129027258,13.24682987644,,15.67,15.99,,,DOZ,10.25,10.25,90,1,,,
155,PN A66 20,110.74030435369,1.75942847338,,16.216,16.466,16.559,16.701,DA,1.117,1.117,90,1,,,
156,PN M 3-3,111.642617,-5.364489,,,,,,,0.203,0.203,90,1,,,
157,PFP 1,110.57373811263,-6.36277292478,,,,,,DO:,19.17,18.33,0,1.04582651391162,,,
158,PN M 1-13,110.312654,-18.142958,,11,,,,,0.253,0.218,45,1.1605504587156,,,
159,PN M 1-14,111.98545910321,-20.22295846818,,,,,,O(H)7-9,0.094188,0.09184866,85,1.02546950603308,,,
160,PN M 1-12,109.83945216185,-21.73205617454,,,14.08,,,WC10-11,0.029999999,0.029999999,0,1,,,
161,PN M 4-2,112.22427040922,-35.75389890255,,,13.7,,,wels,0.1,0.1,90,1,,,
162,PN K 1-11,114.03299165266,2.70765110759,,19.24,19.59,,,,1.399999976,1.399999976,0,1,,,
163,PN M 1-16,114.32875804,-9.646655,,14.959,13.393,14.669,,,0.193,0.135,225,1.42962962962963,,,
164,PN M 1-17,115.0923851498,-11.54160656699,,,,,,,0.193,0.128,40,1.5078125,,,
165,PN M 1-18,115.517363,-14.353686,,,,,,,0.507,0.507,90,1,,,
166,NGC 2438,115.46049760579,-14.73540837354,,,,,,,1.173,1.173,90,1,,,
167,NGC 2440,115.48060846,-18.20844769,,11.469,10.104,,,,0.36363664,0.34044999,68,1.06810589126468,,,
168,PN K 1-12,117.548342,-19.304575,,,,,,,0.617,0.617,90,1,,,
169,NGC 2452,116.85943729381,-27.33522777283,,17.9,12.2,,,[WO1],0.30530331,0.30485168,46,1.00148147453214,,,
170,FEGU 248-5,115.5983,-32.7958,,17,17.5,,,,3.01,2.55,0,1.18039215686275,,,
171,PN A66 23,115.824933,-34.754344,,,,,,,0.9,0.9,90,1,,,
172,PN M 3-4,118.79749211818,-23.63683507765,,,,,,,0.23,0.23,90,1,,,
173,PN M 3-5,120.62065112,-27.69861,,,,,16.135,,0.197,0.161,195,1.22360248447205,,,
174,NeVe 3-3,120.8021,-33.5172,,,,,,,1.23,0.93,0,1.32258064516129,,,
175,PN K 1-13,121.6937546267,-2.876439274,,18.051,18.425,18.592,18.846,,2.767,2.767,90,1,,,
176,PN Sa 2-21,122.1846,-19.2339,,14,,,,,0.666666687,0.666666687,0,1,,,
177,PN Y-C 2-5,122.67350524978,-20.52564150029,,,,,,wels,0.167,0.14,120,1.19285714285714,,,
178,PN K 1-21,121.059138,-34.2687,,,,,,,0.483,0.483,90,1,,,
179,PN A66 26,122.25685,-32.673586,,11.86,11.58,,,,0.667,0.667,90,1,,,
180,PN MeWe 2-1,125.21833,-35.27611,,,19,,,,0.4,0.4,0,1,,,
181,NGC 2610,128.3475993403,-16.14938798211,,9.02,,11.23,,,0.573,0.573,90,1,,,
182,PN K 1-1,127.969304,-32.102414,,,,,,,0.723,0.723,90,1,,,
183,PN A66 30,131.72276661453,17.87954705405,,14.23,14.3,13.47,,[WC5],0.287,0.132,75,2.17424242424242,,,
184,PN M 3-6,130.16760866182,-32.37599885811,,,12.79,,,[WC],0.307,0.251,45,1.22310756972112,,,
185,PN A66 31,133.55485047748,8.8980392975,,15.201,15.544,15.693,15.831,sdO6,16.2,16.2,90,1,,,
186,IC 5148,329.89619389693,-39.38562028893,,,16.5,,,O?,2,2,90,1,,,
187,[MAC2021] 374,13.67405,-37.67259,,,,,,,0.03843,0.03843,0,1,,,
188,NGC 7293,337.41060585298,-20.83715201178,11.894,13.158,13.524,13.689,13.898,DAO.5,13.4,13.4,90,1,,,
189,NGC 7009,316.04506466152,-11.36349448821,,12.48,12.07,,,,0.707,0.523,70,1.35181644359465,,,
190,PN BoBn 1,9.31679,-13.71628,,16,,,,,0.050000001,0.050000001,0,1,,,
191,NGC 246,11.76392514234,-11.87193642391,10.15,11.52,11.76,12.18,,PG1159,3.733,3.733,90,1,,,
192,PN Ps 1,322.497488608913,12.1739653732597,,13.39,14.06,,,sdO,0.03125833,0.03062683,-3,1.0206191760623,,,
193,NGC 7094,324.22070306837,12.78863868726,,,13.65,13.775,,sdB/sdO,1.583,1.583,90,1,,,
194,PN Jn 1,353.97217284945,30.46842687367,,15.52,15.62,,,DOZ,5.533,5.533,90,1,,,
195,PN A66 78,323.8724234413,31.69595811003,,13.04,13.25,,,[WC5],1.783,1.783,90,1,,,
196,BA 1-55,10.91333,41.44803,,,20.35,,,,0.1,0.1,0,1,,,
197,BA 1-331,10.140929,40.546192,19.706,19.67,19.461,19.294,19.816,,0.15,0.15,0,1,,,
198,BA 1-478,9.79208,40.62447,,,20.91,,,,0.45,0.2,0,2.25,,,
199,BA 1-317,10.238529,40.602164,19.018,19.89,19.722,18.885,19.03,,0.1,0.1,0,1,,,
200,BA 1-310,10.12840491763,40.70838170401,18.658,19.53,19.666,19.038,19.642,,0.2,0.1,0,2,,,
201,[SCM2012b] PN258,10.85375,41.16578,,,22.11,,23.066,,0.0344,0.0344,0,1,,,
202,[SCM2012b] PN260,10.8625,41.17458,,,21.18,,22.279,,0.017,0.0153333,63,1.10869806238709,,,
203,[SCM2012b] PN273,10.91542,41.14883,,,21.51,,22.693,,0.0344,0.0344,0,1,,,
204,[SCM2012b] PN277,10.93125,41.24808,,,22.44,,22.686,,0.0384592,0.0307665,90,1.25003494060098,,,
205,[SCM2012b] PN287,10.99417,41.32317,,,21.38,,23.053,,0.0344,0.0344,0,1,,,
206,MLA 899,10.99958,41.25972,,,22.11,,23.009,,0.0111667,0.0038333,156,2.91307750502178,,,
207,[SCM2012b] PN291,11.00708,41.32756,,,21.91,,22.606,,0.0344,0.0344,0,1,,,
208,[SCM2012b] PN293,11.01917,41.20244,,,21.66,,22.41,,0.0344,0.0344,0,1,,,
209,[SCM2012b] PN296,11.02375,41.30072,,,21.79,,22.793,,0.0344,0.0344,0,1,,,
210,[SCM2012b] PN303,11.06625,41.36972,,,21.95,,22.609,,0.0344,0.0344,0,1,,,
211,[SCM2012b] PN304,11.0675,41.31486,,,21.38,,21.878,,0.0384592,0.0307665,60,1.25003494060098,,,
212,MLA 969,11.08708,41.40753,,,21.52,,22.293,,0.009,0.0066667,55,1.34999325003375,,,
213,Ford M 31 557,11.10417,41.52942,,,21.24,,,,0.0105,0.0036667,98,2.86361033081517,,,
214,Ford M 31 559,11.10924383177,41.55410654917,,,20.49,,22.198,,0.0113333,0.0031667,112,3.57889916948243,,,
215,Ford M 31 560,11.12417,41.54589,,,21.56,,22.501,,0.0313333,0.0133333,6,2.35000337500844,,,
216,MLA 1053,11.18883220221,41.53072398905,,,22.17,,23.027,,0.011,0.0046667,149,2.35712602052842,,,
217,[SCM2012b] PN326,11.20917,41.51892,,,20.66,,22.508,,0.0118333,0.005,31,2.36666,,,
218,[SCM2012b] PN002,9.76042,40.38069,,,21.17,,,,0.0344,0.0344,0,1,,,
219,HKPN M31 13,9.8125,40.44297,,,22.15,,,,0.0344,0.0344,0,1,,,
220,HKPN M31 16,9.81792,40.37047,,,21.2,,,,0.04558,0.026015,105,1.75206611570248,,,
221,HKPN M31 25,9.92833,40.38031,,,22.18,,,,0.0344,0.0344,0,1,,,
222,HKPN M31 27,9.93625,40.33306,,,22.44,,,,0.0421314,0.0280876,165,1.5,,,
223,HKPN M31 33,9.95667,40.35692,,,21.85,,,,0.0384592,0.0307665,150,1.25003494060098,,,
224,[SCM2012b] PN030,10.03198581881,40.47593523053,,,21.52,,,,0.0344,0.0344,0,1,,,
225,HKPN M31 45,10.08667,40.46917,,,21.38,,,,0.0344,0.0344,0,1,,,
226,HKPN M31 53,10.18875,40.69172,,,20.79,,,,0.0344,0.0344,0,1,,,
227,HKPN M31 55,10.19708,40.47375,,,22.95,,,,0.0344,0.0344,0,1,,,
228,MLA 273,10.21292,40.98003,,,21.95,,,,0.0344,0.0344,0,1,,,
229,MLA 275,10.21917,40.99517,,,21.23,,,,0.0344,0.0344,0,1,,,
230,MLA 276,10.21833,40.47436,,,21.99,,,,0.0344,0.0344,0,1,,,
231,MLA 282,10.22625,41.14422,,,21.44,,,,0.0344,0.0344,0,1,,,
232,MLA 286,10.235,40.89836,,,22.39,,,,0.0344,0.0344,0,1,,,
233,HKPN M31 59,10.25125,40.4805,,,21.41,,,,0.0344,0.0344,0,1,,,
234,MLA 310,10.27417,40.47042,,,22.77,,,,0.0423077,0.0338453,120,1.25003176216491,,,
235,MLA 320,10.30292,40.97417,,,20.57,,,,0.0384592,0.0307665,0,1.25003494060098,,,
236,MLA 321,10.30583,41.19308,,,22.42,,,,0.0344,0.0344,0,1,,,
237,MLA 327,10.31125,40.74256,,,22.29,,,,0.0344,0.0344,0,1,,,
238,MLA 333,10.32167,41.26719,,,21.8,,,,0.0344,0.0344,0,1,,,
239,MLA 335,10.32292,41.20186,,,22.2,,,,0.0344,0.0344,0,1,,,
240,MLA 337,10.32333,40.97914,,,21.68,,,,0.0344,0.0344,0,1,,,
241,MLA 349,10.33625,41.1715,,,21.97,,,,0.0344,0.0344,0,1,,,
242,MLA 350,10.33667,40.91689,,,21.14,,,,0.0384592,0.0307665,0,1.25003494060098,,,
243,MLA 382,10.41333,40.70617,,,22.61,,,,0.0344,0.0344,0,1,,,
244,MLA 384,10.4175,41.01747,,,22.27,,,,0.0384592,0.0307665,165,1.25003494060098,,,
245,MLA 396,10.435,41.03647,,,21.2,,,,0.0344,0.0344,0,1,,,
246,MLA 398,10.43625,40.80317,,,22.57,,,,0.0384592,0.0307665,0,1.25003494060098,,,
247,MLA 411,10.45583,41.47053,,,21.11,,,,0.09976,0.079808,0,1.25,,,
248,Ford M 31 303,10.46792,41.26203,,,21.51,,,,0.0344,0.0344,0,1,,,
249,MLA 421,10.47708,41.22372,,,22.16,,,,0.045494,0.0260021,0,1.74962791466843,,,
250,MLA 423,10.47792,40.93586,,,22.56,,,,0.0384592,0.0307665,0,1.25003494060098,,,
251,MLA 443,10.52083,40.97669,,,21.92,,,,0.0344,0.0344,0,1,,,
252,MLA 467,10.55625,40.99519,,,21.54,,,,0.0344,0.0344,0,1,,,
253,MLA 473,10.56042,40.87294,,,20.5,,,,0.0344,0.0344,0,1,,,
254,MLA 474,10.5625,40.97928,,,20.54,,,,0.0344,0.0344,0,1,,,
255,[SCM2012b] PN170,10.58833,41.015,,,22.33,,,,0.0344,0.0344,0,1,,,
256,HKPN M31 77,10.635,40.70733,,,22.69,,,,0.0421314,0.0280876,165,1.5,,,
257,HKPN M31 78,10.655,41.07211,,,21.73,,,,0.0384592,0.0307665,15,1.25003494060098,,,
258,MLA 603,10.70625,41.14006,,,21.9,,,,0.0384592,0.0307665,30,1.25003494060098,,,
259,MLA 659,10.74917,41.46914,,,22.6,,,,0.050052,0.0286036,90,1.7498496692724,,,
260,Ford M 31 170,10.77583,41.18231,,,20.84,,,,0.0421314,0.0280876,75,1.5,,,
261,MLA 685,10.77667,41.12294,,,22.05,,,,0.0423077,0.0338453,150,1.25003176216491,,,
262,MLA 697,10.78917,41.08139,,,21.46,,,,0.0384592,0.0307665,150,1.25003494060098,,,
263,[SCM2012b] PN241,10.81125,41.50936,,,22.24,,24.243,,0.048633,0.0243251,0,1.99929291143716,,,
264,HKPN M31 95,10.82917,40.96719,,,22.5,,,,0.0421314,0.0280876,165,1.5,,,
265,[SCM2012b] PN251,10.84583,41.18083,,,21.54,,22.11,,0.0344,0.0344,0,1,,,
266,Ford M 31 247,10.84667,41.36594,,,21.23,,,,0.0384592,0.0307665,90,1.25003494060098,,,
267,[SCM2012b] PN261,10.88625,41.30911,,,21.28,,,,0.0344,0.0344,0,1,,,
268,MLA 803,10.89292,41.3265,,,22.08,,,,0.0384592,0.0307665,0,1.25003494060098,,,
269,[SCM2012b] PN268,10.90417,41.25256,,,21.94,,22.514,,0.0344,0.0344,0,1,,,
270,[SCM2012b] PN278,10.93167,41.32042,,,21.41,,22.18,,0.0344,0.0344,0,1,,,
271,[SCM2012b] PN280,10.95708,41.37842,,,21.48,,22.52,,0.045494,0.0260021,90,1.74962791466843,,,
272,[SCM2012b] PN283,10.97833,41.36808,,,21.97,,23.126,,0.0384592,0.0307665,120,1.25003494060098,,,
273,[SCM2012b] PN294,11.02042,41.15514,,,21.87,,23.718,,0.0344,0.0344,0,1,,,
274,MLA 998,11.11458,41.37481,,,22.5,,24.859,,0.046354,0.0308955,0,1.50034794711204,,,
275,MLA 1391,10.54208,41.12189,,,22.35,,,,0.0344,0.0344,0,1,,,
