id,alpha,delta,diameter,long name
Mel 104,169.475993224526,-62.7132472924623,12,Melotte 104
Mel 105,169.876403059313,-63.5139811601442,4,Melotte 105
Mel 106,171.423068141906,-43.2331143304382,12,Melotte 106
Mel 107,174.039712580165,-61.6033013862623,10,Melotte 107
Mel 108,177.714827778437,-55.6895415590676,6,Melotte 108
Mel 109,181.67369115164,-61.2401751449483,9,Melotte 109
Mel 110,186.128439831585,-61.8877589963944,15,Melotte 110
Mel 111,186.253707981837,26.1125455787781,450,Melotte 111
Mel 112,186.481665040264,-72.6708034637212,12,Melotte 112
Mel 113,189.87519978631,-26.7497063785268,8,Melotte 113
Mel 114,193.417987442501,-60.3433708271952,10,Melotte 114
Mel 115,194.838607314689,-70.8737208435711,6,Melotte 115
Mel 116,195.037493729722,-59.6063912262134,10,Melotte 116
Mel 117,198.224656684109,18.1692843552284,5,Melotte 117
Mel 118,201.694636646477,-47.3034502721712,45,Melotte 118
Mel 119,205.55247392321,28.3786031494422,18,Melotte 119
Mel 120,206.674420948353,-62.9014319200348,3,Melotte 120
Mel 121,206.606556614199,-51.3680167259528,6,Melotte 121
Mel 122,208.483329376211,-61.8602172738165,12,Melotte 122
Mel 123,211.90111101656,-48.3102125493818,30,Melotte 123
Mel 124,211.374289105324,28.5217914374133,8,Melotte 124
Mel 125,217.441216732201,-60.7143313799391,15,Melotte 125
Mel 126,217.414439567129,-5.97947765330442,1.5,Melotte 126
Mel 127,218.794463065081,-56.5561626992599,8,Melotte 127
Mel 128,220.863433644368,-57.5436652544644,6,Melotte 128
Mel 129,225.253073393167,-82.222450726348,3,Melotte 129
Mel 130,226.304452893004,-54.3411365567578,40,Melotte 130
Mel 131,226.431568011498,-55.5903515908371,9,Melotte 131
Mel 132,229.364930730983,-21.017951699835,6,Melotte 132
Mel 133,229.63922281221,2.08472813421094,15,Melotte 133
Mel 134,232.006484431906,-50.6663865808678,4.5,Melotte 134
Mel 135,233.869814908446,-50.6521602247093,1,Melotte 135
Mel 136,236.510207536948,-37.7639039798371,5,Melotte 136
Mel 137,238.057197676006,-56.4694747578753,4,Melotte 137
Mel 138,238.965653359234,-57.4288314338528,3,Melotte 138
Mel 139,240.927203654763,-60.4963056402228,10,Melotte 139
Mel 140,243.311711788793,-54.2086384266016,15,Melotte 140
Mel 141,244.722781692751,-57.8969018190775,20,Melotte 141
Mel 142,244.265999767171,-22.9816445572352,5,Melotte 142
Mel 143,246.442431815328,-72.2018958839606,5,Melotte 143
Mel 144,245.90670851065,-26.5174538072678,20,Melotte 144
Mel 145,246.414625316868,-40.6637883845491,25,Melotte 145
Mel 146,246.941788000756,-49.1431309629502,9,Melotte 146
Mel 147,246.828358057512,-26.0426138470702,5,Melotte 147
Mel 148,248.124031061953,-13.0471209740893,7,Melotte 148
Mel 149,250.095913491306,-43.3643518186903,7,Melotte 149
Mel 150,250.418002570458,36.4593117522421,12,Melotte 150
Mel 151,251.797970750069,-1.94659166905693,9,Melotte 151
Mel 152,252.678191171134,-44.7241768979389,3,Melotte 152
Mel 153,253.504700657116,-41.7996343984303,135.4,Melotte 153
Mel 154,253.34666184839,-22.1832213140575,1.5,Melotte 154
Mel 155,253.918698575932,-39.4956204478243,10,Melotte 155
