name,alpha,delta,magnitude,diameter,Member count,Common name
Shk 348,141.62641,3.44607,,2.7,10,
Shk 349,151.60715,6.92586,,0.9,5,
Shk 350,165.07661,8.39975,,1.9,6,
Shk 351,167.57091,4.78181,,2.5,6,
Shk 352,170.41817,2.89242,,2.7,11,
Shk 353,187.86137,6.55736,,2.7,9,
Shk 354,196.38594,3.37915,,2.3,9,
Shk 355,198.0546,7.30485,,0.6,5,
Shk 356,202.6441,11.40251,,1.9,5,
Shk 357,205.53587,2.19981,,7.1,15,
Shk 358,215.94671,6.56708,,2.6,7,
Shk 359,217.45801,18.82485,,2,7,
Shk 360,235.34721,4.56214,,1.3,14,
Shk 361,345.81871,17.6612,,2.8,10,
Shk 362,353.1536,19.36288,,0.9,5,
Shk 363,5.07553,23.27742,,1.8,9,
Shk 364,5.24225,22.67735,,0.8,7,
Shk 365,17.81739,22.88219,,1.2,7,
Shk 366,32.98285,21.53443,,1.4,6,
Shk 367,135.41924,21.70296,,1,5,
Shk 368,138.84702,21.50821,,0.6,5,
Shk 369,145.17409,22.50581,,1.6,7,
Shk 370,147.58075,23.26594,,1.1,8,
Shk 371,175.87023,21.90581,,0.9,5,
Shk 372,176.70274,24.13886,,1.4,6,
Shk 373,186.33498,25.48985,,2.6,8,
Shk 374,198.99291,21.43632,,1.3,5,
Shk 375,206.87968,21.15107,,2,11,
Shk 376,209.13236,23.35617,,1.9,8,
Shk 377,217.53761,22.37844,,0.6,5,
