alpha,delta,id,diameter,minAxis,posAngle,Dist kpc,Size pc,axisRatio
246.85440111,-24.42988611,PGCC G353.20+16.72,6.31633,4.90631,0.201224,0.12,0.19432,0.777
91.27143111,14.446065,PGCC G194.80-3.40,10.8221,4.48864,-0.167647,,,0.415
326.76129194,47.54021806,PGCC G93.72-4.60,15.0839,3.10701,-1.04422,0.63,,0.206
76.56291194,-6.22589194,PGCC G206.26-26.19,,,,,,
266.15258806,-28.90416306,PGCC G359.91+0.21,,,,6.9,,
64.52538306,27.55667111,PGCC G169.32-16.17,13.4406,4.94715,-0.126307,0.14,0.332079,0.368
108.21919306,-7.70519694,PGCC G222.23+1.22,13.0053,4.35641,-1.35633,,,0.335
335.44375611,75.10756694,PGCC G113.63+15.01,6.3345,3.58908,0.282909,,,0.567
236.27693194,-45.91061,PGCC G331.74+7.02,9.5222,4.64861,1.15082,0.56,1.08379,0.488
30.98773389,20.41987,PGCC G145.07-39.31,7.0978,5.02719,0.313133,0.276694,0.480785,0.708
264.94403111,-19.75589806,PGCC G7.14+5.94,8.17234,5.18901,-0.913967,0.12,0.227312,0.635
277.47351111,1.285915,PGCC G31.62+5.38,,,,0.26,,
11.11813889,55.190125,PGCC G121.93-7.67,6.78487,5.45536,0.940868,,,0.804
98.13417111,10.49616389,PGCC G201.45+0.63,9.07791,3.24751,-1.03669,,,0.358
343.74887111,42.59766806,PGCC G101.14-15.29,6.54477,4.77948,1.18666,,,0.730
295.125,10.84015306,PGCC G48.23-5.74,7.12062,5.10093,-1.36143,,,0.716
191.93345611,-69.26276389,PGCC G302.60-6.39,6.52275,5.39395,0.491656,-1.1,,0.827
89.37885306,36.43261694,PGCC G174.80+5.96,10.814,4.50887,-0.543201,,,0.417
39.72950694,-29.6332,PGCC G225.35-66.28,,,,,,
83.67231,25.74658806,PGCC G181.42-3.75,8.96083,3.52187,-0.982855,,,0.393
79.697655,13.08272306,PGCC G190.15-13.75,9.17668,4.82453,-0.908372,,,0.526
236.385605,-34.42107389,PGCC G339.15+15.94,7.98676,4.80744,0.761055,,,0.602
248.68444806,-24.63477111,PGCC G354.17+15.33,7.56183,5.55242,-1.02318,0.12,0.226184,0.734
56.46448889,37.27483694,PGCC G157.32-13.69,,,,0.14,,
64.59766389,27.46398389,PGCC G169.44-16.18,17.9361,3.96628,-0.216031,0.14,0.343488,0.221
334.40319806,52.30740694,PGCC G100.53-3.74,6.80358,4.8489,1.26926,,,0.713
113.88761111,-23.51569889,PGCC G238.73-1.48,8.14176,5.41503,0.113534,,,0.665
18.98412694,16.72224194,PGCC G131.35-45.75,7.59019,4.52927,-0.944815,0.24322,0.414826,0.597
245.56906111,-19.64959694,PGCC G356.18+20.76,8.57548,5.86337,0.028892,0.12,0.24752,0.684
351.016785,71.14483611,PGCC G115.93+9.47,8.29482,6.62404,-1.26034,1,2.15621,0.799
65.80484,23.74177694,PGCC G173.08-17.90,7.94878,5.44401,-0.025958,0.23,0.440113,0.685
235.65733306,-34.13692889,PGCC G338.85+16.54,10.1584,4.7904,-0.043321,,,0.472
98.15091694,10.31535194,PGCC G201.62+0.56,10.1369,4.01641,0.233802,0.63387,1.17652,0.396
85.67478889,-10.43643611,PGCC G214.68-19.95,9.17369,4.71652,-0.400038,0.415,0.794068,0.514
297.21841389,11.58291389,PGCC G49.89-7.16,14.2758,3.94041,0.684145,0.209894,0.457928,0.276
