alpha,delta,id,GName,diameter,Minor axis,posAngle,axisRatio
308.659003,46.83978,DWB 183,G84.8+3.9,5.6,3.3,168,1.70
308.331877,46.97187,DWB 184,G84.8+4.2,11.1,3.3,62,3.36
308.105337,47.071006,DWB 185,G84.8+4.3,55.6,2.2,125,25.27
306.039733,48.129676,DWB 186,G84.8+6.1,15.6,0.9,115,17.33
308.834159,46.890445,DWB 187,G84.9+3.8,7.3,2.2,151,3.32
308.052965,47.337476,DWB 188,G84.9+4.6,3.3,2.2,90,1.50
308.631474,47.13968,DWB 189,G85.0+4.1,13.3,7.8,147,1.71
308.983561,47.024346,DWB 190,G85.1+3.8,13.3,7.8,145,1.71
308.852375,47.72386,DWB 191,G85.6+4.3,7.8,2.2,166,3.55
308.951169,47.90757,DWB 192,G85.8+4.4,41.1,8.9,140,4.62
310.208962,47.478945,DWB 193,G86.0+3.5,8.9,1.1,113,8.09
