No,alpha,delta,diameter,id
157,115.224167,-19.085833,7,Cr 157
158,115.189167,-31.692500,10,Cr 158
159,115.445000,-14.810000,27,Cr 159
160,116.121667,-23.853056,22,Cr 160
161,116.312500,-37.967500,45,Cr 161
162,116.892083,-27.194722,5,Cr 162
163,117.244167,-21.298056,7,Cr 163
164,118.122917,-26.430000,15,Cr 164
165,118.040833,-38.533333,27,Cr 165
166,118.792917,-24.254722,12,Cr 166
167,118.766667,-17.709722,7,Cr 167
168,118.825000,-25.933333,5,Cr 168
169,119.066250,-30.064167,8,Cr 169
170,120.007083,-10.769722,8,Cr 170
171,120.199167,-19.050556,8,Cr 171
172,119.529583,-60.753333,29,Cr 172
173,120.704167,-46.383333,370,Cr 173
174,121.242500,-28.146667,22,Cr 174
175,121.767083,-29.883889,3.5,Cr 175
176,122.657917,-12.819167,21,Cr 176
177,122.543750,-49.225556,20,Cr 177
178,123.065000,-37.594167,40,Cr 178
179,123.429583,-5.750556,54,Cr 179
180,124.621250,-30.645556,10,Cr 180
181,124.734583,-29.749167,13,Cr 181
182,125.220833,-36.217222,10,Cr 182
183,125.366250,-30.293333,7,Cr 183
184,125.850417,-29.508611,9,Cr 184
185,125.625000,-36.166667,8,Cr 185
186,125.789583,-32.975278,2,Cr 186
187,126.050000,-29.150000,7,Cr 187
188,129.312083,-29.950278,11,Cr 188
189,130.092500,19.671944,95,Cr 189
190,129.608333,-34.771667,3,Cr 190
191,130.087500,-53.089167,60,Cr 191
192,130.629167,-48.108333,7,Cr 192
193,130.658333,-47.200556,4,Cr 193
194,130.637500,-45.000556,2.7,Cr 194
195,130.863750,-32.656111,12,Cr 195
196,131.250000,-31.633333,5,Cr 196
197,131.212500,-41.233333,40,Cr 197
198,131.325000,-31.766667,5,Cr 198
199,131.579167,-52.935000,12,Cr 199
200,131.372917,-48.791667,9,Cr 200
201,131.549583,-41.877222,4,Cr 201
202,131.625000,-52.900000,12,Cr 202
203,131.975000,-42.450000,29,Cr 203
204,132.833750,11.811944,29,Cr 204
205,135.133333,-48.985000,5,Cr 205
206,139.006250,-36.626944,9,Cr 206
207,139.845417,-40.520278,2.3,Cr 207
208,141.937500,-57.668889,18,Cr 208
209,142.620833,-52.913889,5,Cr 209
210,143.295417,-53.395833,12,Cr 210
211,145.047917,-50.320833,4,Cr 211
212,147.162917,-56.411667,5,Cr 212
213,148.645833,-50.919722,17,Cr 213
214,150.164583,-54.787500,2,Cr 214
215,150.677917,-60.108889,35,Cr 215
216,151.244167,-61.615000,5,Cr 216
217,151.620833,-60.300000,4,Cr 217
218,155.342500,-51.732500,5,Cr 218
219,155.956667,-60.137222,5,Cr 219
220,156.466667,-57.926389,6,Cr 220
221,156.630417,-60.678333,2,Cr 221
222,156.900000,-57.670278,7,Cr 222
223,157.600000,-60.083333,9,Cr 223
224,158.974167,-58.236111,5,Cr 224
225,159.327917,-58.660000,5,Cr 225
226,159.697917,-54.115556,6,Cr 226
227,160.550000,-65.100000,16,Cr 227
228,160.516667,-59.916667,14,Cr 228
229,160.845833,-64.436944,100,Cr 229
230,160.983333,-59.550000,5,Cr 230
231,161.179167,-59.366667,15,Cr 231
232,161.245833,-59.550000,4,Cr 232
233,161.317500,-59.721389,10,Cr 233
234,161.337500,-59.750000,3,Cr 234
235,164.100000,-59.200000,5,Cr 235
236,164.320833,-61.110000,10,Cr 236
237,164.890833,-60.336667,9,Cr 237
238,166.447917,-58.770278,55,Cr 238
239,167.580000,-60.248333,6,Cr 239
240,167.580000,-60.248333,1,Cr 240
241,167.866667,-60.666667,6,Cr 241
242,168.245833,-60.788889,4,Cr 242
243,168.779167,-57.550000,10,Cr 243
244,168.777500,-61.261111,2.5,Cr 244
245,169.533333,-62.739167,15,Cr 245
246,169.925000,-63.483333,5,Cr 246
247,171.404583,-43.250000,12,Cr 247
248,174.060000,-61.610000,12,Cr 248
249,174.216667,-63.073333,65,Cr 249
250,177.638333,-55.676389,6,Cr 250
251,180.521667,-63.223333,10,Cr 251
252,181.664583,-61.250000,6,Cr 252
253,184.288750,-55.286111,7,Cr 253
254,186.013750,-58.123611,3.5,Cr 254
255,186.025000,-61.870278,15,Cr 255
256,186.250000,26.000000,275,Cr 256
257,186.191250,-60.886667,5,Cr 257
258,186.791667,-60.766667,5,Cr 258
259,187.109583,-60.103056,4,Cr 259
260,187.480000,-64.789722,5,Cr 260
261,189.487500,-68.366667,9,Cr 261
262,189.891667,-60.616667,7,Cr 262
263,190.582917,-62.993889,5,Cr 263
264,193.404583,-60.356111,10,Cr 264
265,194.492917,-64.961667,3,Cr 265
266,195.060417,-59.616111,11,Cr 266
267,199.112500,17.697778,11,Cr 267
268,199.554167,-67.083333,5,Cr 268
269,200.879167,-66.180000,15,Cr 269
270,201.813333,-59.040833,7,Cr 270
271,202.475000,-64.200000,5,Cr 271
272,202.608333,-61.316667,10,Cr 272
273,202.780417,-60.939167,4,Cr 273
274,203.058333,-62.800000,5,Cr 274
275,203.662500,-60.200000,11,Cr 275
276,206.646250,-62.916389,8,Cr 276
277,207.000000,-66.066667,15,Cr 277
278,207.187083,-64.685278,4,Cr 278
279,208.488333,-61.869167,13,Cr 279
280,211.865417,-48.342500,35,Cr 280
281,216.946667,-59.632222,3,Cr 281
282,217.433333,-60.710833,10,Cr 282
283,217.758333,-61.166667,10,Cr 283
284,218.906250,-56.618056,30,Cr 284
285,180.750000,58.000000,1,Cr 285
286,220.873750,-57.576944,5,Cr 286
287,222.224583,-54.497500,7,Cr 287
288,223.384167,-52.670556,3,Cr 288
289,226.088333,-54.396389,39,Cr 289
290,226.377500,-55.603611,12,Cr 290
291,231.861250,-54.528611,20,Cr 291
292,237.462500,-57.619722,15,Cr 292
293,238.035833,-56.472778,3,Cr 293
294,238.952917,-57.437222,3,Cr 294
295,240.200000,-53.533333,9,Cr 295
296,240.820833,-60.431667,12,Cr 296
297,241.895833,-54.015000,2,Cr 297
298,243.295833,-54.218333,12,Cr 298
299,244.975000,-54.966667,25,Cr 299
300,244.710417,-57.934444,12,Cr 300
301,246.333333,-40.653611,40,Cr 301
302,246.500000,-26.216667,505,Cr 302
303,246.943750,-49.151111,6,Cr 303
304,248.189583,-52.643889,29,Cr 304
305,248.645417,-49.771944,7,Cr 305
306,248.519167,-44.045556,12,Cr 306
307,248.833333,-51.000000,5,Cr 307
308,248.946667,-45.643611,4,Cr 308
309,250.099167,-43.366667,7,Cr 309
310,250.334167,-48.762500,14,Cr 310
311,251.030417,-47.462500,12,Cr 311
312,251.539583,-47.016944,5,Cr 312
313,252.367083,-53.728333,15,Cr 313
314,252.347917,-44.731389,4,Cr 314
315,253.545417,-41.824167,14,Cr 315
316,253.875000,-40.833333,105,Cr 316
317,253.889167,-39.460833,9,Cr 317
318,254.250000,-40.666667,60,Cr 318
319,254.422917,-44.811944,6,Cr 319
320,254.483333,-45.936667,7,Cr 320
321,254.771250,-52.708889,5,Cr 321
322,255.188750,-44.655000,10,Cr 322
323,255.542917,-39.728333,6,Cr 323
324,256.171667,-37.985278,8,Cr 324
325,259.047917,-39.425000,5,Cr 325
326,259.607083,-42.933889,10,Cr 326
327,261.308333,-49.959722,10,Cr 327
328,261.371250,-48.422778,7.1,Cr 328
329,261.200000,-30.000000,4,Cr 329
330,260.993750,-26.353611,5,Cr 330
331,262.125000,-29.483333,17,Cr 331
332,262.700000,-37.083333,2,Cr 332
333,262.825000,-34.083333,5,Cr 333
334,263.676667,-32.581389,2.5,Cr 334
335,263.676667,-32.581389,2.5,Cr 335
336,264.050000,-33.483333,6,Cr 336
337,264.200000,-32.483333,12.5,Cr 337
338,264.525000,-37.720000,20,Cr 338
339,264.408333,-35.025833,1,Cr 339
340,264.905417,-33.246667,5,Cr 340
341,265.086250,-32.254167,33,Cr 341
342,265.052917,-36.947778,12,Cr 342
343,265.400000,-40.100000,9,Cr 343
344,266.082917,-32.361111,30,Cr 344
345,266.145833,-33.866667,4.8,Cr 345
346,266.227500,3.170278,4.2,Cr 346
347,266.575000,-29.333333,10,Cr 347
348,266.756667,-31.529444,15,Cr 348
349,266.575000,5.716667,40,Cr 349
350,267.029167,1.350000,40,Cr 350
351,267.266667,-28.750000,8,Cr 351
352,267.669167,-30.211667,7,Cr 352
353,268.300417,-22.275000,8,Cr 353
354,268.462917,-34.792778,80,Cr 354
355,269.125000,-35.316667,10,Cr 355
356,269.269583,-18.985278,30,Cr 356
357,269.954167,-28.166667,5,Cr 357
358,269.961250,-17.450278,6,Cr 358
359,270.275000,2.900000,240,Cr 359
360,270.587083,-23.027222,30,Cr 360
361,270.854583,-27.891111,6,Cr 361
362,271.129167,-24.358056,14,Cr 362
363,271.055833,-22.490000,13,Cr 363
364,271.535417,-27.765278,1.5,Cr 364
365,271.843750,-23.296111,15,Cr 365
366,271.835417,-24.997500,8.9,Cr 366
367,272.429167,-23.659722,40,Cr 367
368,272.576250,-31.763611,3.7,Cr 368
369,273.187917,-21.583056,12,Cr 369
370,273.957917,-22.135833,5,Cr 370
371,274.316667,-19.741667,4,Cr 371
372,274.293333,-13.344444,6,Cr 372
373,274.512083,-12.243056,4,Cr 373
374,274.612083,-18.406111,5,Cr 374
375,274.700417,-13.807222,21,Cr 375
376,274.993333,-17.101944,10,Cr 376
377,275.287500,-16.176667,27,Cr 377
378,276.175000,-19.716667,6,Cr 378
379,276.797083,-12.031111,7,Cr 379
380,276.813333,6.508333,20,Cr 380
381,277.976250,-23.476389,5.8,Cr 381
382,277.900000,-19.250000,32,Cr 382
383,278.157917,-16.883889,15,Cr 383
384,278.366250,-10.402778,5,Cr 384
385,279.138750,-8.220833,16,Cr 385
386,279.750000,5.450000,52,Cr 386
387,279.950000,-8.483333,7,Cr 387
388,280.725000,-4.133333,9,Cr 388
389,281.327500,-9.383611,14,Cr 389
390,282.690417,-5.205556,6,Cr 390
391,282.774583,-6.270000,13,Cr 391
392,282.828750,10.318611,13,Cr 392
393,283.642917,-19.901111,6,Cr 393
394,283.116667,-20.991111,22,Cr 394
395,283.774583,-22.701667,3.9,Cr 395
396,285.339583,11.615556,15,Cr 396
397,286.954167,4.266389,14,Cr 397
398,287.177083,4.705833,4,Cr 398
399,291.350000,20.183333,60,Cr 399
400,292.645833,20.260833,5,Cr 400
401,294.600000,-0.333333,1,Cr 401
402,294.324583,46.388889,12,Cr 402
403,295.325000,40.186667,5,Cr 403
404,295.616250,23.088056,0.8,Cr 404
405,295.790833,23.300000,12,Cr 405
406,297.747917,23.100000,12,Cr 406
407,298.052083,29.408056,5,Cr 407
408,298.275000,18.333333,9,Cr 408
409,298.442083,18.778333,7.2,Cr 409
410,299.116667,32.349722,0.5,Cr 410
411,304.329167,-79.033333,70,Cr 411
412,300.979583,44.159167,6,Cr 412
413,301.497083,35.777222,30,Cr 413
414,302.700000,41.183333,9,Cr 414
415,302.832083,35.832222,35,Cr 415
416,302.982500,26.488889,20,Cr 416
417,302.982500,26.488889,20,Cr 417
418,304.132083,37.643056,5,Cr 418
419,304.525000,40.716667,4.5,Cr 419
420,305.800000,40.778611,7,Cr 420
421,305.825000,41.700000,5,Cr 421
422,305.990417,38.507778,6,Cr 422
423,307.875417,60.662222,7,Cr 423
424,308.610833,28.282778,31,Cr 424
425,314.124583,45.473056,5,Cr 425
426,314.732917,-12.635556,2.8,Cr 426
427,314.875000,68.166667,4,Cr 427
428,315.800000,44.583333,13,Cr 428
429,315.397917,68.169722,18,Cr 429
430,316.802083,50.875556,5,Cr 430
431,317.698750,45.621944,25,Cr 431
432,318.025000,47.733333,8,Cr 432
433,318.288750,42.496111,3.5,Cr 433
434,320.864167,46.378611,6,Cr 434
435,321.090417,36.487500,7,Cr 435
436,321.096250,48.009444,3,Cr 436
437,322.614583,51.602222,9,Cr 437
438,322.951250,48.448611,31,Cr 438
439,324.775000,57.500000,50,Cr 439
440,325.990417,53.715278,3.1,Cr 440
441,325.745417,66.113056,7,Cr 441
442,326.289167,65.774444,4.3,Cr 442
443,328.417500,62.603333,7,Cr 443
444,331.282500,46.483611,25,Cr 444
445,332.625000,52.833333,7,Cr 445
446,332.612083,55.398611,2,Cr 446
447,333.103750,57.271389,4,Cr 447
448,333.785417,49.897500,21,Cr 448
449,333.797917,54.342500,5,Cr 449
450,335.047083,58.121944,5,Cr 450
451,337.011667,52.289167,3,Cr 451
452,341.837083,58.132500,12,Cr 452
453,343.583333,60.815556,6,Cr 453
454,347.765417,60.570833,7,Cr 454
455,351.210000,61.606667,16,Cr 455
456,352.530417,49.134167,14,Cr 456
457,357.507083,68.038056,15,Cr 457
458,358.525000,61.766667,6,Cr 458
459,359.189583,61.400000,4,Cr 459
460,359.350000,56.708333,25,Cr 460
461,359.600833,61.208333,5,Cr 461
462,9.898750,61.094444,5,Cr 462
463 (20a),27.100000,71.950000,1,Cr 463 (20a)
464 (60a),80.500000,73.000000,120,Cr 464 (60a)
465 (127a),106.800000,-10.616667,9,Cr 465 (127a)
466 (127b),106.825000,-10.816667,4,Cr 466 (127b)
467 (156a),114.620833,-10.550000,5,Cr 467 (156a)
468 (364a),271.650000,-27.466667,0.9,Cr 468 (364a)
469 (370a),274.137500,-18.309444,2.6,Cr 469 (370a)
470 (442a),328.350000,47.266667,9,Cr 470 (442a)
471 (444a),331.775000,72.000000,130,Cr 471 (444a)
