alpha,delta,MWSC Id,id,diameter
093.42750,+21.55200,0802,FSR 0893,15
093.44250,+12.81800,0803,NGC 2194,28.8
093.51000,-09.37500,0807,FSR 1120,16.8
093.56250,+22.48300,0808,Kronberger 12,12
093.56250,+14.80000,0809,FSR 0940,15
093.63000,+00.66000,0813,ASCC 22,24.6
093.66750,-29.38000,0814,ESO 425-15,12.6
093.69000,+19.01900,0816,IRAS 06117+1901,9
093.70800,+12.86500,0817,Skiff J0614+12.9,10.2
093.74700,+12.33800,0819,BDSB 82,13.2
093.82050,+39.86800,0820,NGC 2192,21.6
093.76500,+03.85000,0821,Platais 6,156
093.88800,-18.66000,0822,NGC 2204,18.6
093.93450,+19.00500,0823,FSR 0909,13.8
093.94800,+14.27700,0825,BDSB 81,10.2
094.10250,+36.36500,0826,FSR 0811,18
094.12950,-08.94500,0827,FSR 1117,13.2
094.21500,+06.02700,0828,NGC 2202,15.6
094.39200,+22.42700,0829,FSR 0891,10.8
094.47000,-01.69000,0830,FSR 1056,21.6
094.50900,+24.69500,0831,Koposov 62,15.6
094.57500,+20.54000,0832,FSR 0902,18.6
094.75950,+14.13000,0835,FSR 0953,12
094.74000,+07.32700,0836,FSR 0988,18.6
094.84050,+18.51000,0837,Skiff J0619+18.5,16.8
094.80000,+23.35000,0838,Collinder 89,31.2
095.08950,+46.67500,0839,ASCC 23,45
095.09700,-07.00500,0840,FSR 1107,15
095.22000,-44.70000,0841,NGC 2220,15
095.22000,-07.29500,0843,NGC 2215,39
095.46000,+02.37400,0844,Collinder 91,30.6
095.44800,+27.10000,0845,FSR 0859,9.6
095.44650,+15.73300,0846,FSR 0941,16.8
095.51550,-06.31900,0847,Berkeley 73,10.2
095.55750,+23.41000,0848,FSR 0888,18
095.58450,+14.70500,0849,FSR 0951,22.8
095.73000,+05.10000,0850,Collinder 92,25.8
095.76000,+24.53200,0851,FSR 0880,17.4
095.78250,+23.19900,0852,FSR 0890,16.8
095.80950,+04.59000,0854,Dolidze 22,19.2
095.93250,-04.69500,0855,NGC 2219,17.4
095.96250,+14.10000,0856,FSR 0962,16.2
095.96250,+14.51500,0857,FSR 0955,10.2
096.06000,+18.01700,0858,FSR 0927,19.8
096.18750,-10.26500,0859,FSR 1136,18
096.27000,-23.31000,0860,FSR 1235,16.8
096.32250,-10.55500,0861,BDSB 91,18
096.36000,+14.57500,0862,FSR 0957,16.8
096.34650,+13.86700,0863,Teutsch 11,18.6
096.32250,+19.78000,0864,Bochum 1,17.4
096.39000,+17.72000,0865,FSR 0929,17.4
096.46800,+15.86000,0867,FSR 0948,15.6
096.65550,-09.64000,0868,NGC 2225,18
096.99000,-04.79500,0871,NGC 2232,45.6
097.08750,+02.93500,0873,FSR 1033,14.4
097.14750,+16.92700,0874,FSR 0936,13.8
097.18500,-06.98000,0875,ASCC 24,34.8
097.20000,+33.64500,0876,FSR 0831,14.4
097.31550,+14.25500,0877,FSR 0967,10.8
097.33500,+16.75900,0878,NGC 2234,19.2
097.33050,+09.16500,0879,Alessi 53,13.2
097.39200,-31.28500,0880,NGC 2243,19.8
097.41750,+06.81700,0881,NGC 2236,19.8
097.57500,+03.39000,0883,FSR 1031,19.2
097.62750,+02.84500,0884,Collinder 96,13.2
097.60800,+09.74100,0885,Alessi 14,10.2
097.75500,-04.21500,0886,Czernik 26,13.8
097.70850,-09.65000,0887,vdBergh 80,15.6
097.77000,+09.91000,0889,Collinder 95,20.4
097.75950,+10.43500,0890,IC 446,21.6
097.81500,+11.08300,0891,FSR 0979,18.6
097.92000,+05.97500,0892,Collinder 97,18.6
097.86300,+06.80400,0893,Juchert 18,11.4
097.96500,+11.84500,0895,FSR 0977,17.4
097.98000,+04.94000,0896,NGC 2244,43.8
098.14500,+12.54300,0898,FSR 0974,16.2
098.33250,+35.26500,0900,NGC 2240,16.8
098.32500,+20.52500,0902,Berkeley 23,15
098.42700,+22.28800,0904,FSR 0905,18.6
098.42250,-05.08000,0905,NGC 2250,19.8
098.55000,+08.01000,0907,Basel 8,20.4
098.55900,+04.46000,0908,RMC-4b,12
098.53500,-34.94400,0909,FSR 1317,10.8
098.62500,-03.84000,0910,FSR 1099,16.8
098.62500,+05.37000,0911,NGC 2252,26.4
098.61150,+31.40000,0912,FSR 0848,13.2
098.63250,-05.24500,0913,FSR 1106,18
098.65500,+26.30500,0915,NGC 2248,6
098.65500,+08.37000,0916,NGC 2251,21.6
098.65800,-00.26700,0917,FSR 1063,21
098.79000,+17.74200,0919,FSR 0935,16.2
098.87250,-14.99000,0920,FSR 1187,19.2
098.94150,+07.67000,0924,NGC 2254,18
099.01950,-00.66700,0925,FSR 1065,15
099.06750,+04.00000,0926,FSR 1032,12
099.07500,-30.86500,0927,ESO 426-26,18.6
099.11250,-07.32000,0928,FSR 1126,18.6
099.13500,-14.19300,0929,Ruprecht 1,16.8
099.11250,+04.77300,0930,Collinder 104,12
099.07500,+08.33000,0932,Basel 7,11.4
099.12000,+09.47000,0933,Trumpler 5,42
099.25500,+03.07000,0934,vdBergh 1,23.4
099.29250,-10.08500,0935,FSR 1151,18
099.30750,+06.07000,0936,Collinder 106,61.2
099.45000,-00.86700,0937,Berkeley 24,19.2
099.42450,-02.81900,0938,FSR 1092,19.2
099.63300,+10.87500,0940,NGC 2259,21.6
099.67500,+02.03500,0941,Collinder 110,42
099.62550,+04.63500,0943,Collinder 107,21.6
099.70800,+06.91500,0944,Collinder 111,13.8
099.91500,+01.14000,0946,NGC 2262,16.8
099.99300,+01.53300,0947,FSR 1053,18
099.99750,+13.26500,0948,FSR 0975,9
100.03500,-27.29000,0949,vdBergh 83,14.4
100.00500,-28.77000,0950,FSR 1285,20.4
100.02750,-01.74500,0951,FSR 1082,19.8
100.09200,+09.00500,0952,FSR 0998,15.6
100.17750,-17.16000,0953,FSR 1210,18
100.24500,+09.88000,0954,NGC 2264,46.8
100.30500,-16.49500,0955,Berkeley 25,16.8
100.25400,-29.55000,0956,Ruprecht 2,10.8
100.26750,+09.60000,0957,Mon OB1-D,23.4
100.43700,+11.91000,0959,NGC 2265,15.6
100.51500,-00.88300,0960,FSR 1077,20.4
100.52250,-29.44500,0962,Ruprecht 3,16.8
100.65750,+00.10000,0963,Dolidze 23,25.2
100.76250,+01.67500,0964,Alessi 15,13.2
100.78500,+27.16500,0965,FSR 0878,12.6
100.80750,+04.61500,0966,NGC 2269,18.6
100.83450,+26.98500,0967,NGC 2266,15
100.89000,+02.17500,0968,Alessi 16,9
100.98000,+01.39500,0969,Teutsch 13,16.2
100.97250,+09.42500,0970,FSR 0999,19.2
100.99500,+03.47000,0971,NGC 2270,24
101.18250,+01.73500,0972,Dolidze 24,16.8
101.18250,-31.89300,0973,FSR 1303,13.2
101.15700,-00.56000,0974,Patchick 90,10.2
101.28000,+00.24000,0975,Dolidze 25,14.4
101.36700,-11.79000,0976,SAI 69,8.4
101.38500,+24.59500,0977,ASCC 25,25.2
101.51250,-20.74500,0978,NGC 2287,52.8
101.58750,-10.98500,0980,FSR 1167,15.6
101.64750,+01.79700,0981,Collinder 115,13.8
101.73000,+01.32500,0983,vdBergh 85,15.6
101.76000,-00.01000,0984,Dolidze 49,14.4
101.79000,+01.96500,0985,FSR 1057,14.4
101.88300,+00.03000,0986,FSR 1072,14.4
101.91300,-03.15500,0987,NGC 2286,23.4
102.07500,+41.08000,0989,NGC 2281,48.6
102.24000,-10.51000,0990,Ruprecht 4,20.4
102.21000,+00.38000,0991,Bochum 2,12
102.24750,-36.00500,0992,NGC 2298,13.8
102.26400,-23.98500,0993,Berkeley 75,11.4
102.54750,+05.75500,0994,Berkeley 26,10.2
102.60750,+07.25000,0995,ASCC 26,19.2
102.58500,-05.47000,0996,FSR 1125,13.2
102.62550,+06.60000,0997,FSR 1025,10.2
102.66300,-42.38300,0998,ESO 309-03,13.2
102.84000,+05.76300,0999,Berkeley 27,12
102.94500,+00.46500,1000,NGC 2301,31.2
102.96750,-07.08000,1001,NGC 2302,20.4
103.03500,+02.91000,1002,Berkeley 28,14.4
103.03500,+03.65500,1003,FSR 1051,19.8
103.08750,+02.19000,1004,Alessi 59,13.2
103.12050,-13.23500,1005,FSR 1191,13.2
103.12050,-23.65800,1006,Ruprecht 149,15.6
103.30950,-00.19000,1007,FSR 1085,12
103.26000,+16.93000,1008,Berkeley 29,13.2
103.48500,-04.39000,1009,ASCC 27,28.8
103.52250,-13.55500,1010,DC 4,9
103.57500,-00.15000,1011,ASCC 28,32.4
103.51500,+06.72500,1012,FSR 1029,15
103.58250,-01.69000,1013,ASCC 29,25.2
103.60500,-07.20500,1014,NGC 2306,26.4
103.62450,-13.65800,1015,FSR 1197,12.6
103.64250,-04.53000,1016,BDSB 88,10.2
103.66950,-26.79500,1017,FSR 1279,21.6
103.64250,-24.32500,1018,Collinder 121,57
103.80000,+17.98000,1019,NGC 2304,18
103.80900,-18.60000,1020,Ruprecht 5,10.2
103.81500,+29.73000,1022,FSR 0866,21.6
103.90800,-11.03000,1023,FSR 1172,13.2
103.95000,+00.22200,1024,SAI 72,11.4
103.98000,-13.28000,1025,Ruprecht 6,9.6
104.02050,-07.17500,1026,NGC 2309,25.2
104.16300,+30.47800,1027,FSR 0860,13.8
104.25750,-06.21500,1028,ASCC 30,18
104.29500,-08.19000,1030,BDSB 93,15
104.31600,-06.63700,1031,FSR 1144,15.6
104.39550,+08.29800,1032,Berkeley 31,13.2
104.46000,-13.22000,1033,Berkeley 33,15
104.44950,+03.21700,1034,Berkeley 30,15.6
104.44500,-04.61000,1035,NGC 2311,28.2
104.47800,-08.74500,1036,FSR 1159,12
104.52750,+06.43500,1037,Berkeley 32,15
104.56500,+00.88400,1038,FSR 1080,18
104.65500,-04.33500,1039,Mon OB3,31.2
104.67000,-09.16500,1040,FSR 1164,12
104.68350,-03.68500,1041,IRAS 06562-0337,12
104.69250,-04.93000,1042,FSR 1129,16.2
104.70000,+10.28000,1043,NGC 2312,13.2
104.82000,-12.95000,1044,FSR 1195,19.8
104.82000,-03.97000,1047,IRAS 06567-0355,18
104.83500,-09.08300,1048,FSR 1163,10.8
104.86950,-13.66200,1050,NGC 2318,15
104.90250,-11.97400,1051,FSR 1185,12
104.90250,-04.66700,1052,Sh2 287C,7.2
104.91000,-04.86000,1053,BDSB 90,9
104.93250,-04.06700,1055,Ivanov 9,13.2
105.04500,-10.32300,1056,FSR 1171,10.2
105.09450,-05.83000,1057,Wit 1,20.4
105.09000,-00.23500,1058,Berkeley 34,13.2
105.12450,-20.56500,1060,Tombaugh 1,24
105.15750,-08.84000,1061,Ivanov 4,18.6
105.13500,+35.07000,1062,FSR 0843,23.4
105.17100,+03.03500,1064,NGC 2319,19.8
105.27000,+03.53000,1066,ASCC 31,20.4
105.34050,-03.11700,1067,Wit 2,19.2
105.43800,-13.56000,1068,Ruprecht 8,13.8
105.52500,-26.56000,1069,ASCC 32,39
105.52950,-21.91700,1070,Ruprecht 9,15
105.62550,-01.11700,1071,Alessi 60,12
105.67950,-08.37000,1072,NGC 2323,55.2
105.66750,-11.43500,1073,FSR 1184,13.2
105.71250,-09.25500,1074,FSR 1169,20.4
105.76500,-67.39000,1075,NGC 2348,19.2
105.77100,-20.81500,1076,Tombaugh 2,10.8
105.93750,-25.05500,1077,ASCC 33,62.4
105.78000,+06.41300,1078,Czernik 27,10.2
105.87000,-05.00500,1079,Bochum 3,18.6
106.02000,-11.53000,1080,vdBergh 92,30
106.02750,-06.13000,1081,Haffner 3,13.2
105.99750,-06.38500,1083,FSR 1149,13.2
106.04250,+01.03800,1084,NGC 2324,33
105.99000,-00.08500,1085,FSR 1100,14.4
106.06050,-19.74400,1087,Auner 1,17.4
106.09500,-12.00500,1088,FSR 1194,22.2
106.15350,-06.60000,1089,FSR 1150,12
106.32750,-12.32500,1090,BDSB 96,18
106.35000,-10.68000,1091,FSR 1178,16.8
106.45800,-11.62500,1092,FSR 1192,20.4
106.49250,-28.41000,1093,Ruprecht 150,16.8
106.52250,-14.99500,1094,Haffner 4,18.6
106.58250,-30.16000,1095,ESO 427-32,17.4
106.55250,+07.40000,1096,FSR 1039,13.2
106.57500,-12.57000,1097,FSR 1199,16.2
106.61550,-20.09500,1098,Ruprecht 10,15
106.66500,-11.73000,1099,Berkeley 76,19.2
106.71000,-10.03000,1100,NGC 2335,37.2
106.71000,-10.52000,1101,Collinder 465,21
106.73400,-10.72000,1102,Collinder 466,11.4
106.68000,+27.25500,1103,NGC 2331,16.8
106.76700,-13.82000,1105,FSR 1209,20.4
106.79250,-28.22200,1107,Ruprecht 12,27.84
106.84200,-20.79500,1108,Ruprecht 11,12
106.84200,-15.98000,1109,FSR 1223,24
106.84500,-12.78300,1110,FSR 1202,13.8
106.87500,-08.86500,1111,FSR 1170,18
106.88250,-13.33000,1112,FSR 1207,21.6
106.90500,+30.17000,1113,FSR 0876,15
106.95000,-05.71700,1114,NGC 2338,10.8
106.90950,-14.15000,1115,FSR 1212,13.8
107.00250,-25.88000,1116,Ruprecht 13,21.6
106.99500,-12.46400,1117,FSR 1200,20.4
107.02500,-01.52800,1118,FSR 1111,15
107.01750,-10.60000,1119,NGC 2343,24.6
107.06250,-13.20000,1120,NGC 2345,27
107.07300,-12.89000,1121,FSR 1204,16.8
107.11500,-15.36500,1122,FSR 1219,24
107.13750,-26.15800,1123,FSR 1289,19.2
107.18700,-09.42700,1125,FSR 1173,13.2
107.28750,-01.50000,1126,FSR 1113,13.2
107.37300,-16.92000,1127,Haffner 23,26.4
107.48400,+02.73300,1129,Berkeley 35,14.4
107.57850,-18.48600,1133,DBSB 3,12
107.65500,+06.08000,1134,ASCC 34,24.6
107.59500,-08.39500,1135,Dias 3,13.8
107.70000,-06.78000,1136,FSR 1158,19.2
107.67000,-09.30000,1137,Alessi 21,38.4
107.67750,-08.60500,1138,NGC 2349,17.4
107.79000,-07.11700,1139,FSR 1160,16.2
107.90250,+01.60500,1140,FSR 1091,18
108.17250,+02.10500,1141,ASCC 35,28.2
108.22050,-25.23100,1142,FSR 1281,22.8
108.27150,-24.02900,1143,NGC 2352,16.8
108.33900,-09.89200,1144,FSR 1183,22.8
108.36000,+03.14800,1145,FSR 1076,21
108.38250,-10.48000,1146,NGC 2351,12
108.36000,-30.97500,1147,Collinder 132,37.2
108.53550,-25.69300,1148,NGC 2354,16.2
108.59250,-05.66000,1149,FSR 1153,17.4
108.61500,-34.30500,1150,FSR 1326,16.8
108.62550,-21.12300,1151,ASCC 36,30
108.62700,-10.25000,1152,NGC 2353,26.4
108.70500,-34.87700,1153,FSR 1332,12
108.71550,-31.36000,1154,Ruprecht 14,10.8
108.92250,-09.41000,1155,FSR 1180,18.6
109.08300,-13.17800,1156,Berkeley 36,17.4
109.05000,-46.61700,1157,Alessi 3,52.8
109.25250,-17.15500,1159,NGC 2358,36
109.24650,+13.75000,1160,NGC 2355,22.8
109.26000,-35.29000,1161,ESO 367-10,8.4
109.27800,-13.98200,1162,Basel 11A,25.2
109.29750,-15.79500,1163,FSR 1228,15
109.42500,-15.64000,1165,NGC 2360,36
109.48500,-37.03500,1166,Collinder 135,62.4
109.50750,-28.99000,1167,FSR 1306,15
109.49250,-22.66700,1168,Haffner 5,20.4
109.51500,-24.50000,1169,ASCC 37,19.2
109.57500,-44.67000,1171,FSR 1377,13.8
109.60950,-17.57500,1172,Teutsch 49,13.2
109.68000,-24.96000,1173,NGC 2362,31.2
109.77900,-22.02000,1174,Bica 4,15.6
109.88250,-19.63000,1175,Ruprecht 15,16.2
109.99500,-24.53000,1176,FSR 1284,15
110.01450,-13.15000,1177,Haffner 6,16.2
110.05500,-21.86500,1178,NGC 2367,22.8
110.05500,-27.77100,1179,DBSB 12,13.44
110.07750,-00.99400,1180,Berkeley 37,15
110.21250,-00.84400,1182,FSR 1118,16.8
110.21250,-19.63200,1183,FSR 1255,16.2
110.23350,+01.80000,1184,Saurer 1,10.8
110.27250,-10.33500,1186,NGC 2368,15
110.31750,-20.22000,1187,FSR 1258,17.04
110.36250,-03.23300,1189,Berkeley 77,18.6
110.44650,-00.98300,1190,King 23,16.8
110.45250,+22.50000,1191,FSR 0944,15.6
110.51250,+03.58000,1192,FSR 1083,15.6
110.65500,-05.11500,1194,FSR 1157,10.8
110.64000,-18.70000,1195,FSR 1252,18
110.70000,-59.19900,1196,FSR 1470,21
110.73300,-29.49000,1197,Haffner 7,18.6
110.79000,-19.47300,1198,Ruprecht 16,12
111.03000,-31.89000,1199,Collinder 140,58.8
110.79300,-12.30800,1200,Haffner 8,19.2
110.90550,-53.94700,1201,FSR 1440,24.6
110.90700,-23.18500,1202,Ruprecht 17,12.6
110.92500,+05.36600,1203,Berkeley 78,15.84
110.98350,-25.35900,1205,FSR 1293,9.6
111.00000,-13.27000,1206,NGC 2374,26.4
110.99250,-25.90000,1207,FSR 1297,15.6
111.05850,-24.63300,1208,Ivanov 6,12
111.13800,-02.88400,1210,FSR 1139,13.8
111.18000,-26.21000,1211,Ruprecht 18,15
111.17250,-20.94000,1213,NGC 2383,15
111.17550,-17.00000,1214,Haffner 9,11.4
111.22500,-23.87100,1215,FSR 1283,13.2
111.28500,-21.02000,1216,NGC 2384,19.8
111.27750,-02.90000,1217,FSR 1142,11.4
111.45750,-21.56300,1218,Ruprecht 19,13.8
111.52500,-21.20500,1219,FSR 1270,18.6
111.53250,-15.09300,1220,Waterloo 7,25.2
111.57000,-18.44500,1221,FSR 1253,24.6
111.55050,-47.66800,1222,Melotte 66,24.6
111.60750,-24.19000,1223,Trumpler 6,18.6
111.64200,-28.80000,1224,Ruprecht 20,13.8
111.73500,-31.15500,1225,Ruprecht 21,21.6
111.75000,-37.52500,1226,DC 3,12
111.75000,-05.54500,1227,ASCC 38,29.4
111.77400,+13.58400,1228,NGC 2395,16.8
111.82500,-23.96000,1229,Trumpler 7,21.6
111.91200,-20.30600,1231,IRAS 07255-2012,10.8
112.02750,-11.74000,1232,NGC 2396,24
112.01250,-21.79000,1233,FSR 1275,22.8
112.09200,-15.40500,1234,Czernik 29,10.2
112.11000,-19.68000,1235,FSR 1260,16.8
112.14450,-15.36500,1237,Haffner 10,16.2
112.17750,-20.81000,1238,ESO 559-13,15
112.23750,-18.31500,1239,Haffner 24,12.24
112.32450,-29.18300,1240,Ruprecht 22,10.8
112.35150,-13.97200,1241,NGC 2401,10.8
112.34250,-47.85400,1242,FSR 1400,13.8
112.49250,-19.10000,1243,DBSB 6,13.2
112.53000,-18.53500,1244,DBSB 5,15
112.51950,+11.88500,1246,Dolidze 26,25.2
112.65000,-23.38300,1248,Ruprecht 23,16.8
112.66200,-15.30300,1249,Ivanov 7,15
112.77000,-16.91500,1251,Bochum 5,10.2
112.79550,-15.42800,1252,FSR 1234,13.8
112.79700,-09.94000,1253,Czernik 30,12
112.90500,-17.19000,1254,Bochum 4,22.8
112.94250,-19.37500,1255,DBSB 9,10.2
112.98000,-13.83500,1256,FSR 1227,15
112.98000,-12.76500,1257,Ruprecht 24,20.4
113.21550,-13.74500,1260,FSR 1226,12.6
113.31750,-22.95000,1261,ASCC 39,31.2
113.26500,-12.99000,1262,NGC 2413,22.2
113.28750,-15.45500,1263,NGC 2414,16.8
113.35500,-28.19000,1264,ESO 429-02,13.2
113.36550,-20.51000,1265,Ruprecht 40,9
113.41500,-13.76500,1266,ASCC 40,18.6
113.43750,-19.81100,1267,FSR 1264,12.6
113.59500,-26.32500,1268,FSR 1302,18.6
113.62950,-15.93500,1269,FSR 1243,15.6
113.66250,-19.80000,1270,Teutsch 61,13.2
113.85000,-15.09200,1271,Alessi 17,12
113.85750,-22.39500,1272,DBSB 10,15
113.84550,-27.70500,1273,Haffner 11,12
113.88450,-18.76500,1274,DBSB 7,15
113.93400,-19.77900,1276,FSR 1268,12
114.06000,-20.61000,1277,NGC 2421,19.2
114.16500,-14.49000,1278,NGC 2422,75.6
114.19650,-24.66200,1279,Riddle 5,7.2
114.19500,-23.35500,1280,Ruprecht 25,12
114.25950,-20.52500,1281,Czernik 31,13.2
114.26250,-32.20500,1282,ESO 429-05,10.2
114.27750,-13.85000,1283,NGC 2423,54
114.29250,-26.38500,1284,Alessi 18,9
114.29250,-15.66000,1285,Ruprecht 26,25.2
114.42300,-26.50700,1286,Ruprecht 27,28.2
114.39000,-12.05500,1287,Melotte 71,40.8
114.53550,+38.88200,1290,NGC 2419,14.4
114.56250,-14.88000,1291,NGC 2425,19.2
114.59550,+21.56700,1292,NGC 2420,36.6
114.61950,-10.70000,1293,Melotte 72,26.4
114.67650,-33.83500,1294,Arp-Madore 2,13.8
114.83250,-31.74000,1296,FSR 1327,11.4
114.83250,-16.51800,1297,NGC 2428,15
114.91650,-16.38000,1298,NGC 2430,18
114.90000,-30.93500,1299,Ruprecht 28,18.6
114.92250,-27.29500,1300,ESO 493-03,16.2
115.04250,-33.54000,1301,Bochum 15,10.2
115.04250,-02.08500,1302,FSR 1152,15.6
117.78750,-22.11000,1359,FSR 1294,10.2
115.11750,-30.04300,1305,Haffner 13,39
115.20000,-31.70500,1306,NGC 2439,32.4
115.28400,-30.72000,1307,ESO 429-13,15.6
115.33500,-38.52000,1308,NGC 2451A,156
115.32000,-16.29000,1309,Ruprecht 151,18
115.22550,-19.08500,1310,NGC 2432,19.2
115.32450,-24.35500,1311,Ruprecht 29,13.2
115.38000,-09.61000,1312,FSR 1211,18.6
115.45500,-14.80500,1313,NGC 2437,68.4
115.55250,-29.23000,1314,FSR 1320,10.8
115.60350,-31.46700,1315,Ruprecht 30,13.2
115.62900,-01.03700,1316,FSR 1145,19.8
115.74750,-35.59300,1317,Ruprecht 31,13.2
115.92750,-11.03000,1318,FSR 1220,20.4
115.92150,-08.02000,1319,FSR 1203,19.8
116.10000,-34.62700,1320,ESO 368-11,19.8
116.11500,-37.67000,1322,NGC 2451B,49.2
116.14200,-24.66500,1323,NGC 2448,21.6
116.14500,-23.86000,1324,NGC 2447,60
116.13750,-05.16000,1325,FSR 1176,18.6
116.20500,-28.38000,1326,Haffner 14,19.2
116.33250,-25.54500,1327,Ruprecht 32,11.16
116.38200,-32.84800,1328,Haffner 15,17.4
116.40750,-46.71000,1329,ESO 258-01,12.6
116.48700,-20.38500,1330,Ruprecht 34,15
116.46000,-34.34000,1331,FSR 1351,13.8
116.48250,-21.92000,1332,Ruprecht 33,15.6
116.55300,-31.28300,1333,Ruprecht 35,12.6
116.61750,-34.28000,1334,FSR 1352,15.6
116.70750,-04.68000,1336,Berkeley 39,18
116.74500,+00.02000,1337,ASCC 41,31.2
116.77800,-32.97300,1339,ESO 368-14,11.4
116.90250,-27.19300,1340,NGC 2453,9.6
116.95050,-34.03600,1341,FSR 1350,12.6
116.97750,+08.88000,1342,FSR 1064,21.6
116.99250,-33.70000,1343,FSR 1347,15.6
117.09750,-26.29000,1344,Ruprecht 36,10.8
117.11250,-27.90000,1345,Teutsch 25,8.4
117.16500,-25.95300,1346,Haffner 25,10.8
117.17550,-26.98300,1348,FSR 1315,12.6
117.16800,-14.70000,1349,FSR 1249,10.8
117.25800,-21.29200,1350,NGC 2455,16.8
117.34950,-42.68500,1352,ESO 311-14,16.8
117.46500,-17.22500,1353,Ruprecht 37,9.6
117.48750,-14.02100,1354,FSR 1245,13.2
117.58800,-25.45700,1355,Haffner 16,9
117.62100,-20.18500,1356,Ruprecht 38,14.4
117.62550,-29.84500,1357,Czernik 32,19.2
117.66750,-36.39000,1358,FSR 1361,13.2
117.90450,-31.81700,1360,Haffner 17,15.6
118.00800,+09.55700,1361,NGC 2459,10.2
118.02900,-28.11700,1362,SAI 81,18
118.03500,-38.53000,1363,NGC 2477,54
118.05000,-60.34000,1364,ESO 123-26,24
118.02000,+12.17300,1365,FSR 1044,18
118.05600,-33.04000,1366,SAI 82,13.2
118.07700,-26.42800,1367,NGC 2467,11.4
118.08000,-22.44700,1368,Ruprecht 39,10.2
118.14750,-26.43200,1370,NGC 2467-east,7.2
118.16100,-26.38000,1371,Haffner 18,9
118.18500,-26.27500,1372,Haffner 19,7.2
118.14000,-52.99500,1373,ASCC 42,25.2
118.26750,-28.17500,1374,ASCC 43,25.2
118.25250,+01.72000,1375,FSR 1133,18
118.39050,+05.70000,1376,FSR 1102,18.6
118.41750,-22.32300,1377,FSR 1298,15.6
118.45050,-26.96500,1378,Ruprecht 41,12
118.62750,-38.22000,1379,Ruprecht 152,10.8
118.78500,-17.73000,1380,NGC 2479,28.8
118.76700,-25.37200,1381,Waterloo 3,12
118.79250,-24.27500,1382,NGC 2482,25.2
118.92000,-27.90500,1383,NGC 2483,13.8
118.92000,-25.88000,1384,Trumpler 9,12
119.06250,-30.36700,1385,Haffner 20,13.8
119.07750,-30.06600,1386,NGC 2489,15
119.41200,-25.93500,1388,Ruprecht 42,13.8
119.40750,-59.32000,1389,FSR 1479,16.2
119.44650,-09.15000,1390,FSR 1221,16.8
119.47950,-31.50900,1391,FSR 1342,14.4
119.50050,-29.28300,1392,Turner 12,15
119.49000,-60.75000,1393,NGC 2516,85.2
119.57100,+26.25000,1394,Koposov 2,8.4
119.58600,-34.77200,1395,Kronberger 85,8.4
119.63250,-66.63000,1396,FSR 1514,16.2
119.65350,+08.05600,1397,FSR 1084,23.4
119.72250,-28.58500,1398,Ruprecht 44,19.2
119.72550,+07.95000,1399,FSR 1087,13.2
119.81700,-27.58300,1400,ESO 494-09,15.6
119.82000,-28.87000,1401,Ruprecht 43,18.6
119.82900,-22.69000,1402,ESO 561-05,17.4
119.86500,-30.72500,1403,FSR 1336,12
119.87550,-16.30500,1404,Ruprecht 45,12
119.93700,-36.19000,1405,FSR 1365,19.2
120.00000,-10.76000,1406,NGC 2506,32.4
120.08250,+01.26000,1407,FSR 1147,25.2
120.09450,-30.30500,1408,Ruprecht 153,10.8
120.06750,-40.89800,1409,FSR 1379,15.6
120.19500,-19.05000,1410,NGC 2509,22.2
120.27750,-27.21300,1411,Haffner 21,12.6
120.32850,-40.67500,1412,FSR 1378,22.8
120.39750,-34.46000,1413,FSR 1360,13.2
120.48000,-50.58000,1414,ASCC 44,28.8
120.42450,-41.58300,1415,ESO 311-21,15
120.42750,-30.71000,1416,FSR 1339,14.4
120.43500,-44.42300,1417,Ruprecht 154,10.2
120.54750,-19.46500,1418,Ruprecht 46,11.4
120.58500,-31.07000,1419,Ruprecht 47,23.4
120.60000,-29.76700,1420,ESO 430-09,9.6
120.69750,-32.05000,1421,Ruprecht 48,7.2
120.80550,-26.77000,1423,Ruprecht 49,9
120.87750,-30.86000,1424,Ruprecht 50,12
120.89700,-30.66000,1425,Ruprecht 51,11.4
120.89250,-31.41500,1426,ESO 430-14,15.6
121.03950,-41.21800,1427,FSR 1383,15
121.27500,-28.17000,1428,NGC 2527,40.8
121.26750,-31.81700,1429,Ruprecht 155,10.2
121.30500,-31.97000,1430,Ruprecht 52,15.6
121.76250,-30.83500,1431,ESO 430-18,34.8
121.77750,-29.88000,1432,NGC 2533,16.8
121.76850,-32.35200,1433,vdBergh-Hagen 19,9.6
121.78950,-36.07300,1434,Teutsch 50,10.8
122.06250,-36.59000,1435,SAI 86,9
122.47800,-49.20500,1437,NGC 2547,36
122.64600,-34.60000,1438,FSR 1363,13.2
122.67000,-12.84000,1439,NGC 2539,52.8
122.69250,-23.30500,1440,FSR 1312,15.6
122.71500,-50.98500,1441,FSR 1446,12
122.68050,-26.94000,1442,Ruprecht 53,20.4
122.77050,-39.96500,1443,FSR 1380,13.2
122.84250,-31.94500,1444,Ruprecht 54,10.2
122.88750,-51.02000,1445,FSR 1447,10.8
122.92500,-32.25500,1446,FSR 1357,18
122.96250,-37.61000,1447,NGC 2546,67.8
123.00150,-29.00000,1448,FSR 1335,11.4
123.06000,-22.34500,1449,DBSB 13,12
123.11250,-27.89000,1450,Haffner 22,19.8
123.14250,-32.60500,1451,Ruprecht 55,15.6
